exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
aap,20.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,13.0,9.0,9.0,12.0,12.0,9.0,16.0,9.0,14.0,8.0,13.0,10.0,16.0,9.0,9.0,12.0,13.0,11.0,9.0,9.0,13.0
bever,9.0,20.0,10.0,9.0,12.0,10.0,9.0,9.0,12.0,10.0,12.0,9.0,9.0,11.0,10.0,15.0,8.0,10.0,14.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,11.0,9.0
bizon,10.0,10.0,20.0,12.0,9.0,9.0,9.0,11.0,9.0,13.0,9.0,11.0,9.0,12.0,13.0,10.0,14.0,11.0,9.0,10.0,8.0,11.0,12.0,16.0,14.0,10.0,9.0,10.0,10.0,9.0
dromedaris,10.0,9.0,12.0,20.0,9.0,10.0,10.0,13.0,10.0,11.0,8.0,9.0,10.0,15.0,9.0,10.0,16.0,9.0,9.0,11.0,12.0,10.0,14.0,13.0,9.0,12.0,9.0,12.0,11.0,11.0
eekhoorn,10.0,12.0,9.0,9.0,20.0,14.0,10.0,10.0,15.0,11.0,13.0,10.0,9.0,12.0,9.0,12.0,11.0,11.0,16.0,10.0,10.0,9.0,11.0,12.0,10.0,14.0,12.0,13.0,12.0,9.0
egel,10.0,10.0,9.0,10.0,14.0,20.0,9.0,8.0,13.0,9.0,10.0,9.0,9.0,9.0,10.0,14.0,9.0,8.0,13.0,7.0,10.0,9.0,10.0,10.0,9.0,14.0,13.0,11.0,9.0,9.0
ezel,11.0,9.0,9.0,10.0,10.0,9.0,20.0,11.0,9.0,13.0,11.0,9.0,10.0,11.0,12.0,11.0,12.0,10.0,12.0,10.0,10.0,11.0,17.0,11.0,10.0,10.0,9.0,14.0,10.0,18.0
giraf,10.0,9.0,11.0,13.0,10.0,8.0,11.0,20.0,9.0,10.0,9.0,9.0,9.0,10.0,12.0,9.0,14.0,12.0,9.0,12.0,11.0,14.0,11.0,9.0,9.0,11.0,7.0,7.0,10.0,14.0
hamster,11.0,12.0,9.0,10.0,15.0,13.0,9.0,9.0,20.0,10.0,10.0,11.0,11.0,14.0,9.0,16.0,11.0,13.0,12.0,10.0,10.0,14.0,10.0,11.0,9.0,11.0,14.0,12.0,10.0,9.0
hert,13.0,10.0,13.0,11.0,11.0,9.0,13.0,10.0,10.0,20.0,11.0,8.0,10.0,12.0,11.0,12.0,13.0,10.0,14.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,13.0,13.0,10.0
hond,9.0,12.0,9.0,8.0,13.0,10.0,11.0,9.0,10.0,11.0,20.0,9.0,9.0,13.0,11.0,10.0,10.0,14.0,12.0,10.0,11.0,11.0,12.0,10.0,11.0,10.0,11.0,12.0,15.0,10.0
ijsbeer,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,11.0,8.0,9.0,20.0,11.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,12.0,8.0
kangoeroe,12.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,11.0,20.0,9.0,8.0,9.0,10.0,10.0,12.0,8.0,9.0,11.0,10.0,13.0,9.0,8.0,9.0,9.0,9.0,9.0
kat,12.0,11.0,12.0,15.0,12.0,9.0,11.0,10.0,14.0,12.0,13.0,9.0,9.0,20.0,12.0,12.0,11.0,13.0,11.0,10.0,9.0,9.0,12.0,11.0,15.0,12.0,10.0,11.0,10.0,9.0
koe,9.0,10.0,13.0,9.0,9.0,10.0,12.0,12.0,9.0,11.0,11.0,9.0,8.0,12.0,20.0,11.0,12.0,10.0,9.0,15.0,15.0,14.0,14.0,12.0,10.0,12.0,9.0,10.0,10.0,12.0
konijn,16.0,15.0,10.0,10.0,12.0,14.0,11.0,9.0,16.0,12.0,10.0,8.0,9.0,12.0,11.0,20.0,11.0,10.0,14.0,9.0,9.0,10.0,13.0,10.0,10.0,11.0,13.0,15.0,13.0,10.0
lama,9.0,8.0,14.0,16.0,11.0,9.0,12.0,14.0,11.0,13.0,10.0,9.0,10.0,11.0,12.0,11.0,20.0,11.0,10.0,11.0,10.0,9.0,17.0,17.0,11.0,12.0,10.0,9.0,11.0,14.0
leeuw,14.0,10.0,11.0,9.0,11.0,8.0,10.0,12.0,13.0,10.0,14.0,10.0,10.0,13.0,10.0,10.0,11.0,20.0,10.0,10.0,10.0,12.0,12.0,11.0,15.0,11.0,10.0,11.0,14.0,11.0
muis,8.0,14.0,9.0,9.0,16.0,13.0,12.0,9.0,12.0,14.0,12.0,8.0,12.0,11.0,9.0,14.0,10.0,10.0,20.0,9.0,9.0,12.0,10.0,10.0,9.0,12.0,13.0,14.0,9.0,12.0
neushoorn,13.0,9.0,10.0,11.0,10.0,7.0,10.0,12.0,10.0,10.0,10.0,9.0,8.0,10.0,15.0,9.0,11.0,10.0,9.0,20.0,15.0,12.0,11.0,9.0,15.0,9.0,9.0,9.0,13.0,12.0
nijlpaard,10.0,8.0,8.0,12.0,10.0,10.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,15.0,9.0,10.0,10.0,9.0,15.0,20.0,13.0,10.0,12.0,13.0,12.0,9.0,9.0,9.0,11.0
olifant,16.0,9.0,11.0,10.0,9.0,9.0,11.0,14.0,14.0,9.0,11.0,9.0,11.0,9.0,14.0,10.0,9.0,12.0,12.0,12.0,13.0,20.0,9.0,11.0,14.0,9.0,12.0,9.0,8.0,11.0
paard,9.0,10.0,12.0,14.0,11.0,10.0,17.0,11.0,10.0,11.0,12.0,9.0,10.0,12.0,14.0,13.0,17.0,12.0,10.0,11.0,10.0,9.0,20.0,16.0,9.0,12.0,8.0,11.0,10.0,16.0
schaap,9.0,8.0,16.0,13.0,12.0,10.0,11.0,9.0,11.0,10.0,10.0,9.0,13.0,11.0,12.0,10.0,17.0,11.0,10.0,9.0,12.0,11.0,16.0,20.0,13.0,10.0,8.0,11.0,15.0,11.0
tijger,12.0,9.0,14.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,15.0,10.0,10.0,11.0,15.0,9.0,15.0,13.0,14.0,9.0,13.0,20.0,10.0,9.0,12.0,11.0,12.0
varken,13.0,10.0,10.0,12.0,14.0,14.0,10.0,11.0,11.0,9.0,10.0,10.0,8.0,12.0,12.0,11.0,12.0,11.0,12.0,9.0,12.0,9.0,12.0,10.0,10.0,20.0,9.0,10.0,10.0,11.0
vleermuis,11.0,9.0,9.0,9.0,12.0,13.0,9.0,7.0,14.0,9.0,11.0,9.0,9.0,10.0,9.0,13.0,10.0,10.0,13.0,9.0,9.0,12.0,8.0,8.0,9.0,9.0,20.0,9.0,9.0,9.0
