feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
builds nests,3,3,3,3,3,2,2,2,2,3,3,3,2.6666666666666665,0.4923659639173309
can fly,2,3,3,3,2,2,3,3,3,3,3,3,2.75,0.45226701686664544
can walk,-1,1,1,1,-2,-2,3,0,-1,-1,0,1,0.0,1.4770978917519928
chirps (tsjilpt),1,2,2,2,1,1,2,3,-3,1,2,2,1.3333333333333333,1.4974726182552527
eats small animals,2,1,1,0,2,0,3,1,2,1,2,1,1.3333333333333333,0.8876253645985945
eats worms,3,2,2,1,2,2,3,3,-2,0,2,2,1.6666666666666667,1.4354811251305468
flutters,2,2,-1,3,2,3,2,2,3,3,3,2,2.1666666666666665,1.1146408580454257
has a beak,3,3,3,2,1,3,3,3,2,2,2,3,2.5,0.674199862463242
has a bill,3,3,3,1,2,3,3,3,3,3,3,3,2.75,0.621581560508061
has air sacs,-3,2,2,1,-3,1,1,1,3,-3,3,3,0.6666666666666666,2.3484359721209165
has beady eyes,3,3,2,-2,1,3,1,-2,-3,-3,1,2,0.5,2.354878881270658
has feathers,3,3,3,3,2,2,3,3,3,3,3,3,2.8333333333333335,0.38924947208076144
has legs (poten),0,1,1,2,-3,2,3,-1,1,1,1,1,0.75,1.5447859516333116
has two paws,3,3,3,1,3,2,3,0,3,3,3,3,2.5,1.0
has two wings,3,3,3,2,3,3,3,3,0,3,3,3,2.6666666666666665,0.8876253645985945
has wings,3,3,3,3,2,2,3,2,3,3,3,3,2.75,0.45226701686664544
in the morning,1,1,-3,0,-2,2,-2,3,-3,1,1,1,0.0,2.0
is a migratory bird,2,1,1,-1,2,2,-1,3,-3,3,2,1,1.0,1.8090680674665818
is able to reproduce,-3,1,-3,2,-2,-1,3,0,0,1,-3,-1,-0.5,2.0225995873897262
is an animal,3,3,3,1,3,2,3,-1,3,3,3,3,2.4166666666666665,1.2401124093721456
is found in trees,1,2,-2,-1,1,2,3,1,0,2,1,2,1.0,1.4142135623730951
is sometimes eaten by man,-3,0,-3,-3,-1,1,0,0,0,-3,-3,0,-1.25,1.6025547785276542
is sometimes kept as a pet,-3,0,-2,-2,-1,1,1,-1,0,-2,-3,-2,-1.1666666666666667,1.403458930534474
lays eggs,3,3,3,2,2,2,3,1,3,3,3,3,2.5833333333333335,0.6685579234215214
lives in a cage,1,2,1,-1,1,2,1,1,-3,0,1,2,0.6666666666666666,1.4354811251305466
lives in the wild,2,2,3,1,0,1,1,-2,-3,3,2,3,1.0833333333333333,1.928651593652148
sings,1,1,1,2,1,2,2,-3,-3,-3,1,3,0.4166666666666667,2.151461800448216
sings (whistles),2,2,2,3,1,2,1,-1,-3,3,1,3,1.3333333333333333,1.775250729197189
