exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
(hot air) balloon,15.0,4.0,2.0,3.0,1.0,10.0,12.0,14.0,4.0,9.0,2.0,14.0,5.0,1.0,16.0,12.0,3.0,6.0,2.0,7.0,10.0,17.0,10.0,10.0,5.0,8.0,7.769230769,4.998461302,26.0
airplane,18.0,10.0,16.0,4.0,20.0,19.0,16.0,20.0,10.0,12.0,15.0,20.0,17.0,1.0,18.0,20.0,20.0,16.0,15.0,13.0,20.0,20.0,20.0,17.0,10.0,20.0,15.65384615,5.153191692,26.0
bicycle,19.0,12.0,19.0,5.0,20.0,20.0,16.0,16.0,18.0,10.0,19.0,20.0,20.0,15.0,19.0,12.0,19.0,12.0,11.0,12.0,20.0,20.0,20.0,10.0,15.0,20.0,16.11538462,4.292569609,26.0
boat,15.0,6.0,15.0,1.0,20.0,18.0,16.0,19.0,4.0,12.0,12.0,18.0,17.0,2.0,17.0,20.0,15.0,18.0,7.0,11.0,20.0,20.0,20.0,10.0,10.0,20.0,13.96153846,5.963091609,26.0
bus,20.0,18.0,19.0,20.0,20.0,20.0,15.0,20.0,18.0,18.0,19.0,20.0,20.0,18.0,18.0,20.0,19.0,18.0,20.0,17.0,20.0,20.0,20.0,20.0,20.0,15.0,18.92307692,1.494605685,26.0
car,20.0,20.0,20.0,20.0,20.0,20.0,16.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,19.73076923,0.827414881,26.0
carriage,15.0,8.0,12.0,20.0,9.0,15.0,13.0,8.0,10.0,17.0,8.0,20.0,10.0,11.0,16.0,20.0,9.0,5.0,16.0,5.0,15.0,18.0,10.0,17.0,10.0,8.0,12.5,4.597825573,26.0
cart,15.0,5.0,14.0,5.0,6.0,10.0,9.0,3.0,2.0,3.0,14.0,16.0,5.0,1.0,16.0,8.0,9.0,5.0,10.0,10.0,15.0,9.0,10.0,10.0,10.0,8.0,8.769230769,4.402796314,26.0
go-cart,18.0,5.0,5.0,12.0,-1.0,5.0,12.0,5.0,1.0,5.0,14.0,18.0,5.0,4.0,16.0,10.0,7.0,7.0,6.0,9.0,10.0,19.0,10.0,15.0,5.0,7.0,9.2,5.057996968,25.0
helicopter,15.0,4.0,15.0,10.0,17.0,17.0,14.0,20.0,3.0,10.0,15.0,20.0,17.0,2.0,16.0,19.0,15.0,14.0,17.0,11.0,20.0,20.0,20.0,12.0,10.0,20.0,14.34615385,5.321220219,26.0
hovercraft,20.0,6.0,2.0,4.0,16.0,10.0,14.0,15.0,5.0,12.0,-1.0,-1.0,5.0,2.0,16.0,18.0,5.0,14.0,5.0,5.0,20.0,18.0,20.0,10.0,10.0,1.0,10.54166667,6.39278919,24.0
jeep,20.0,16.0,16.0,20.0,20.0,20.0,16.0,20.0,19.0,18.0,20.0,20.0,19.0,20.0,18.0,20.0,18.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,19.11538462,1.42343031,26.0
kick scooter,12.0,2.0,7.0,15.0,15.0,16.0,12.0,6.0,1.0,5.0,14.0,18.0,5.0,4.0,17.0,12.0,10.0,12.0,5.0,8.0,15.0,17.0,5.0,5.0,10.0,2.0,9.615384615,5.292084074,26.0
motorbike (moto),19.0,16.0,20.0,10.0,20.0,18.0,16.0,20.0,20.0,18.0,19.0,20.0,19.0,17.0,18.0,20.0,18.0,20.0,16.0,13.0,20.0,20.0,20.0,18.0,10.0,20.0,17.88461538,2.916531132,26.0
rocket,15.0,3.0,1.0,1.0,1.0,3.0,16.0,2.0,4.0,5.0,1.0,10.0,5.0,1.0,15.0,10.0,6.0,9.0,5.0,9.0,18.0,13.0,20.0,1.0,10.0,1.0,7.115384615,6.002179091,26.0
scooter (bromfiets),18.0,15.0,18.0,10.0,20.0,20.0,14.0,20.0,18.0,18.0,19.0,20.0,19.0,14.0,18.0,20.0,18.0,20.0,14.0,13.0,20.0,20.0,20.0,15.0,15.0,10.0,17.15384615,3.145693026,26.0
scooter (brommer),18.0,15.0,20.0,20.0,20.0,20.0,15.0,20.0,20.0,18.0,19.0,20.0,19.0,16.0,18.0,20.0,18.0,20.0,12.0,14.0,20.0,20.0,20.0,20.0,20.0,10.0,18.15384615,2.79560094,26.0
skateboard,12.0,2.0,4.0,8.0,6.0,10.0,10.0,4.0,2.0,3.0,14.0,18.0,5.0,4.0,16.0,12.0,5.0,16.0,8.0,5.0,10.0,17.0,10.0,8.0,1.0,8.0,8.384615385,4.956425511,26.0
sled,12.0,1.0,8.0,6.0,13.0,12.0,10.0,3.0,2.0,3.0,15.0,16.0,5.0,2.0,15.0,12.0,8.0,3.0,4.0,4.0,5.0,17.0,10.0,1.0,5.0,3.0,7.5,5.100980298,26.0
submarine,15.0,2.0,6.0,10.0,10.0,7.0,13.0,3.0,1.0,12.0,5.0,18.0,15.0,1.0,14.0,20.0,8.0,8.0,2.0,1.0,15.0,17.0,20.0,10.0,1.0,3.0,9.115384615,6.339254991,26.0
subway train,20.0,17.0,-1.0,20.0,20.0,18.0,16.0,19.0,10.0,18.0,19.0,20.0,19.0,10.0,18.0,18.0,16.0,4.0,20.0,18.0,15.0,9.0,20.0,15.0,10.0,15.0,16.16,4.317406629,25.0
taxi,20.0,18.0,18.0,20.0,20.0,20.0,16.0,20.0,20.0,18.0,20.0,20.0,17.0,19.0,18.0,20.0,19.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,15.0,20.0,18.84615385,1.973672874,26.0
