feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
"""als sardines in een blik""",3,3,-3,1,1,2,1,3,-2,0,0,2,0.9166666666666666,1.928651593652148
8 armen,3,-3,-3,-3,-2,-1,-3,3,3,-3,0,2,-0.5833333333333334,2.6443192398846707
Free Willy,3,-3,-3,0,1,-2,1,3,3,1,0,1,0.4166666666666667,2.151461800448216
ademen onder water,-3,3,3,1,3,3,3,-1,3,3,0,3,1.75,2.050498830661811
africhtbaar,2,-3,-2,-1,-2,0,-3,3,-3,0,0,-2,-0.9166666666666666,1.97522534195852
als voedsel voor grotere dieren,0,2,-2,0,1,1,3,1,3,1,0,1,0.9166666666666666,1.378954368902449
bedreigde diersoort,1,-1,-2,-2,1,1,-1,2,3,-1,0,1,0.16666666666666666,1.5859229221975182
bekenste dolfijn is flipper,3,-3,-3,1,-1,-3,1,3,3,-3,1,2,0.08333333333333333,2.539088359425425
bijt,-1,-3,-2,-2,0,-2,-3,3,0,1,0,1,-0.6666666666666666,1.8257418583505536
blauw,0,0,-2,-2,2,1,-2,1,3,-2,0,-2,-0.25,1.764549903980152
blauwgrijs,0,-3,-2,-2,0,2,-1,1,3,2,0,-2,-0.16666666666666666,1.8989630344113086
doet blub,-3,3,2,2,3,3,3,-3,3,2,1,3,1.5833333333333333,2.2343733444579583
dolfinarium,3,-2,-3,0,0,0,2,3,-3,-3,0,2,-0.08333333333333333,2.274696116900546
duur,1,0,-1,1,0,-3,1,1,3,-1,0,-2,0.0,1.5954480704349312
een haring kan ook een piket zijn om u tent op te zetten,3,2,-3,1,2,-3,2,3,3,1,0,2,1.0833333333333333,2.108783937953269
eet mensen op,2,-3,-2,-3,0,-3,-3,3,-1,1,0,0,-0.75,2.0943647333651407
eet plankton,2,-3,1,0,2,2,0,1,1,3,0,1,0.8333333333333334,1.5275252316519465
eet planten,1,0,-1,0,1,1,-2,1,2,2,0,-1,0.3333333333333333,1.2309149097933274
eet vis,0,-3,-2,-3,1,-3,0,2,-3,0,0,0,-0.9166666666666666,1.781640374554423
eet visvoer,-2,1,1,2,3,3,3,-1,3,1,1,1,1.3333333333333333,1.6143297699232972
eet zeehonden,2,-3,-3,-3,-3,-3,-3,2,-2,0,0,0,-1.3333333333333333,2.0150945537631877
er zijn verschillende soorten,-3,3,3,1,3,3,3,-3,2,3,2,2,1.5833333333333333,2.2343733444579583
gegeten op feestmalen,-1,-3,0,1,-3,-3,2,1,3,1,0,1,-0.08333333333333333,2.0207259421636903
geliefd bij kinderen,-1,-2,-2,0,1,-3,-2,1,3,1,0,1,-0.25,1.764549903980152
gevaarlijk,0,-3,-2,-2,-1,-2,-3,2,-3,0,0,-1,-1.25,1.5447859516333116
gevaarlijk voor mensen,2,-2,-2,-3,0,-3,-3,2,-1,0,0,1,-0.75,1.864744681524183
"graag gezien, geapprecieerd",1,-3,-2,1,-2,-2,1,3,3,1,0,0,0.08333333333333333,1.9752253419585197
graten,-2,3,3,3,3,3,2,1,3,3,2,3,2.25,1.4847711791873706
grijs,0,2,1,-2,2,2,1,1,3,2,0,-1,0.9166666666666666,1.4433756729740643
heeft een indringende geur,1,2,2,2,2,3,3,1,3,1,0,3,1.9166666666666667,0.9962049198956219
heeft een puntige bek,1,-3,-2,0,-2,1,-2,1,3,2,0,-1,-0.16666666666666666,1.8504708655481241
heeft een staart,-3,3,3,1,3,2,2,-1,2,1,2,2,1.4166666666666667,1.781640374554423
heeft grote bek,0,0,-2,-1,-2,2,1,1,3,-1,0,0,0.08333333333333333,1.5050420310248864
heeft grote ogen,0,-2,-3,-2,1,-1,-2,-3,3,-1,0,0,-0.8333333333333334,1.7494587907710375
heeft grote tanden,0,-3,-2,-2,-1,-2,-2,3,3,1,0,0,-0.4166666666666667,1.97522534195852
heeft kieuwen,-2,3,3,3,3,3,3,0,3,3,2,3,2.25,1.6025547785276542
heeft luchtgat,2,-3,-2,-1,-1,-2,1,2,2,-1,0,1,-0.16666666666666666,1.7494587907710375
heeft mond,-2,3,2,0,3,3,2,0,3,3,2,3,1.8333333333333333,1.6422453217986943
heeft ogen,-2,3,3,-2,3,3,3,-3,3,3,2,3,1.5833333333333333,2.391588796113782
heeft scherpe tanden,1,-2,-2,-2,0,1,-1,3,1,2,0,1,0.16666666666666666,1.6422453217986943
heeft schubben,-3,3,2,2,3,3,3,1,3,3,0,2,1.8333333333333333,1.80067327475704
heeft stekels,1,-3,-3,-3,-3,1,-3,2,3,-1,0,0,-0.75,2.220769727328383
heeft tanden,-2,0,3,-2,2,0,-1,3,3,3,0,2,0.9166666666666666,1.97522534195852
heeft tentakels,2,-3,-3,-2,-3,1,1,3,1,-1,0,0,-0.3333333333333333,2.059714602177749
heeft vinnen,-3,3,3,2,3,3,3,-3,3,3,2,3,1.8333333333333333,2.2896340848319503
heeft zuignappen,2,-3,-3,-1,-2,2,1,2,2,-2,0,0,-0.16666666666666666,1.9924098397912435
in aquarium,-1,3,1,2,3,3,3,2,-3,1,1,3,1.5,1.8829377433825436
in rivieren,0,3,1,0,3,3,2,1,3,2,1,1,1.6666666666666667,1.1547005383792517
in vijver,0,2,2,2,3,3,3,1,3,2,1,1,1.9166666666666667,0.996204919895622
is bruin,0,-2,-2,-2,2,0,-2,1,3,1,0,-2,-0.25,1.764549903980152
is donker van kleur,1,-2,1,-3,2,-3,0,1,2,0,0,-1,-0.16666666666666666,1.7494587907710375
is een delicatesse,-1,-3,0,1,1,1,2,1,3,3,0,1,0.75,1.6583123951777
is een dier,-3,3,3,1,3,2,3,-3,3,3,2,3,1.6666666666666667,2.2696949467968492
is een huisdier,0,0,0,-1,3,2,3,3,0,1,0,0,0.9166666666666666,1.4433756729740645
is een roofdier,0,1,-2,-2,0,-3,-3,3,-2,0,0,-1,-0.75,1.764549903980152
is een vis,-3,3,3,3,3,3,3,1,3,3,3,3,2.3333333333333335,1.7752507291971888
is een vleeseter,0,-3,-3,-1,0,-2,0,3,0,-1,0,-2,-0.75,1.6583123951777
is eetbaar,0,3,2,2,3,3,3,0,3,3,0,1,1.9166666666666667,1.3113721705515067
is gevlekt,0,-3,-3,-3,1,-1,-2,1,3,1,0,-2,-0.6666666666666666,1.9694638556693238
is gezond,-3,2,-2,0,1,3,2,1,3,2,1,-1,0.75,1.9128750375000738
is glad,0,3,3,2,3,3,3,0,2,3,2,2,2.1666666666666665,1.1146408580454257
is glibberig,-2,3,2,2,2,3,3,0,3,2,1,2,1.75,1.4847711791873706
is goed gecamoufleerd,1,2,-2,0,2,1,2,1,3,-1,0,1,0.8333333333333334,1.403458930534474
is groot,1,-2,0,-2,0,-3,-2,2,3,-1,0,-2,-0.5,1.834021909257456
is intelligent,1,0,-3,0,-2,-2,-1,-3,3,-1,0,0,-0.6666666666666666,1.7232808737106582
is klein,1,1,0,-1,2,1,2,1,2,1,0,-2,0.6666666666666666,1.2309149097933272
is lang,1,1,0,-1,-2,1,1,2,2,1,0,-1,0.4166666666666667,1.2401124093721454
is lekker,-1,-3,0,2,1,2,2,0,3,3,0,2,0.9166666666666666,1.7816403745544227
is lelijk,-2,2,-3,-1,0,-1,-1,-3,3,-2,0,-1,-0.75,1.815338686155987
is moeilijk te vangen,-1,1,0,1,1,1,-1,2,3,1,0,1,0.75,1.1381803659589922
is mooi,-2,-3,-1,1,-1,0,1,2,3,2,0,-1,0.08333333333333333,1.7816403745544227
is niet duur,0,-3,-3,-2,0,-3,0,1,0,2,0,-2,-0.8333333333333334,1.696699112626596
is niet gevaarlijk,0,2,0,-1,2,1,3,1,3,2,0,1,1.1666666666666667,1.2673044646258476
is oranje,0,2,-3,-1,3,3,2,1,2,0,0,-2,0.5833333333333334,1.928651593652148
is smal,0,0,0,-1,2,1,-2,1,3,1,0,-1,0.3333333333333333,1.3706888336846839
is snel,-1,-2,2,-1,2,-2,1,1,3,3,0,2,0.6666666666666666,1.8257418583505536
is spectaculair,-1,-3,-3,-2,-3,-2,-3,3,3,0,0,1,-0.8333333333333334,2.249579085208177
is te vinden in de viswinkel,-1,3,2,2,3,3,3,1,-3,3,0,2,1.5,1.9306145983268455
is wit,0,-2,-2,0,-2,1,-2,0,2,1,0,-2,-0.5,1.4459976109624424
jaagt mensen schrik aan,2,-3,-2,-2,0,-1,-3,3,0,1,0,2,-0.25,2.0056737702645644
kan gerookt worden,1,2,-2,-1,2,3,1,2,2,1,0,2,1.0833333333333333,1.4433756729740643
kan in salade,0,-2,-1,0,0,2,2,2,3,1,1,1,0.75,1.4222261679238197
kan je koken,-2,3,0,1,1,-1,1,1,3,3,0,1,0.9166666666666666,1.5642792899510294
kan je winnen op kermis,2,2,-3,1,1,2,2,3,-3,0,0,2,0.75,1.9598237397554634
kan mensen doden,1,-2,-2,-3,-2,3,-3,3,-2,1,0,-1,-0.5833333333333334,2.151461800448216
kan verschillende kleuren hebben,-2,1,2,1,3,3,3,1,3,1,0,1,1.4166666666666667,1.5050420310248862
kan worden gekweekt,1,2,1,0,2,2,2,0,2,3,0,1,1.3333333333333333,0.9847319278346619
