feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
dragen cowboys,-3,-2,0,1,0,2,1,1,0,1,-3,-3,-0.4166666666666667,1.8319554050414562
dragen sporters,-3,-2,0,1,0,2,1,1,0,1,-1,-3,-0.25,1.6583123951777
er horen sportschoenen bij,-3,-2,-1,1,-2,0,-2,-1,-3,-2,-2,-3,-1.6666666666666667,1.2309149097933274
er staan leuke figuurtjes op,-3,-3,-1,1,-2,0,-3,-2,-3,0,-3,-3,-1.8333333333333333,1.4668044012461754
gebruik je op vakantie,-3,-3,-2,1,0,0,-2,2,-2,1,2,-3,-0.75,1.9598237397554634
gedragen door mannen,-3,2,-2,2,0,1,0,-2,1,1,2,-3,-0.08333333333333333,1.9286515936521476
gedragen door meisjes,-3,2,-2,2,0,1,0,-1,1,1,2,-3,0.0,1.8586407545691703
gedragen door oudere mensen,-3,0,-2,2,0,1,0,1,1,1,2,-3,0.0,1.7580981459830651
gedragen door travestieten,-3,-2,-2,2,0,1,0,-1,1,1,1,-3,-0.4166666666666667,1.7298624923456323
gedragen tijdens sporten,-3,1,-1,2,0,1,0,1,1,1,2,-3,0.16666666666666666,1.696699112626596
geeft warmte,1,1,1,1,2,0,1,0,2,1,3,1,1.1666666666666667,0.8348471099367218
geeft zakelijke indruk,-3,0,-2,0,0,0,1,1,1,0,2,-3,-0.25,1.6025547785276542
hang je aan de kapstok,-3,3,0,0,1,2,3,-1,1,0,2,-3,0.4166666666666667,2.0207259421636903
hebben geen vingeropeningen,-3,-2,-3,-3,-3,0,-3,-2,-3,0,-3,-3,-2.3333333333333335,1.1547005383792517
hebben hakken,-3,-2,-2,-3,-3,1,3,0,-3,0,-3,-3,-1.5,2.0225995873897262
hebben zool,-3,-2,-1,-3,-3,1,3,-1,-3,0,-3,-3,-1.5,1.9771421064483223
heeft achteraan sluiting,-3,-2,-3,-3,-2,2,0,-1,-3,0,-2,-3,-1.6666666666666667,1.6143297699232972
heeft bandjes,-3,-1,-2,-3,-1,0,0,-2,-3,0,-1,-3,-1.5833333333333333,1.2401124093721454
heeft bijpassende handschoenen,-3,-1,-2,-3,-3,1,-1,-2,-3,0,-3,-3,-1.9166666666666667,1.378954368902449
heeft bijpassende slip,-3,-1,-2,-3,-2,1,1,-2,-3,0,-3,-3,-1.6666666666666667,1.5569978883230462
heeft bloemmotief,-3,-2,1,-3,-2,0,-2,-2,-3,0,-3,-3,-1.8333333333333333,1.403458930534474
heeft bretellen,-3,-2,0,-3,-2,1,0,-1,-3,0,-3,-3,-1.5833333333333333,1.5050420310248862
heeft broek als onderdeel,-3,2,1,1,0,2,2,-2,-3,1,2,-3,0.0,2.1320071635561044
heeft een bijpassende muts,-3,-1,0,-3,-2,2,0,-1,-3,0,-3,-3,-1.4166666666666667,1.6764862244009227
heeft een effen kleur,-3,-3,0,-3,-2,0,-3,-2,-3,0,-2,1,-1.6666666666666667,1.497472618255253
heeft een elastiek,-3,-3,-1,-3,-1,0,0,-2,-1,0,1,-3,-1.3333333333333333,1.4354811251305468
heeft een gesp,-3,-2,0,-3,-2,1,1,-2,0,0,-2,-3,-1.25,1.5447859516333116
heeft een kap,-3,1,0,-3,0,1,2,-2,-2,0,-1,-3,-0.8333333333333334,1.7494587907710375
heeft een klep,-3,-3,-2,-3,-2,0,1,-2,-3,0,-3,-3,-1.9166666666666667,1.4433756729740645
heeft een knop,-3,3,1,-3,-1,0,-1,-2,-1,0,2,-3,-0.6666666666666666,1.9694638556693236
heeft een kraag,-3,3,1,-3,0,1,2,-2,-2,0,2,-3,-0.3333333333333333,2.188122205883115
heeft een rits,-3,3,1,-3,0,0,3,-1,-1,0,2,-3,-0.16666666666666666,2.167249338901663
heeft een rolkraag,-3,0,1,-3,0,2,3,-2,-2,0,-1,-3,-0.6666666666666666,2.015094553763188
heeft een v-hals,-3,0,0,-3,0,2,2,-2,-2,0,-1,-3,-0.8333333333333334,1.80067327475704
heeft figuren,-3,-2,0,-3,0,0,-2,-1,0,0,-2,1,-1.0,1.348399724926484
heeft gaatjes,-3,-1,-1,-3,-2,0,-2,-1,0,0,-2,-3,-1.5,1.1677484162422844
heeft iedereen,0,3,1,-3,3,0,0,2,3,1,2,2,1.1666666666666667,1.7494587907710375
heeft knopen,-3,3,1,-3,0,1,2,-1,1,0,2,-3,0.0,2.088931871468374
heeft korte mouwen,-3,1,0,-3,0,2,2,-2,0,0,-2,-3,-0.6666666666666666,1.874873733122184
heeft korte pijpen,-3,1,0,-3,0,2,2,-2,0,0,-2,-3,-0.6666666666666666,1.874873733122184
heeft lange mouwen,-3,1,0,-3,0,2,2,-2,0,0,-1,-3,-0.5833333333333334,1.8319554050414562
heeft lange pijpen,-3,1,0,-3,0,2,2,-2,0,0,-1,-3,-0.5833333333333334,1.8319554050414562
heeft mouwen,-2,1,1,-3,0,2,3,-2,1,0,2,-3,0.0,2.04494943258218
heeft pijpen,-2,1,0,-3,0,2,3,-2,1,0,2,-3,-0.08333333333333333,2.0207259421636903
heeft spaghettibandjes,-3,0,0,-3,0,1,1,-2,1,0,-1,-3,-0.75,1.6025547785276542
heeft twee bandjes,-3,-2,-1,-3,0,1,0,-2,1,0,1,-3,-0.9166666666666666,1.621353717973928
heeft twee mouwen,-3,2,0,-3,0,2,2,-2,1,0,2,-3,-0.16666666666666666,2.081665999466133
heeft twee pijpen,-3,2,0,-3,0,2,2,-2,1,0,2,-3,-0.16666666666666666,2.081665999466133
heeft verschillende motiefjes,-3,-3,1,-3,1,0,-2,-2,2,1,-2,1,-0.75,1.9128750375000738
heeft verschillende patronen,0,-3,1,-3,1,0,-2,-2,2,1,-1,1,-0.4166666666666667,1.729862492345632
heeft veters,-3,-1,0,-3,-2,2,3,-2,0,0,-3,-3,-1.0,2.04494943258218
heeft zakken,-3,0,0,-3,-1,2,3,-2,1,0,2,-3,-0.3333333333333333,2.103388319888276
het is in de mode,1,3,2,-3,2,0,3,1,2,1,2,1,1.25,1.6025547785276542
het weegt niet veel,-3,-3,1,-3,-2,0,-3,-1,-3,1,1,1,-1.1666666666666667,1.8504708655481243
houden je voeten warm,-1,1,2,2,-2,2,3,0,-1,0,-2,-3,0.08333333333333333,1.9286515936521478
houdt je hoofd warm,-3,1,2,2,-2,2,3,0,-1,0,-2,-3,-0.08333333333333333,2.108783937953269
is Engels woord,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-2.75,0.8660254037844386
is aangenaam,-3,0,1,2,0,0,-3,1,0,1,-1,-3,-0.4166666666666667,1.7298624923456323
is afgewerkt met kant,-3,-1,0,0,-1,1,-2,-2,-1,0,-3,-3,-1.25,1.3568010505999362
is blauw,-3,-3,-1,-3,-3,0,-3,-3,-2,0,-3,-3,-2.25,1.2154310870109943
is breed,-3,-3,-1,-3,-2,0,-3,0,0,0,-3,-3,-1.75,1.4222261679238197
is bruin,-3,-3,-1,-3,-3,0,-3,-1,-2,0,-3,-3,-2.0833333333333335,1.2401124093721456
is chique,-3,-3,0,-3,-2,0,-2,-2,0,0,-2,-3,-1.6666666666666667,1.3026778945578592
is comfortabel,-3,-2,0,-3,1,0,-1,2,1,2,2,-2,-0.25,1.9128750375000738
is dik,-3,-3,-1,-3,-2,0,-2,-2,1,0,-2,-3,-1.6666666666666667,1.3706888336846839
is dun,-3,-3,-1,-3,-2,0,-2,-2,1,0,-2,-3,-1.6666666666666667,1.3706888336846839
is duur,-3,-3,-1,-3,0,0,-2,-2,1,0,-1,-3,-1.4166666666666667,1.4433756729740645
is een broek,-3,2,0,-3,0,2,3,2,2,0,-1,-3,0.08333333333333333,2.1933093855190746
is een kledingstuk,-3,3,2,2,2,3,3,3,3,2,3,3,2.1666666666666665,1.696699112626596
is een onderbroek,-3,1,0,-3,0,2,3,0,0,0,-2,-3,-0.4166666666666667,1.97522534195852
is een veiligheidsriem voor in de auto,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-2.75,0.8660254037844386
is een zwembroek voor mannen,-3,-3,0,-3,-1,1,3,-2,-3,0,-3,-3,-1.4166666666666667,2.0207259421636903
is er in alle prijsklassen,-3,-2,1,1,2,0,2,2,3,1,2,-2,0.5833333333333334,1.9286515936521478
is fris in de zomer,-3,1,0,1,0,1,1,-1,2,0,-2,-3,-0.25,1.6583123951777
is gebreid,-3,2,1,-3,-2,1,2,0,1,0,-2,-3,-0.5,1.9771421064483223
is gestreept,-3,-3,0,-3,-2,0,-2,-1,0,0,-2,-3,-1.5833333333333333,1.3113721705515065
is gezellig,-3,-3,1,-3,-2,0,-3,-2,-2,0,-1,-3,-1.75,1.4222261679238197
is goedkoop,-3,-3,0,-3,0,0,-2,-2,1,0,-1,-3,-1.3333333333333333,1.497472618255253
is grijs,-3,-3,-2,-3,-2,0,-3,-2,-2,0,-3,-3,-2.1666666666666665,1.1146408580454255
is groen,-3,-3,-1,-3,-2,0,-3,-2,-2,0,-3,-3,-2.0833333333333335,1.164500152881315
is groot,-3,-3,-1,-3,-3,0,-3,-2,-2,0,-3,-3,-2.1666666666666665,1.1934162828797101
is handig,-3,-3,-1,-3,1,0,-2,0,-2,0,1,1,-0.9166666666666666,1.621353717973928
is hygiënisch,-3,-3,0,-3,2,0,-2,1,-3,0,2,-3,-1.0,2.04494943258218
is kleding,-3,3,3,3,3,3,3,3,3,3,3,3,2.5,1.7320508075688772
is klein,-3,-3,-1,-3,-3,0,-3,-2,-2,0,-3,-1,-2.0,1.2060453783110545
is kleurrijk,-3,-3,1,-3,1,0,-2,0,1,0,1,-3,-0.8333333333333334,1.8006732747570398
is kort,-3,-3,-1,-3,-1,0,-3,-1,-3,0,-2,-3,-1.9166666666666667,1.2401124093721456
is lang,-3,-3,-1,-3,-2,0,-3,-1,-3,0,-2,-3,-2.0,1.2060453783110545
is langwerpig,-3,-3,-2,-3,-2,0,-3,-2,-3,0,-3,-3,-2.25,1.1381803659589922
is lelijk,-3,-3,-2,-3,-3,0,-2,-2,-2,0,-2,-3,-2.0833333333333335,1.0836246694508318
is leuk,-3,-3,1,-3,1,0,-2,0,1,0,-1,-3,-1.0,1.7056057308448835
is leuk om dragen,-3,1,2,-3,1,1,2,1,1,1,1,1,0.5,1.6787441193290353
is lingerie,-3,1,0,-3,0,2,3,0,0,0,-3,-3,-0.5,2.0670576365276494
is luchtig,-3,-2,0,-3,0,0,-2,-2,-1,0,-2,-3,-1.5,1.243163121016122
is modieus,1,3,2,-3,1,0,2,-2,1,1,1,1,0.6666666666666666,1.6696942198734437
is moeilijk om te strijken,-3,2,-1,-3,-2,1,3,-1,0,-1,-2,-3,-0.8333333333333334,1.992409839791244
is mooi,-3,-3,1,-3,1,0,-2,1,2,1,1,-3,-0.5833333333333334,2.0207259421636903
is niet duur,-3,-3,0,-3,-2,0,-3,0,1,0,-2,-1,-1.3333333333333333,1.497472618255253
is niet eetbaar,-3,-3,-1,-3,1,0,-3,-1,-3,3,1,1,-0.9166666666666666,2.108783937953269
is niet sexy,-3,-3,-1,-3,-2,0,-3,-2,-1,-3,-3,-2,-2.1666666666666665,1.0298573010888745
is niet waterdicht,-3,-3,-1,-3,0,0,-3,-1,-1,0,-2,1,-1.3333333333333333,1.4354811251305468
is nu uit de mode,-3,1,-2,-3,-3,0,3,-2,-2,0,-3,-3,-1.4166666666666667,1.9752253419585197
is om buiten te gebruiken,-3,-3,-1,-3,-1,0,-2,0,0,0,2,-3,-1.1666666666666667,1.6422453217986943
is ondergoed,-3,2,0,-3,0,1,3,-1,1,0,-2,-3,-0.4166666666666667,2.0207259421636903
is populair,-3,-3,-1,-3,1,0,-3,-1,1,1,2,-3,-1.0,1.954016841836789
is rond,-3,-3,-1,-3,-3,0,-3,-2,-3,0,-3,-3,-2.25,1.2154310870109943
is rood,-3,-3,-1,-3,-3,0,-3,-1,-2,0,-3,-3,-2.0833333333333335,1.2401124093721456
is sexy,-3,0,-1,-3,0,1,-3,0,1,0,-3,-3,-1.1666666666666667,1.6966991126265962
is smal,-3,-3,-1,-3,-3,0,-3,-1,1,0,-2,-3,-1.75,1.4847711791873706
is spannend rond lichaam,-3,2,-1,-3,0,2,2,1,2,0,1,1,0.3333333333333333,1.8257418583505536
is stevig,-3,-3,0,-3,-2,0,-2,-1,2,1,1,-3,-1.0833333333333333,1.8319554050414564
is synthetisch,-2,-1,0,-3,-1,0,2,-2,1,0,1,-3,-0.6666666666666666,1.6143297699232972
is van elastische stof gemaakt,-2,1,0,-3,-1,2,2,-1,1,0,-2,-1,-0.3333333333333333,1.6143297699232972
is van jeansstof,-2,1,1,-3,-1,2,3,-2,1,0,-2,-3,-0.4166666666666667,2.0207259421636903
is van katoen,-2,1,1,-3,0,2,3,-1,1,0,-2,1,0.08333333333333333,1.7816403745544227
is van leer,-3,0,0,-3,-2,1,2,-1,1,0,-2,-1,-0.6666666666666666,1.6143297699232972
is van lichte stof,-2,1,-1,-3,1,1,3,-2,1,0,-1,-1,-0.25,1.712255291076124
is van rubber,-3,-3,-3,-3,-3,0,-1,-2,0,0,-3,-3,-2.0,1.348399724926484
is van stof,-2,3,1,-3,3,0,3,2,3,0,3,2,1.25,2.0943647333651407
is van textiel,2,3,2,-3,2,0,3,2,3,0,3,2,1.5833333333333333,1.7816403745544227
is van vilt,-2,-3,1,-3,-2,1,0,-1,1,0,-2,-1,-0.9166666666666666,1.5050420310248864
is van wol,-2,2,1,-3,-1,1,2,-1,1,0,-2,1,-0.08333333333333333,1.6764862244009227
is van zijde,-2,2,1,-3,-1,1,1,-1,1,0,-2,1,-0.16666666666666666,1.585922922197518
is versierd met pluimen,-3,-3,-2,-3,-3,0,-3,-2,-3,0,-3,-3,-2.3333333333333335,1.1547005383792517
is voor alle leeftijden,-2,-2,0,1,1,0,-2,3,3,2,2,2,0.6666666666666666,1.8748737331221843
is voor chique gelegenheden,-3,-3,0,-3,0,1,0,2,1,0,-2,-3,-0.8333333333333334,1.8504708655481241
is voor plechtige gelegenheden,-3,-3,0,-3,0,1,0,1,1,0,-2,-3,-0.9166666666666666,1.7298624923456323
is vrouwelijk,-3,-3,-1,-3,-1,0,-1,-1,-1,-3,-1,-3,-1.75,1.1381803659589922
is warm,-1,2,1,-3,0,0,0,1,1,0,2,-1,0.16666666666666666,1.403458930534474
is warm in de winter,1,3,1,2,0,0,0,2,3,2,2,1,1.4166666666666667,1.0836246694508318
is waterdicht,-3,-2,0,0,-2,0,-2,0,1,0,1,-2,-0.75,1.3568010505999362
is wit,-3,-3,-2,-3,-2,0,-3,-1,-3,0,-3,-3,-2.1666666666666665,1.1934162828797101
is wit en zwart,-3,-3,-2,-3,-3,0,-3,-1,-2,0,-3,-3,-2.1666666666666665,1.1934162828797101
is zacht,-3,-3,0,-3,-1,0,-3,-1,-1,0,-1,1,-1.25,1.4222261679238197
is zwart,-3,-3,-2,-3,-1,0,-3,-1,-2,0,-3,-3,-2.0,1.2060453783110545
je kan er een riem indoen,-3,-2,0,-3,0,1,2,-2,0,0,1,2,-0.3333333333333333,1.775250729197189
kan bedrukt zijn met een tekening,-1,-3,0,0,0,0,-2,0,1,1,1,1,-0.16666666666666666,1.2673044646258478
kan door iedereen gedragen worden,-3,3,1,1,1,2,-2,1,3,1,3,1,1.0,1.8586407545691703
