exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0
bloes,1.0,20.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,15.0,12.0,12.0,1.0,1.0
broek,1.0,1.0,20.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,12.0,1.0,1.0,20.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
das,1.0,1.0,1.0,20.0,12.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
hemd,1.0,20.0,1.0,12.0,20.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,12.0,12.0,12.0,1.0,1.0
hoed,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jas,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,1.0
jeans,1.0,1.0,20.0,1.0,1.0,1.0,1.0,20.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
jogging,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kleed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,10.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0
kostuum,1.0,12.0,1.0,10.0,15.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
laarzen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0
muts,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0
