exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,8.0,1.0,4.0,1.0,5.0,1.0,2.0,4.0,4.0,4.0,2.0,7.0
bloes,3.0,20.0,4.0,2.0,13.0,4.0,7.0,7.0,11.0,12.0,10.0,2.0,5.0,2.0,12.0,2.0,4.0,7.0,2.0,9.0,4.0,2.0,3.0,10.0,13.0,11.0,9.0,4.0,7.0
broek,1.0,4.0,20.0,4.0,5.0,4.0,4.0,20.0,13.0,6.0,13.0,5.0,5.0,5.0,11.0,1.0,6.0,14.0,10.0,12.0,3.0,4.0,1.0,6.0,7.0,5.0,2.0,1.0,2.0
das,3.0,2.0,4.0,20.0,4.0,3.0,4.0,4.0,4.0,3.0,7.0,2.0,4.0,1.0,2.0,10.0,2.0,3.0,2.0,5.0,11.0,2.0,2.0,2.0,5.0,3.0,5.0,2.0,7.0
hemd,4.0,13.0,5.0,4.0,20.0,4.0,15.0,6.0,9.0,13.0,13.0,2.0,4.0,5.0,13.0,5.0,2.0,9.0,2.0,5.0,2.0,6.0,3.0,12.0,14.0,11.0,12.0,4.0,4.0
hoed,2.0,4.0,4.0,3.0,4.0,20.0,3.0,3.0,2.0,2.0,2.0,4.0,15.0,15.0,4.0,4.0,4.0,6.0,5.0,1.0,8.0,3.0,4.0,1.0,5.0,4.0,9.0,13.0,4.0
jas,3.0,7.0,4.0,4.0,15.0,3.0,20.0,10.0,7.0,12.0,13.0,1.0,4.0,3.0,12.0,8.0,4.0,12.0,4.0,2.0,4.0,1.0,5.0,13.0,11.0,5.0,15.0,5.0,7.0
jeans,2.0,7.0,20.0,4.0,6.0,3.0,10.0,20.0,9.0,6.0,3.0,2.0,8.0,6.0,9.0,4.0,4.0,16.0,1.0,12.0,6.0,1.0,3.0,10.0,4.0,4.0,5.0,5.0,2.0
jogging,4.0,11.0,13.0,4.0,9.0,2.0,7.0,9.0,20.0,7.0,7.0,5.0,4.0,2.0,12.0,3.0,2.0,16.0,6.0,7.0,2.0,2.0,5.0,9.0,9.0,4.0,12.0,5.0,10.0
kleed,4.0,12.0,6.0,3.0,13.0,2.0,12.0,6.0,7.0,20.0,7.0,2.0,4.0,3.0,10.0,4.0,12.0,11.0,3.0,8.0,9.0,5.0,2.0,7.0,5.0,4.0,9.0,4.0,12.0
kostuum,2.0,10.0,13.0,7.0,13.0,2.0,13.0,3.0,7.0,7.0,20.0,2.0,4.0,4.0,12.0,4.0,4.0,12.0,5.0,12.0,4.0,1.0,1.0,7.0,8.0,9.0,9.0,4.0,11.0
laarzen,2.0,2.0,5.0,2.0,2.0,4.0,1.0,2.0,5.0,2.0,2.0,20.0,2.0,2.0,4.0,1.0,4.0,3.0,16.0,4.0,7.0,1.0,6.0,7.0,2.0,5.0,6.0,2.0,3.0
