exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,6.0,15.0,1.0,1.0,1.0,15.0,13.0,4.0,4.0,18.0,1.0,7.0,4.0,8.0,1.0,5.0,4.0,5.0,3.0,11.0,16.0,4.0,8.0,4.0,4.0,5.0,12.0,1.0
bloes,6.0,20.0,2.0,15.0,5.0,1.0,9.0,4.0,5.0,4.0,1.0,4.0,3.0,12.0,7.0,12.0,3.0,6.0,2.0,1.0,11.0,12.0,1.0,5.0,12.0,12.0,4.0,7.0,2.0
broek,15.0,2.0,20.0,3.0,12.0,11.0,5.0,13.0,12.0,4.0,9.0,15.0,12.0,6.0,2.0,16.0,1.0,12.0,5.0,17.0,8.0,8.0,14.0,3.0,6.0,8.0,1.0,14.0,6.0
das,1.0,15.0,3.0,20.0,5.0,8.0,4.0,14.0,5.0,3.0,4.0,14.0,9.0,3.0,12.0,2.0,6.0,3.0,9.0,1.0,9.0,1.0,6.0,4.0,1.0,6.0,8.0,5.0,1.0
hemd,1.0,5.0,12.0,5.0,20.0,4.0,5.0,12.0,1.0,5.0,9.0,8.0,8.0,13.0,16.0,12.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,8.0,1.0,12.0,3.0,6.0
hoed,1.0,1.0,11.0,8.0,4.0,20.0,12.0,17.0,8.0,12.0,16.0,12.0,7.0,5.0,4.0,4.0,6.0,1.0,4.0,15.0,8.0,1.0,1.0,9.0,1.0,2.0,14.0,2.0,1.0
jas,15.0,9.0,5.0,4.0,5.0,12.0,20.0,1.0,5.0,5.0,16.0,12.0,4.0,12.0,1.0,4.0,2.0,4.0,3.0,12.0,17.0,1.0,5.0,3.0,5.0,3.0,15.0,3.0,2.0
jeans,13.0,4.0,13.0,14.0,12.0,17.0,1.0,20.0,18.0,14.0,3.0,12.0,5.0,5.0,3.0,14.0,11.0,8.0,1.0,12.0,1.0,14.0,14.0,4.0,12.0,15.0,15.0,1.0,1.0
jogging,4.0,5.0,12.0,5.0,1.0,8.0,5.0,18.0,20.0,12.0,7.0,6.0,2.0,7.0,8.0,2.0,13.0,6.0,8.0,8.0,3.0,6.0,11.0,8.0,2.0,1.0,5.0,4.0,2.0
kleed,4.0,4.0,4.0,3.0,5.0,12.0,5.0,14.0,12.0,20.0,15.0,4.0,3.0,3.0,7.0,1.0,5.0,1.0,16.0,5.0,12.0,3.0,9.0,8.0,1.0,4.0,5.0,12.0,1.0
kostuum,18.0,1.0,9.0,4.0,9.0,16.0,16.0,3.0,7.0,15.0,20.0,5.0,1.0,1.0,4.0,7.0,3.0,1.0,8.0,1.0,4.0,5.0,12.0,1.0,2.0,8.0,14.0,14.0,8.0
laarzen,1.0,4.0,15.0,14.0,8.0,12.0,12.0,12.0,6.0,4.0,5.0,20.0,15.0,8.0,7.0,5.0,8.0,18.0,12.0,2.0,2.0,4.0,12.0,2.0,1.0,11.0,4.0,2.0,14.0
muts,7.0,3.0,12.0,9.0,8.0,7.0,4.0,5.0,2.0,3.0,1.0,15.0,20.0,6.0,12.0,12.0,8.0,2.0,4.0,6.0,5.0,5.0,1.0,2.0,6.0,1.0,16.0,6.0,2.0
pet,4.0,12.0,6.0,3.0,13.0,5.0,12.0,5.0,7.0,3.0,1.0,8.0,6.0,20.0,4.0,6.0,6.0,11.0,3.0,1.0,5.0,1.0,2.0,4.0,8.0,1.0,4.0,11.0,5.0
pyjama,8.0,7.0,2.0,12.0,16.0,4.0,1.0,3.0,8.0,7.0,4.0,7.0,12.0,4.0,20.0,6.0,12.0,15.0,3.0,6.0,2.0,12.0,1.0,2.0,5.0,8.0,5.0,1.0,1.0
riem,1.0,12.0,16.0,2.0,12.0,4.0,4.0,14.0,2.0,1.0,7.0,5.0,12.0,6.0,6.0,20.0,4.0,2.0,12.0,5.0,2.0,5.0,1.0,5.0,12.0,2.0,1.0,15.0,1.0
rok,5.0,3.0,1.0,6.0,5.0,6.0,2.0,11.0,13.0,5.0,3.0,8.0,8.0,6.0,12.0,4.0,20.0,1.0,9.0,7.0,9.0,12.0,4.0,1.0,6.0,7.0,12.0,14.0,13.0
salopet,4.0,6.0,12.0,3.0,3.0,1.0,4.0,8.0,6.0,1.0,1.0,18.0,2.0,11.0,15.0,2.0,1.0,20.0,2.0,14.0,6.0,12.0,8.0,15.0,4.0,2.0,5.0,4.0,5.0
schoenen,5.0,2.0,5.0,9.0,2.0,4.0,3.0,1.0,8.0,16.0,8.0,12.0,4.0,3.0,3.0,12.0,9.0,2.0,20.0,7.0,5.0,4.0,9.0,6.0,11.0,3.0,13.0,6.0,2.0
short,3.0,1.0,17.0,1.0,2.0,15.0,12.0,12.0,8.0,5.0,1.0,2.0,6.0,1.0,6.0,5.0,7.0,14.0,7.0,20.0,6.0,3.0,1.0,3.0,12.0,10.0,5.0,8.0,5.0
sjaal,11.0,11.0,8.0,9.0,2.0,8.0,17.0,1.0,3.0,12.0,4.0,2.0,5.0,5.0,2.0,2.0,9.0,6.0,5.0,6.0,20.0,5.0,1.0,3.0,7.0,1.0,6.0,18.0,1.0
slip,16.0,12.0,8.0,1.0,5.0,1.0,1.0,14.0,6.0,3.0,5.0,4.0,5.0,1.0,12.0,5.0,12.0,12.0,4.0,3.0,5.0,20.0,3.0,15.0,5.0,9.0,8.0,3.0,2.0
sokken,4.0,1.0,14.0,6.0,4.0,1.0,5.0,14.0,11.0,9.0,12.0,12.0,1.0,2.0,1.0,1.0,4.0,8.0,9.0,1.0,1.0,3.0,20.0,3.0,3.0,12.0,4.0,6.0,1.0
sweater,8.0,5.0,3.0,4.0,2.0,9.0,3.0,4.0,8.0,8.0,1.0,2.0,2.0,4.0,2.0,5.0,1.0,15.0,6.0,3.0,3.0,15.0,3.0,20.0,12.0,6.0,5.0,12.0,14.0
t-shirt,4.0,12.0,6.0,1.0,8.0,1.0,5.0,12.0,2.0,1.0,2.0,1.0,6.0,8.0,5.0,12.0,6.0,4.0,11.0,12.0,7.0,5.0,3.0,12.0,20.0,7.0,5.0,1.0,5.0
topje,4.0,12.0,8.0,6.0,1.0,2.0,3.0,15.0,1.0,4.0,8.0,11.0,1.0,1.0,8.0,2.0,7.0,2.0,3.0,10.0,1.0,9.0,12.0,6.0,7.0,20.0,12.0,1.0,1.0
