exemplar,beha,bloes,broek,das,hemd,hoed,jas,jeans,jogging,kleed,kostuum,laarzen,muts,pet,pyjama,riem,rok,salopet,schoenen,short,sjaal,slip,sokken,sweater,t-shirt,topje,trui,wanten,zwempak
beha,20.0,7.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,11.0,5.0,1.0,11.0
bloes,7.0,20.0,2.0,6.0,15.0,2.0,9.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,9.0,9.0,8.0,10.0,2.0,2.0
broek,2.0,2.0,20.0,2.0,2.0,4.0,1.0,12.0,9.0,2.0,4.0,1.0,1.0,2.0,9.0,2.0,9.0,2.0,2.0,8.0,4.0,6.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0
das,1.0,6.0,2.0,20.0,2.0,2.0,3.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,9.0,2.0,5.0,1.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0
hemd,4.0,15.0,2.0,2.0,20.0,1.0,6.0,1.0,6.0,1.0,7.0,2.0,2.0,1.0,11.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,9.0,16.0,9.0,8.0,2.0,5.0
hoed,2.0,2.0,4.0,2.0,1.0,20.0,1.0,2.0,1.0,2.0,1.0,1.0,14.0,13.0,2.0,3.0,4.0,9.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0
jas,4.0,9.0,1.0,3.0,6.0,1.0,20.0,2.0,9.0,6.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,11.0,8.0,8.0,8.0,2.0,2.0
jeans,2.0,1.0,12.0,2.0,1.0,2.0,2.0,20.0,6.0,6.0,4.0,1.0,2.0,3.0,9.0,4.0,3.0,3.0,2.0,6.0,1.0,3.0,2.0,4.0,5.0,2.0,5.0,2.0,6.0
jogging,3.0,2.0,9.0,1.0,6.0,1.0,9.0,6.0,20.0,6.0,1.0,2.0,2.0,3.0,9.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,12.0,6.0,1.0,5.0,1.0,12.0
kleed,4.0,4.0,2.0,1.0,1.0,2.0,6.0,6.0,6.0,20.0,10.0,2.0,1.0,1.0,5.0,1.0,11.0,2.0,2.0,4.0,2.0,2.0,1.0,6.0,4.0,5.0,5.0,2.0,1.0
kostuum,1.0,1.0,4.0,8.0,7.0,1.0,3.0,4.0,1.0,10.0,20.0,4.0,2.0,2.0,6.0,5.0,8.0,6.0,2.0,4.0,2.0,3.0,3.0,5.0,8.0,4.0,6.0,2.0,5.0
laarzen,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,20.0,4.0,1.0,1.0,1.0,2.0,2.0,14.0,2.0,2.0,1.0,8.0,2.0,1.0,2.0,1.0,3.0,2.0
muts,2.0,2.0,1.0,2.0,2.0,14.0,3.0,2.0,2.0,1.0,2.0,4.0,20.0,15.0,1.0,2.0,2.0,9.0,1.0,1.0,4.0,1.0,2.0,1.0,8.0,1.0,8.0,7.0,2.0
