exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,14.0,8.0,11.0,12.0,18.0,4.0,9.0,8.0,5.0,2.0,15.0,8.0,11.0,5.0,8.0,11.0,11.0,10.0,7.0,11.0,7.0,15.0,9.0,12.0,11.0,15.0,18.0,11.0,10.0
duif,14.0,20.0,12.0,13.0,12.0,12.0,9.0,7.0,10.0,10.0,12.0,12.0,8.0,13.0,13.0,8.0,10.0,15.0,10.0,9.0,9.0,11.0,11.0,10.0,12.0,14.0,16.0,15.0,14.0,7.0
eend,8.0,12.0,20.0,8.0,11.0,4.0,12.0,14.0,9.0,12.0,11.0,7.0,8.0,6.0,5.0,9.0,6.0,10.0,7.0,7.0,12.0,8.0,12.0,9.0,5.0,11.0,10.0,9.0,17.0,15.0
ekster,11.0,13.0,8.0,20.0,11.0,15.0,9.0,5.0,9.0,9.0,4.0,18.0,14.0,14.0,12.0,11.0,10.0,14.0,9.0,12.0,7.0,2.0,11.0,5.0,15.0,14.0,11.0,9.0,11.0,11.0
fazant,12.0,12.0,11.0,11.0,20.0,11.0,9.0,17.0,7.0,16.0,16.0,13.0,12.0,9.0,8.0,3.0,6.0,11.0,10.0,7.0,13.0,6.0,14.0,11.0,12.0,12.0,12.0,15.0,15.0,12.0
gier,18.0,12.0,4.0,15.0,11.0,20.0,10.0,9.0,11.0,4.0,9.0,12.0,6.0,13.0,6.0,9.0,13.0,7.0,10.0,10.0,14.0,9.0,18.0,11.0,13.0,10.0,13.0,16.0,11.0,10.0
haan,4.0,9.0,12.0,9.0,9.0,10.0,20.0,11.0,14.0,15.0,10.0,5.0,12.0,8.0,11.0,8.0,9.0,10.0,8.0,4.0,7.0,6.0,9.0,14.0,10.0,9.0,8.0,10.0,5.0,16.0
kalkoen,9.0,7.0,14.0,5.0,17.0,9.0,11.0,20.0,12.0,18.0,7.0,12.0,11.0,10.0,3.0,9.0,9.0,9.0,6.0,7.0,13.0,7.0,4.0,7.0,6.0,10.0,11.0,6.0,12.0,15.0
kanarie,8.0,10.0,9.0,9.0,7.0,11.0,14.0,12.0,20.0,7.0,13.0,12.0,13.0,9.0,15.0,14.0,10.0,6.0,16.0,7.0,11.0,8.0,5.0,13.0,12.0,10.0,11.0,8.0,6.0,10.0
kip,5.0,10.0,12.0,9.0,16.0,4.0,15.0,18.0,7.0,20.0,12.0,10.0,7.0,4.0,7.0,7.0,12.0,8.0,4.0,15.0,11.0,4.0,7.0,10.0,5.0,5.0,4.0,11.0,9.0,6.0
koekoek,2.0,12.0,11.0,4.0,16.0,9.0,10.0,7.0,13.0,12.0,20.0,10.0,11.0,11.0,12.0,5.0,7.0,12.0,8.0,5.0,12.0,3.0,4.0,16.0,5.0,10.0,10.0,13.0,5.0,10.0
kraai,15.0,12.0,7.0,18.0,13.0,12.0,5.0,12.0,12.0,10.0,10.0,20.0,9.0,12.0,4.0,9.0,7.0,8.0,9.0,11.0,8.0,8.0,14.0,7.0,15.0,15.0,11.0,14.0,8.0,11.0
mees,8.0,8.0,8.0,14.0,12.0,6.0,12.0,11.0,13.0,7.0,11.0,9.0,20.0,13.0,12.0,16.0,8.0,12.0,17.0,7.0,13.0,11.0,9.0,15.0,14.0,5.0,8.0,12.0,12.0,9.0
meeuw,11.0,13.0,6.0,14.0,9.0,13.0,8.0,10.0,9.0,4.0,11.0,12.0,13.0,20.0,11.0,10.0,9.0,11.0,12.0,9.0,12.0,8.0,14.0,11.0,13.0,12.0,9.0,8.0,14.0,15.0
merel,5.0,13.0,5.0,12.0,8.0,6.0,11.0,3.0,15.0,7.0,12.0,4.0,12.0,11.0,20.0,15.0,5.0,11.0,8.0,12.0,11.0,5.0,11.0,14.0,12.0,6.0,9.0,11.0,11.0,7.0
mus,8.0,8.0,9.0,11.0,3.0,9.0,8.0,9.0,14.0,7.0,5.0,9.0,16.0,10.0,15.0,20.0,3.0,10.0,11.0,7.0,10.0,9.0,8.0,13.0,8.0,8.0,9.0,10.0,10.0,6.0
ooievaar,11.0,10.0,6.0,10.0,6.0,13.0,9.0,9.0,10.0,12.0,7.0,7.0,8.0,9.0,5.0,3.0,20.0,12.0,5.0,10.0,5.0,11.0,18.0,4.0,10.0,10.0,10.0,10.0,16.0,10.0
papegaai,11.0,15.0,10.0,14.0,11.0,7.0,10.0,9.0,6.0,8.0,12.0,8.0,12.0,11.0,11.0,10.0,12.0,20.0,13.0,9.0,13.0,9.0,12.0,11.0,12.0,10.0,8.0,6.0,8.0,12.0
parkiet,10.0,10.0,7.0,9.0,10.0,10.0,8.0,6.0,16.0,4.0,8.0,9.0,17.0,12.0,8.0,11.0,5.0,13.0,20.0,10.0,7.0,6.0,8.0,12.0,12.0,7.0,10.0,10.0,10.0,8.0
