exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,3.0,3.0,4.0,5.0,13.0,6.0,4.0,3.0,3.0,3.0,7.0,4.0,3.0,5.0,3.0,5.0,7.0,3.0,2.0,5.0,3.0,7.0,3.0,6.0,10.0,6.0,13.0,4.0,6.0
duif,3.0,20.0,6.0,10.0,4.0,6.0,3.0,6.0,4.0,7.0,10.0,11.0,6.0,10.0,14.0,6.0,2.0,5.0,9.0,11.0,3.0,2.0,8.0,7.0,6.0,2.0,4.0,6.0,5.0,13.0
eend,3.0,6.0,20.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,6.0,4.0,3.0,7.0,4.0,2.0,3.0,7.0,4.0,3.0,6.0,6.0,2.0,2.0,3.0,3.0,3.0,13.0,3.0
ekster,4.0,10.0,3.0,20.0,3.0,9.0,3.0,6.0,5.0,6.0,6.0,13.0,12.0,13.0,13.0,4.0,6.0,14.0,6.0,6.0,7.0,5.0,7.0,5.0,8.0,3.0,5.0,8.0,2.0,11.0
fazant,5.0,4.0,4.0,3.0,20.0,6.0,8.0,14.0,4.0,5.0,13.0,3.0,5.0,5.0,6.0,3.0,13.0,8.0,7.0,15.0,12.0,3.0,14.0,4.0,4.0,6.0,6.0,7.0,6.0,15.0
gier,13.0,6.0,3.0,9.0,6.0,20.0,5.0,4.0,5.0,6.0,3.0,8.0,4.0,3.0,8.0,6.0,3.0,6.0,3.0,5.0,5.0,2.0,11.0,5.0,6.0,4.0,5.0,16.0,2.0,6.0
haan,6.0,3.0,4.0,3.0,8.0,5.0,20.0,12.0,8.0,16.0,12.0,6.0,6.0,3.0,4.0,3.0,3.0,7.0,5.0,8.0,6.0,2.0,7.0,3.0,10.0,4.0,5.0,5.0,6.0,10.0
kalkoen,4.0,6.0,5.0,6.0,14.0,4.0,12.0,20.0,6.0,15.0,7.0,5.0,3.0,4.0,7.0,8.0,4.0,7.0,3.0,14.0,7.0,6.0,5.0,3.0,4.0,10.0,3.0,3.0,7.0,10.0
kanarie,3.0,4.0,5.0,5.0,4.0,5.0,8.0,6.0,20.0,6.0,10.0,4.0,7.0,4.0,7.0,10.0,6.0,15.0,18.0,5.0,7.0,3.0,3.0,11.0,7.0,3.0,4.0,4.0,3.0,4.0
kip,3.0,7.0,3.0,6.0,5.0,6.0,16.0,15.0,6.0,20.0,8.0,11.0,6.0,5.0,4.0,6.0,4.0,9.0,3.0,7.0,7.0,3.0,4.0,8.0,6.0,10.0,7.0,7.0,10.0,4.0
koekoek,3.0,10.0,3.0,6.0,13.0,3.0,12.0,7.0,10.0,8.0,20.0,3.0,6.0,11.0,7.0,7.0,11.0,10.0,10.0,8.0,11.0,3.0,6.0,4.0,5.0,6.0,14.0,4.0,7.0,10.0
kraai,7.0,11.0,6.0,13.0,3.0,8.0,6.0,5.0,4.0,11.0,3.0,20.0,5.0,8.0,13.0,4.0,11.0,12.0,6.0,4.0,6.0,4.0,6.0,5.0,8.0,4.0,4.0,13.0,8.0,11.0
mees,4.0,6.0,4.0,12.0,5.0,4.0,6.0,3.0,7.0,6.0,6.0,5.0,20.0,11.0,12.0,15.0,3.0,3.0,10.0,4.0,3.0,3.0,3.0,14.0,5.0,5.0,3.0,6.0,4.0,6.0
meeuw,3.0,10.0,3.0,13.0,5.0,3.0,3.0,4.0,4.0,5.0,11.0,8.0,11.0,20.0,12.0,6.0,4.0,3.0,7.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,6.0,17.0
merel,5.0,14.0,7.0,13.0,6.0,8.0,4.0,7.0,7.0,4.0,7.0,13.0,12.0,12.0,20.0,12.0,6.0,4.0,10.0,6.0,3.0,2.0,5.0,11.0,4.0,2.0,6.0,5.0,5.0,13.0
mus,3.0,6.0,4.0,4.0,3.0,6.0,3.0,8.0,10.0,6.0,7.0,4.0,15.0,6.0,12.0,20.0,3.0,4.0,6.0,3.0,3.0,4.0,4.0,13.0,3.0,10.0,4.0,9.0,2.0,3.0
ooievaar,5.0,2.0,2.0,6.0,13.0,3.0,3.0,4.0,6.0,4.0,11.0,11.0,3.0,4.0,6.0,3.0,20.0,7.0,6.0,11.0,15.0,3.0,14.0,2.0,6.0,10.0,3.0,3.0,5.0,5.0
papegaai,7.0,5.0,3.0,14.0,8.0,6.0,7.0,7.0,15.0,9.0,10.0,12.0,3.0,3.0,4.0,4.0,7.0,20.0,12.0,7.0,11.0,3.0,6.0,3.0,9.0,6.0,5.0,7.0,4.0,6.0
parkiet,3.0,9.0,7.0,6.0,7.0,3.0,5.0,3.0,18.0,3.0,10.0,6.0,10.0,7.0,10.0,6.0,6.0,12.0,20.0,2.0,5.0,3.0,6.0,16.0,9.0,2.0,6.0,3.0,3.0,3.0
pauw,2.0,11.0,4.0,6.0,15.0,5.0,8.0,14.0,5.0,7.0,8.0,4.0,4.0,3.0,6.0,3.0,11.0,7.0,2.0,20.0,11.0,4.0,7.0,4.0,6.0,15.0,6.0,6.0,6.0,6.0
pelikaan,5.0,3.0,3.0,7.0,12.0,5.0,6.0,7.0,7.0,7.0,11.0,6.0,3.0,5.0,3.0,3.0,15.0,11.0,5.0,11.0,20.0,7.0,10.0,5.0,7.0,7.0,2.0,6.0,10.0,3.0
pinguïn,3.0,2.0,6.0,5.0,3.0,2.0,2.0,6.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,7.0,20.0,2.0,3.0,6.0,2.0,3.0,2.0,7.0,6.0
reiger,7.0,8.0,6.0,7.0,14.0,11.0,7.0,5.0,3.0,4.0,6.0,6.0,3.0,4.0,5.0,4.0,14.0,6.0,6.0,7.0,10.0,2.0,20.0,4.0,6.0,6.0,8.0,9.0,4.0,10.0
roodborstje,3.0,7.0,2.0,5.0,4.0,5.0,3.0,3.0,11.0,8.0,4.0,5.0,14.0,4.0,11.0,13.0,2.0,3.0,16.0,4.0,5.0,3.0,4.0,20.0,16.0,2.0,5.0,3.0,2.0,3.0
specht,6.0,6.0,2.0,8.0,4.0,6.0,10.0,4.0,7.0,6.0,5.0,8.0,5.0,5.0,4.0,3.0,6.0,9.0,9.0,6.0,7.0,6.0,6.0,16.0,20.0,4.0,6.0,6.0,4.0,4.0
struisvogel,10.0,2.0,3.0,3.0,6.0,4.0,4.0,10.0,3.0,10.0,6.0,4.0,5.0,5.0,2.0,10.0,10.0,6.0,2.0,15.0,7.0,2.0,6.0,2.0,4.0,20.0,4.0,3.0,7.0,7.0
uil,6.0,4.0,3.0,5.0,6.0,5.0,5.0,3.0,4.0,7.0,14.0,4.0,3.0,5.0,6.0,4.0,3.0,5.0,6.0,6.0,2.0,3.0,8.0,5.0,6.0,4.0,20.0,7.0,2.0,3.0
valk,13.0,6.0,3.0,8.0,7.0,16.0,5.0,3.0,4.0,7.0,4.0,13.0,6.0,3.0,5.0,9.0,3.0,7.0,3.0,6.0,6.0,2.0,9.0,3.0,6.0,3.0,7.0,20.0,5.0,7.0
zwaan,4.0,5.0,13.0,2.0,6.0,2.0,6.0,7.0,3.0,10.0,7.0,8.0,4.0,6.0,5.0,2.0,5.0,4.0,3.0,6.0,10.0,7.0,4.0,2.0,4.0,7.0,2.0,5.0,20.0,3.0
zwaluw,6.0,13.0,3.0,11.0,15.0,6.0,10.0,10.0,4.0,4.0,10.0,11.0,6.0,17.0,13.0,3.0,5.0,6.0,3.0,6.0,3.0,6.0,10.0,3.0,4.0,7.0,3.0,7.0,3.0,20.0
