exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,4.0,7.0,7.0,7.0,16.0,13.0,6.0,5.0,4.0,10.0,11.0,7.0,5.0,6.0,6.0,9.0,6.0,6.0,8.0,11.0,3.0,13.0,6.0,11.0,6.0,14.0,13.0,8.0,9.0
duif,4.0,20.0,15.0,11.0,14.0,4.0,8.0,14.0,8.0,15.0,10.0,6.0,10.0,6.0,14.0,14.0,12.0,13.0,12.0,14.0,7.0,8.0,10.0,12.0,7.0,6.0,12.0,5.0,5.0,14.0
eend,7.0,15.0,20.0,6.0,17.0,4.0,16.0,15.0,12.0,15.0,9.0,7.0,6.0,5.0,7.0,8.0,6.0,12.0,7.0,14.0,13.0,8.0,9.0,9.0,7.0,7.0,14.0,6.0,17.0,6.0
ekster,7.0,11.0,6.0,20.0,7.0,12.0,9.0,12.0,7.0,14.0,12.0,18.0,16.0,14.0,16.0,15.0,7.0,8.0,10.0,6.0,6.0,4.0,6.0,13.0,13.0,7.0,10.0,5.0,6.0,7.0
fazant,7.0,14.0,17.0,7.0,20.0,14.0,16.0,15.0,6.0,16.0,11.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,9.0,16.0,7.0,2.0,7.0,5.0,9.0,16.0,14.0,5.0,13.0,8.0
gier,16.0,4.0,4.0,12.0,14.0,20.0,13.0,12.0,3.0,5.0,12.0,12.0,4.0,4.0,5.0,3.0,12.0,12.0,5.0,11.0,14.0,5.0,17.0,8.0,10.0,12.0,14.0,12.0,8.0,11.0
haan,13.0,8.0,16.0,9.0,16.0,13.0,20.0,16.0,8.0,19.0,15.0,7.0,7.0,7.0,6.0,6.0,6.0,14.0,14.0,17.0,7.0,6.0,6.0,6.0,11.0,16.0,12.0,8.0,13.0,7.0
kalkoen,6.0,14.0,15.0,12.0,15.0,12.0,16.0,20.0,6.0,18.0,9.0,7.0,9.0,8.0,6.0,7.0,9.0,10.0,7.0,16.0,6.0,13.0,9.0,14.0,9.0,15.0,12.0,6.0,8.0,5.0
kanarie,5.0,8.0,12.0,7.0,6.0,3.0,8.0,6.0,20.0,8.0,11.0,5.0,13.0,5.0,5.0,14.0,5.0,16.0,19.0,6.0,5.0,4.0,6.0,14.0,11.0,3.0,7.0,6.0,4.0,5.0
kip,4.0,15.0,15.0,14.0,16.0,5.0,19.0,18.0,8.0,20.0,8.0,6.0,10.0,7.0,6.0,7.0,4.0,15.0,4.0,15.0,7.0,11.0,9.0,13.0,8.0,14.0,14.0,5.0,14.0,8.0
