exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,11.0,5.0,11.0,11.0,16.0,11.0,9.0,12.0,11.0,13.0,13.0,11.0,13.0,11.0,12.0,16.0,17.0,12.0,10.0,11.0,11.0,13.0,9.0,13.0,11.0,14.0,18.0,12.0,11.0
duif,11.0,20.0,8.0,12.0,11.0,11.0,7.0,9.0,12.0,11.0,13.0,13.0,13.0,14.0,13.0,14.0,12.0,11.0,12.0,11.0,11.0,8.0,12.0,18.0,14.0,11.0,12.0,12.0,11.0,10.0
eend,5.0,8.0,20.0,11.0,9.0,8.0,9.0,14.0,11.0,11.0,11.0,5.0,8.0,9.0,11.0,9.0,10.0,5.0,11.0,10.0,12.0,15.0,11.0,9.0,8.0,3.0,11.0,7.0,16.0,11.0
ekster,11.0,12.0,11.0,20.0,12.0,11.0,9.0,11.0,12.0,6.0,12.0,14.0,12.0,14.0,16.0,13.0,12.0,13.0,11.0,8.0,11.0,6.0,13.0,13.0,14.0,11.0,14.0,12.0,11.0,14.0
fazant,11.0,11.0,9.0,12.0,20.0,11.0,12.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,8.0,11.0,12.0,10.0,12.0,14.0,7.0,8.0,11.0,10.0,11.0,11.0,9.0,10.0,9.0,11.0
gier,16.0,11.0,8.0,11.0,11.0,20.0,11.0,12.0,7.0,9.0,11.0,13.0,6.0,11.0,11.0,11.0,14.0,14.0,11.0,11.0,13.0,7.0,14.0,9.0,12.0,12.0,11.0,16.0,11.0,11.0
haan,11.0,7.0,9.0,9.0,12.0,11.0,20.0,17.0,11.0,18.0,7.0,13.0,11.0,9.0,11.0,9.0,10.0,12.0,8.0,11.0,11.0,9.0,11.0,11.0,8.0,11.0,13.0,13.0,8.0,7.0
kalkoen,9.0,9.0,14.0,11.0,11.0,12.0,17.0,20.0,8.0,18.0,11.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,9.0,7.0,11.0,11.0,11.0,8.0,11.0,11.0,8.0,12.0,12.0,11.0
kanarie,12.0,12.0,11.0,12.0,11.0,7.0,11.0,8.0,20.0,11.0,14.0,13.0,16.0,11.0,15.0,14.0,11.0,12.0,18.0,11.0,11.0,9.0,12.0,15.0,12.0,7.0,12.0,11.0,11.0,16.0
kip,11.0,11.0,11.0,6.0,9.0,9.0,18.0,18.0,11.0,20.0,7.0,12.0,11.0,6.0,6.0,7.0,11.0,12.0,11.0,11.0,9.0,9.0,11.0,4.0,8.0,6.0,6.0,9.0,6.0,8.0
koekoek,13.0,13.0,11.0,12.0,11.0,11.0,7.0,11.0,14.0,7.0,20.0,11.0,11.0,13.0,13.0,14.0,14.0,11.0,13.0,13.0,13.0,11.0,14.0,11.0,13.0,12.0,17.0,12.0,11.0,11.0
kraai,13.0,13.0,5.0,14.0,11.0,13.0,13.0,9.0,13.0,12.0,11.0,20.0,12.0,15.0,17.0,13.0,12.0,12.0,12.0,11.0,9.0,11.0,12.0,12.0,14.0,9.0,14.0,14.0,11.0,12.0
mees,11.0,13.0,8.0,12.0,11.0,6.0,11.0,9.0,16.0,11.0,11.0,12.0,20.0,11.0,15.0,18.0,9.0,11.0,14.0,8.0,11.0,11.0,8.0,13.0,15.0,6.0,11.0,13.0,11.0,16.0
meeuw,13.0,14.0,9.0,14.0,11.0,11.0,9.0,9.0,11.0,6.0,13.0,15.0,11.0,20.0,14.0,11.0,11.0,11.0,13.0,8.0,15.0,7.0,13.0,11.0,14.0,9.0,12.0,14.0,12.0,14.0
merel,11.0,13.0,11.0,16.0,8.0,11.0,11.0,11.0,15.0,6.0,13.0,17.0,15.0,14.0,20.0,14.0,12.0,13.0,14.0,11.0,11.0,6.0,11.0,14.0,15.0,4.0,8.0,11.0,7.0,14.0
mus,12.0,14.0,9.0,13.0,11.0,11.0,9.0,11.0,14.0,7.0,14.0,13.0,18.0,11.0,14.0,20.0,9.0,12.0,13.0,11.0,11.0,9.0,12.0,17.0,13.0,6.0,8.0,12.0,9.0,18.0
ooievaar,16.0,12.0,10.0,12.0,12.0,14.0,10.0,11.0,11.0,11.0,14.0,12.0,9.0,11.0,12.0,9.0,20.0,11.0,11.0,7.0,14.0,7.0,16.0,11.0,14.0,12.0,13.0,14.0,12.0,10.0
papegaai,17.0,11.0,5.0,13.0,10.0,14.0,12.0,11.0,12.0,12.0,11.0,12.0,11.0,11.0,13.0,12.0,11.0,20.0,13.0,12.0,12.0,9.0,12.0,11.0,11.0,11.0,12.0,14.0,11.0,11.0
parkiet,12.0,12.0,11.0,11.0,12.0,11.0,8.0,9.0,18.0,11.0,13.0,12.0,14.0,13.0,14.0,13.0,11.0,13.0,20.0,12.0,11.0,5.0,11.0,14.0,12.0,9.0,13.0,13.0,8.0,15.0
pauw,10.0,11.0,10.0,8.0,14.0,11.0,11.0,7.0,11.0,11.0,13.0,11.0,8.0,8.0,11.0,11.0,7.0,12.0,12.0,20.0,11.0,8.0,14.0,9.0,15.0,11.0,12.0,10.0,9.0,11.0
pelikaan,11.0,11.0,12.0,11.0,7.0,13.0,11.0,11.0,11.0,9.0,13.0,9.0,11.0,15.0,11.0,11.0,14.0,12.0,11.0,11.0,20.0,11.0,12.0,11.0,13.0,12.0,10.0,11.0,12.0,9.0
pinguïn,11.0,8.0,15.0,6.0,8.0,7.0,9.0,11.0,9.0,9.0,11.0,11.0,11.0,7.0,6.0,9.0,7.0,9.0,5.0,8.0,11.0,20.0,11.0,9.0,6.0,11.0,11.0,11.0,14.0,6.0
reiger,13.0,12.0,11.0,13.0,11.0,14.0,11.0,11.0,12.0,11.0,14.0,12.0,8.0,13.0,11.0,12.0,16.0,12.0,11.0,14.0,12.0,11.0,20.0,12.0,17.0,11.0,12.0,13.0,12.0,11.0
roodborstje,9.0,18.0,9.0,13.0,10.0,9.0,11.0,8.0,15.0,4.0,11.0,12.0,13.0,11.0,14.0,17.0,11.0,11.0,14.0,9.0,11.0,9.0,12.0,20.0,11.0,8.0,12.0,13.0,11.0,16.0
specht,13.0,14.0,8.0,14.0,11.0,12.0,8.0,11.0,12.0,8.0,13.0,14.0,15.0,14.0,15.0,13.0,14.0,11.0,12.0,15.0,13.0,6.0,17.0,11.0,20.0,11.0,13.0,13.0,8.0,13.0
struisvogel,11.0,11.0,3.0,11.0,11.0,12.0,11.0,11.0,7.0,6.0,12.0,9.0,6.0,9.0,4.0,6.0,12.0,11.0,9.0,11.0,12.0,11.0,11.0,8.0,11.0,20.0,7.0,9.0,13.0,11.0
uil,14.0,12.0,11.0,14.0,9.0,11.0,13.0,8.0,12.0,6.0,17.0,14.0,11.0,12.0,8.0,8.0,13.0,12.0,13.0,12.0,10.0,11.0,12.0,12.0,13.0,7.0,20.0,16.0,8.0,12.0
valk,18.0,12.0,7.0,12.0,10.0,16.0,13.0,12.0,11.0,9.0,12.0,14.0,13.0,14.0,11.0,12.0,14.0,14.0,13.0,10.0,11.0,11.0,13.0,13.0,13.0,9.0,16.0,20.0,7.0,13.0
zwaan,12.0,11.0,16.0,11.0,9.0,11.0,8.0,12.0,11.0,6.0,11.0,11.0,11.0,12.0,7.0,9.0,12.0,11.0,8.0,9.0,12.0,14.0,12.0,11.0,8.0,13.0,8.0,7.0,20.0,9.0
zwaluw,11.0,10.0,11.0,14.0,11.0,11.0,7.0,11.0,16.0,8.0,11.0,12.0,16.0,14.0,14.0,18.0,10.0,11.0,15.0,11.0,9.0,6.0,11.0,16.0,13.0,11.0,12.0,13.0,9.0,20.0
