exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
arend,20.0,2.0,3.0,7.0,3.0,15.0,3.0,3.0,3.0,5.0,2.0,7.0,5.0,5.0,6.0,6.0,11.0,2.0,3.0,3.0,2.0,1.0,15.0,1.0,14.0,3.0,5.0,18.0,2.0,5.0
duif,2.0,20.0,8.0,3.0,3.0,4.0,3.0,6.0,6.0,15.0,5.0,3.0,15.0,18.0,3.0,3.0,10.0,8.0,6.0,6.0,3.0,1.0,4.0,12.0,6.0,3.0,8.0,9.0,8.0,8.0
eend,3.0,8.0,20.0,3.0,14.0,1.0,6.0,15.0,5.0,13.0,3.0,3.0,6.0,5.0,1.0,5.0,2.0,1.0,9.0,4.0,4.0,14.0,5.0,8.0,2.0,2.0,3.0,5.0,16.0,2.0
ekster,7.0,3.0,3.0,20.0,5.0,15.0,9.0,1.0,5.0,4.0,3.0,17.0,5.0,8.0,12.0,14.0,3.0,14.0,9.0,2.0,1.0,10.0,15.0,1.0,14.0,1.0,14.0,10.0,1.0,15.0
fazant,3.0,3.0,14.0,5.0,20.0,3.0,13.0,12.0,2.0,10.0,3.0,5.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,8.0,1.0,2.0,3.0,4.0,7.0,8.0,6.0,8.0,8.0,5.0
gier,15.0,4.0,1.0,15.0,3.0,20.0,2.0,1.0,2.0,3.0,3.0,16.0,6.0,7.0,5.0,6.0,2.0,5.0,5.0,2.0,3.0,2.0,15.0,2.0,15.0,5.0,6.0,16.0,2.0,12.0
haan,3.0,3.0,6.0,9.0,13.0,2.0,20.0,11.0,2.0,16.0,7.0,8.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,17.0,2.0,1.0,3.0,3.0,1.0,1.0,10.0,2.0,6.0,2.0
kalkoen,3.0,6.0,15.0,1.0,12.0,1.0,11.0,20.0,5.0,14.0,1.0,5.0,5.0,2.0,5.0,3.0,9.0,2.0,2.0,14.0,12.0,4.0,3.0,2.0,2.0,13.0,2.0,3.0,18.0,4.0
kanarie,3.0,6.0,5.0,5.0,2.0,2.0,2.0,5.0,20.0,8.0,17.0,2.0,3.0,5.0,6.0,13.0,1.0,15.0,20.0,12.0,3.0,2.0,3.0,15.0,6.0,3.0,3.0,3.0,2.0,2.0
kip,5.0,15.0,13.0,4.0,10.0,3.0,16.0,14.0,8.0,20.0,8.0,1.0,9.0,4.0,5.0,2.0,1.0,1.0,5.0,5.0,9.0,4.0,5.0,5.0,4.0,3.0,9.0,7.0,10.0,5.0
koekoek,2.0,5.0,3.0,3.0,3.0,3.0,7.0,1.0,17.0,8.0,20.0,2.0,6.0,4.0,8.0,5.0,2.0,8.0,9.0,3.0,3.0,5.0,3.0,9.0,5.0,3.0,13.0,4.0,2.0,12.0
kraai,7.0,3.0,3.0,17.0,5.0,16.0,8.0,5.0,2.0,1.0,2.0,20.0,7.0,15.0,9.0,6.0,3.0,3.0,4.0,4.0,3.0,14.0,14.0,1.0,15.0,3.0,9.0,12.0,2.0,7.0
mees,5.0,15.0,6.0,5.0,2.0,6.0,1.0,5.0,3.0,9.0,6.0,7.0,20.0,3.0,11.0,15.0,3.0,4.0,5.0,2.0,6.0,3.0,5.0,11.0,12.0,3.0,5.0,3.0,3.0,16.0
meeuw,5.0,18.0,5.0,8.0,4.0,7.0,4.0,2.0,5.0,4.0,4.0,15.0,3.0,20.0,15.0,14.0,12.0,3.0,6.0,2.0,11.0,13.0,9.0,3.0,8.0,2.0,3.0,8.0,6.0,14.0
merel,6.0,3.0,1.0,12.0,2.0,5.0,1.0,5.0,6.0,5.0,8.0,9.0,11.0,15.0,20.0,17.0,4.0,3.0,14.0,3.0,2.0,7.0,8.0,6.0,11.0,3.0,5.0,10.0,4.0,15.0
mus,6.0,3.0,5.0,14.0,2.0,6.0,2.0,3.0,13.0,2.0,5.0,6.0,15.0,14.0,17.0,20.0,1.0,4.0,6.0,3.0,2.0,3.0,8.0,14.0,11.0,1.0,6.0,3.0,3.0,9.0
ooievaar,11.0,10.0,2.0,3.0,3.0,2.0,1.0,9.0,1.0,1.0,2.0,3.0,3.0,12.0,4.0,1.0,20.0,2.0,3.0,5.0,15.0,3.0,8.0,1.0,2.0,6.0,1.0,1.0,13.0,6.0
papegaai,2.0,8.0,1.0,14.0,2.0,5.0,3.0,2.0,15.0,1.0,8.0,3.0,4.0,3.0,3.0,4.0,2.0,20.0,15.0,16.0,3.0,3.0,3.0,8.0,4.0,2.0,6.0,4.0,5.0,2.0
