exemplar,category strength,exemplar strength
ansjovis,0.000,0.120
dolfijn,0.007,0.037
forel,0.004,0.285
goudvis,0.007,0.011
haai,0.007,0.056
haring,0.004,0.237
inktvis,0.000,0.022
kabeljauw,0.015,0.307
karper,0.004,0.315
orka,0.004,0.070
paling,0.000,0.184
piranha,0.000,0.200
pladijs,0.000,0.268
platvis,0.000,0.049
potvis,0.000,0.045
rog,0.004,0.243
sardine,0.000,0.219
snoek,0.000,0.296
stekelbaars,0.000,0.270
tong,0.007,0.056
walvis,0.004,0.027
zalm,0.022,0.252
zwaardvis,0.000,0.044
