exemplar,category strength,exemplar strength
adder,0.000,0.011
alligator,0.007,0.030
boa,0.000,0.004
cobra,0.000,0.007
dinosaurus,0.015,0.015
gekko,0.004,0.021
hagedis,0.116,0.059
hazelworm,0.000,0.004
kaaiman,0.000,0.022
kameleon,0.011,0.059
kikker,0.026,0.004
krokodil,0.090,0.019
leguaan,0.000,0.111
pad,0.000,0.000
python,0.000,0.007
salamander,0.041,0.049
schildpad,0.004,0.007
slang,0.127,0.026
varaan,0.011,0.063
waterschildpad,0.000,0.000
