exemplar,category strength,exemplar strength
bazooka,0.000,0.067
bijl,0.003,0.004
boksbeugel,0.000,0.007
boog,0.013,0.007
dolk,0.013,0.050
geweer,0.078,0.018
granaat,0.000,0.033
kanon,0.000,0.018
katapult,0.000,0.025
knuppel,0.000,0.011
mitrailleur,0.000,0.025
pistool,0.049,0.050
schild,0.007,0.033
speer,0.000,0.057
stok,0.000,0.000
tank,0.000,0.000
touw,0.000,0.000
tweeloop,0.000,0.032
zwaard,0.007,0.004
zweep,0.000,0.000
