exemplar,category strength,exemplar strength
badminton,0.007,0.094
ballet,0.000,0.004
baseball,0.000,0.116
basketbal,0.011,0.086
biljarten,0.000,0.011
boksen,0.000,0.056
golf,0.007,0.052
handbal,0.004,0.178
hardlopen,0.000,0.098
ijshockey,0.000,0.064
judo,0.000,0.115
kogelstoten,0.000,0.107
paardrijden,0.004,0.047
rugby,0.000,0.119
schaken,0.000,0.004
schermen,0.004,0.112
skiën,0.007,0.007
sportvissen,0.000,0.019
squash,0.007,0.122
surfen,0.000,0.011
tafeltennis,0.000,0.057
tennis,0.074,0.034
turnen,0.011,0.041
verspringen,0.000,0.081
voetbal,0.122,0.052
volleybal,0.011,0.161
wandelen,0.000,0.007
wielrennen,0.007,0.041
zeilen,0.004,0.019
zwemmen,0.059,0.007
