exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
beitel,,20.0,9.0,4.0,9.0,15.0,2.0,13.0,,16.0,10.0,1.0,16.0,10.0,,14.0,1.0,,1.0,16.0,5.0,8.0,,1.0,14.0,1.0,15.0,14.0,4.0,3.0
bijl,,9.0,20.0,8.0,8.0,1.0,1.0,8.0,,,15.0,3.0,13.0,3.0,,6.0,5.0,,2.0,1.0,3.0,1.0,,1.0,2.0,1.0,5.0,2.0,4.0,6.0
boormachine,,4.0,8.0,20.0,6.0,6.0,1.0,6.0,,1.0,,2.0,1.0,4.0,,3.0,3.0,,5.0,5.0,12.0,1.0,,1.0,5.0,1.0,3.0,7.0,1.0,15.0
breekijzer,,9.0,8.0,6.0,20.0,13.0,1.0,15.0,,15.0,16.0,3.0,10.0,6.0,,3.0,,,3.0,4.0,6.0,1.0,,1.0,6.0,1.0,3.0,4.0,10.0,8.0
engelse sleutel,,15.0,1.0,6.0,13.0,20.0,1.0,5.0,,15.0,18.0,1.0,6.0,17.0,,6.0,1.0,,2.0,15.0,1.0,1.0,,1.0,6.0,1.0,6.0,9.0,8.0,1.0
grasmachine,,2.0,1.0,1.0,1.0,1.0,20.0,2.0,,1.0,3.0,8.0,1.0,1.0,,1.0,8.0,,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0
hamer,,13.0,8.0,6.0,15.0,5.0,2.0,20.0,,9.0,15.0,1.0,3.0,7.0,,4.0,2.0,,1.0,1.0,1.0,1.0,,1.0,8.0,1.0,7.0,2.0,6.0,6.0
houtklem,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
houweel,,16.0,,1.0,15.0,15.0,1.0,9.0,,20.0,4.0,3.0,8.0,3.0,,16.0,1.0,,6.0,8.0,1.0,1.0,,1.0,,2.0,9.0,6.0,,4.0
koevoet,,10.0,15.0,,16.0,18.0,3.0,15.0,,4.0,20.0,1.0,8.0,19.0,,5.0,2.0,,7.0,1.0,4.0,1.0,,5.0,,1.0,6.0,5.0,17.0,1.0
kruiwagen,,1.0,3.0,2.0,3.0,1.0,8.0,1.0,,3.0,1.0,20.0,1.0,1.0,,1.0,3.0,,7.0,1.0,1.0,1.0,,6.0,1.0,1.0,1.0,2.0,1.0,1.0
mes,,16.0,13.0,1.0,10.0,6.0,1.0,3.0,,8.0,8.0,1.0,20.0,6.0,,6.0,6.0,,4.0,15.0,6.0,3.0,1.0,1.0,8.0,1.0,4.0,18.0,1.0,5.0
moersleutel,,10.0,3.0,4.0,6.0,17.0,1.0,7.0,,3.0,19.0,1.0,6.0,20.0,,1.0,1.0,,3.0,16.0,1.0,1.0,,1.0,15.0,1.0,5.0,6.0,6.0,3.0
oliespuit,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
