exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,7.0,6.0,4.0,11.0,6.0,2.0,4.0,5.0,6.0,6.0,5.0,7.0,,,3.0,6.0,3.0,3.0,3.0,3.0,7.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,5.0
beitel,7.0,20.0,16.0,6.0,16.0,6.0,4.0,13.0,11.0,18.0,19.0,4.0,14.0,,,14.0,3.0,5.0,6.0,8.0,3.0,6.0,7.0,3.0,16.0,2.0,8.0,16.0,8.0,6.0
bijl,6.0,16.0,20.0,7.0,16.0,9.0,4.0,9.0,3.0,15.0,17.0,4.0,14.0,,,8.0,6.0,9.0,11.0,6.0,5.0,8.0,6.0,4.0,12.0,2.0,11.0,8.0,5.0,12.0
boormachine,4.0,6.0,7.0,20.0,8.0,4.0,5.0,5.0,3.0,6.0,14.0,5.0,7.0,,,8.0,6.0,4.0,6.0,14.0,13.0,17.0,4.0,2.0,5.0,1.0,7.0,7.0,7.0,12.0
breekijzer,11.0,16.0,16.0,8.0,20.0,11.0,6.0,12.0,2.0,17.0,17.0,6.0,17.0,,,13.0,3.0,13.0,10.0,8.0,15.0,5.0,7.0,6.0,12.0,3.0,7.0,12.0,7.0,6.0
engelse sleutel,6.0,6.0,9.0,4.0,11.0,20.0,7.0,6.0,15.0,11.0,6.0,6.0,11.0,,,11.0,6.0,4.0,7.0,15.0,6.0,4.0,8.0,3.0,13.0,2.0,3.0,8.0,8.0,8.0
grasmachine,2.0,4.0,4.0,5.0,6.0,7.0,20.0,4.0,2.0,4.0,4.0,13.0,15.0,,,1.0,14.0,16.0,12.0,8.0,10.0,4.0,3.0,12.0,5.0,1.0,8.0,6.0,8.0,11.0
hamer,4.0,13.0,9.0,5.0,12.0,6.0,4.0,20.0,3.0,8.0,13.0,6.0,6.0,,,6.0,4.0,4.0,7.0,9.0,9.0,4.0,13.0,6.0,1.0,2.0,8.0,7.0,4.0,3.0
houtklem,5.0,11.0,3.0,3.0,2.0,15.0,2.0,3.0,20.0,4.0,3.0,4.0,5.0,,,7.0,4.0,3.0,6.0,3.0,6.0,4.0,3.0,8.0,4.0,3.0,6.0,3.0,5.0,3.0
houweel,6.0,18.0,15.0,6.0,17.0,11.0,4.0,8.0,4.0,20.0,17.0,9.0,5.0,,,12.0,14.0,10.0,8.0,11.0,8.0,6.0,7.0,4.0,17.0,3.0,9.0,8.0,4.0,7.0
koevoet,6.0,19.0,17.0,14.0,17.0,6.0,4.0,13.0,3.0,17.0,20.0,6.0,12.0,,,7.0,6.0,10.0,6.0,9.0,7.0,3.0,6.0,5.0,12.0,4.0,7.0,8.0,5.0,8.0
kruiwagen,5.0,4.0,4.0,5.0,6.0,6.0,13.0,6.0,4.0,9.0,6.0,20.0,3.0,,,4.0,7.0,4.0,6.0,4.0,7.0,1.0,2.0,13.0,3.0,1.0,6.0,2.0,5.0,3.0
mes,7.0,14.0,14.0,7.0,17.0,11.0,15.0,6.0,5.0,5.0,12.0,3.0,20.0,,,14.0,5.0,11.0,7.0,10.0,16.0,6.0,12.0,3.0,17.0,1.0,7.0,14.0,4.0,14.0
moersleutel,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
oliespuit,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
plamuurmes,3.0,14.0,8.0,8.0,13.0,11.0,1.0,6.0,7.0,12.0,7.0,4.0,14.0,,,20.0,4.0,13.0,12.0,9.0,15.0,12.0,9.0,7.0,8.0,2.0,14.0,18.0,2.0,7.0
ploeg,6.0,3.0,6.0,6.0,3.0,6.0,14.0,4.0,4.0,14.0,6.0,7.0,5.0,,,4.0,20.0,6.0,13.0,7.0,9.0,8.0,7.0,13.0,9.0,1.0,4.0,6.0,6.0,6.0
schaaf,3.0,5.0,9.0,4.0,13.0,4.0,16.0,4.0,3.0,10.0,10.0,4.0,11.0,,,13.0,6.0,20.0,7.0,6.0,13.0,6.0,7.0,15.0,6.0,3.0,7.0,14.0,7.0,
schop,3.0,6.0,11.0,6.0,10.0,7.0,12.0,7.0,6.0,8.0,6.0,6.0,7.0,,,12.0,13.0,7.0,20.0,5.0,7.0,9.0,6.0,6.0,5.0,2.0,10.0,7.0,5.0,6.0
schroevendraaier,3.0,8.0,6.0,14.0,8.0,15.0,8.0,9.0,3.0,11.0,9.0,4.0,10.0,,,9.0,7.0,6.0,5.0,20.0,8.0,12.0,6.0,7.0,7.0,3.0,9.0,7.0,4.0,3.0
slijpschijf,3.0,3.0,5.0,13.0,15.0,6.0,10.0,9.0,6.0,8.0,7.0,7.0,16.0,,,15.0,9.0,13.0,7.0,8.0,20.0,8.0,9.0,13.0,10.0,3.0,6.0,17.0,7.0,9.0
spijker,7.0,6.0,8.0,17.0,5.0,4.0,4.0,4.0,4.0,6.0,3.0,1.0,6.0,,,12.0,8.0,6.0,9.0,12.0,8.0,20.0,7.0,3.0,4.0,3.0,9.0,4.0,4.0,4.0
staalborstel,4.0,7.0,6.0,4.0,7.0,8.0,3.0,13.0,3.0,7.0,6.0,2.0,12.0,,,9.0,7.0,7.0,6.0,6.0,9.0,7.0,20.0,4.0,4.0,4.0,17.0,11.0,12.0,7.0
stofzuiger,3.0,3.0,4.0,2.0,6.0,3.0,12.0,6.0,8.0,4.0,5.0,13.0,3.0,,,7.0,13.0,15.0,6.0,7.0,13.0,3.0,4.0,20.0,3.0,6.0,3.0,2.0,6.0,4.0
tang,4.0,16.0,12.0,5.0,12.0,13.0,5.0,1.0,4.0,17.0,12.0,3.0,17.0,,,8.0,9.0,6.0,5.0,7.0,10.0,4.0,4.0,3.0,20.0,5.0,7.0,9.0,6.0,5.0
touw,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,,,2.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,6.0,5.0,20.0,5.0,3.0,2.0,1.0
