exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beitel,1.0,20.0,3.0,7.0,16.0,4.0,1.0,4.0,4.0,1.0,12.0,1.0,9.0,2.0,1.0,9.0,1.0,,3.0,12.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0
bijl,1.0,3.0,20.0,3.0,9.0,1.0,1.0,9.0,1.0,16.0,3.0,1.0,15.0,1.0,1.0,1.0,1.0,,1.0,1.0,7.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,15.0
boormachine,1.0,7.0,3.0,20.0,1.0,1.0,8.0,1.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,6.0,15.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0
breekijzer,1.0,16.0,9.0,1.0,20.0,1.0,1.0,7.0,3.0,4.0,17.0,1.0,3.0,3.0,3.0,1.0,6.0,,2.0,7.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0
engelse sleutel,1.0,4.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,17.0,1.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0
grasmachine,1.0,1.0,1.0,8.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,8.0,12.0,1.0,1.0,1.0,4.0,,1.0,1.0,15.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,4.0
hamer,12.0,4.0,9.0,1.0,7.0,1.0,1.0,20.0,1.0,4.0,6.0,2.0,3.0,1.0,1.0,3.0,1.0,,5.0,2.0,1.0,12.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,7.0
houtklem,3.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,20.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
houweel,2.0,1.0,16.0,1.0,4.0,1.0,1.0,4.0,4.0,20.0,6.0,1.0,3.0,1.0,1.0,3.0,6.0,,12.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
koevoet,1.0,12.0,3.0,4.0,17.0,2.0,1.0,6.0,1.0,6.0,20.0,1.0,3.0,2.0,1.0,2.0,10.0,,6.0,1.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,10.0
kruiwagen,3.0,1.0,1.0,3.0,1.0,1.0,8.0,2.0,2.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,10.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mes,1.0,9.0,15.0,2.0,3.0,1.0,12.0,3.0,2.0,3.0,3.0,1.0,20.0,1.0,1.0,18.0,16.0,,3.0,6.0,10.0,3.0,2.0,1.0,7.0,1.0,3.0,4.0,2.0,9.0
moersleutel,1.0,2.0,1.0,1.0,3.0,17.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,1.0,1.0,1.0,,7.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,3.0
oliespuit,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
plamuurmes,1.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,18.0,1.0,1.0,20.0,1.0,,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,2.0
ploeg,2.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,6.0,10.0,10.0,16.0,1.0,1.0,1.0,20.0,,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schaaf,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
schop,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,12.0,6.0,1.0,3.0,7.0,1.0,6.0,12.0,,20.0,1.0,3.0,4.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0
schroevendraaier,1.0,12.0,1.0,6.0,7.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,,1.0,20.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,2.0,1.0
slijpschijf,1.0,1.0,7.0,15.0,6.0,2.0,15.0,1.0,1.0,3.0,5.0,1.0,10.0,1.0,1.0,1.0,2.0,,3.0,1.0,20.0,3.0,4.0,3.0,1.0,1.0,1.0,14.0,1.0,13.0
spijker,1.0,8.0,1.0,1.0,1.0,1.0,1.0,12.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,4.0,1.0,3.0,20.0,2.0,1.0,3.0,1.0,1.0,9.0,2.0,1.0
staalborstel,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,2.0,1.0,4.0,2.0,20.0,1.0,1.0,1.0,16.0,3.0,1.0,1.0
stofzuiger,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,1.0,3.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
tang,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,1.0,7.0,6.0,3.0,2.0,1.0,,1.0,6.0,1.0,3.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0,2.0
touw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
verfborstel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0
vijl,1.0,16.0,2.0,6.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,1.0,,1.0,4.0,14.0,9.0,3.0,1.0,2.0,1.0,1.0,20.0,1.0,6.0
waterpas,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0
zaag,1.0,1.0,15.0,2.0,3.0,3.0,4.0,7.0,6.0,4.0,10.0,1.0,9.0,3.0,1.0,2.0,1.0,,3.0,1.0,13.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,20.0
