exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beitel,10.0,20.0,6.0,7.0,5.0,1.0,1.0,8.0,1.0,8.0,13.0,1.0,8.0,1.0,1.0,15.0,7.0,1.0,8.0,11.0,4.0,11.0,13.0,1.0,2.0,1.0,1.0,8.0,8.0,1.0
bijl,1.0,6.0,20.0,1.0,11.0,1.0,1.0,13.0,1.0,8.0,10.0,1.0,8.0,1.0,1.0,1.0,12.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
boormachine,1.0,7.0,1.0,20.0,7.0,1.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,11.0,5.0,16.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0
breekijzer,1.0,5.0,11.0,7.0,20.0,8.0,1.0,1.0,2.0,15.0,19.0,1.0,10.0,5.0,1.0,1.0,8.0,1.0,6.0,10.0,1.0,3.0,2.0,1.0,8.0,1.0,3.0,1.0,1.0,1.0
engelse sleutel,1.0,1.0,1.0,1.0,8.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0
grasmachine,1.0,1.0,1.0,6.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0
hamer,1.0,8.0,13.0,8.0,1.0,1.0,1.0,20.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
houtklem,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
houweel,1.0,8.0,8.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,13.0,1.0,8.0,1.0,1.0,9.0,15.0,3.0,10.0,1.0,1.0,3.0,9.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
koevoet,1.0,13.0,10.0,1.0,19.0,1.0,1.0,2.0,1.0,13.0,20.0,1.0,6.0,5.0,5.0,2.0,3.0,1.0,12.0,8.0,4.0,6.0,1.0,1.0,10.0,1.0,8.0,1.0,1.0,1.0
kruiwagen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mes,1.0,8.0,8.0,1.0,10.0,2.0,1.0,1.0,1.0,8.0,6.0,1.0,20.0,1.0,1.0,12.0,4.0,7.0,3.0,1.0,10.0,3.0,7.0,1.0,3.0,1.0,1.0,4.0,1.0,8.0
moersleutel,1.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,5.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0
oliespuit,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
plamuurmes,2.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,12.0,1.0,1.0,20.0,4.0,8.0,6.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
ploeg,1.0,7.0,12.0,1.0,8.0,1.0,1.0,1.0,1.0,15.0,3.0,3.0,4.0,1.0,1.0,4.0,20.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schaaf,1.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,20.0,1.0,1.0,18.0,1.0,15.0,1.0,1.0,1.0,1.0,13.0,1.0,8.0
schop,1.0,8.0,10.0,11.0,6.0,1.0,1.0,6.0,4.0,10.0,12.0,4.0,3.0,1.0,1.0,6.0,18.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
schroevendraaier,1.0,11.0,1.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,10.0,4.0,1.0,1.0,1.0,1.0,20.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
slijpschijf,1.0,4.0,1.0,16.0,1.0,1.0,7.0,1.0,7.0,1.0,4.0,1.0,10.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,6.0,15.0,1.0,10.0
spijker,1.0,11.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,20.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0
staalborstel,1.0,13.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,7.0,1.0,1.0,13.0,1.0,15.0,1.0,1.0,1.0,6.0,20.0,1.0,1.0,3.0,6.0,1.0,1.0,4.0
stofzuiger,1.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
tang,1.0,2.0,1.0,1.0,8.0,6.0,1.0,1.0,1.0,5.0,10.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,4.0,1.0,1.0,1.0,1.0
touw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0
