exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,9.0,3.0,1.0,4.0,3.0,3.0,3.0,,11.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,6.0,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0
beitel,9.0,20.0,10.0,9.0,17.0,17.0,4.0,15.0,,13.0,18.0,1.0,16.0,7.0,2.0,15.0,6.0,16.0,15.0,18.0,6.0,9.0,4.0,4.0,6.0,1.0,2.0,14.0,2.0,13.0
bijl,3.0,10.0,20.0,2.0,14.0,5.0,15.0,7.0,,16.0,17.0,3.0,19.0,4.0,1.0,5.0,9.0,6.0,3.0,8.0,8.0,6.0,3.0,2.0,6.0,1.0,3.0,4.0,3.0,16.0
boormachine,1.0,9.0,2.0,20.0,3.0,3.0,12.0,2.0,,4.0,3.0,1.0,12.0,11.0,2.0,3.0,2.0,3.0,3.0,2.0,14.0,4.0,2.0,4.0,4.0,1.0,1.0,4.0,2.0,11.0
breekijzer,4.0,17.0,14.0,3.0,20.0,6.0,8.0,17.0,,17.0,20.0,3.0,10.0,6.0,2.0,3.0,12.0,2.0,5.0,12.0,3.0,3.0,5.0,2.0,6.0,3.0,4.0,9.0,2.0,3.0
engelse sleutel,3.0,17.0,5.0,3.0,6.0,20.0,2.0,4.0,,4.0,12.0,3.0,9.0,19.0,4.0,10.0,3.0,3.0,4.0,14.0,12.0,5.0,2.0,2.0,17.0,1.0,6.0,7.0,2.0,4.0
grasmachine,3.0,4.0,15.0,12.0,8.0,2.0,20.0,1.0,,1.0,3.0,10.0,8.0,4.0,6.0,1.0,8.0,10.0,2.0,6.0,16.0,2.0,2.0,13.0,6.0,1.0,1.0,5.0,1.0,5.0
hamer,3.0,15.0,7.0,2.0,17.0,4.0,1.0,20.0,,8.0,8.0,2.0,4.0,6.0,1.0,4.0,4.0,6.0,2.0,5.0,4.0,2.0,1.0,5.0,13.0,1.0,1.0,3.0,1.0,4.0
houtklem,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
houweel,11.0,13.0,16.0,4.0,17.0,4.0,1.0,8.0,,20.0,15.0,4.0,11.0,3.0,1.0,3.0,10.0,3.0,8.0,6.0,5.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0
koevoet,4.0,18.0,17.0,3.0,20.0,12.0,3.0,8.0,,15.0,20.0,2.0,8.0,7.0,2.0,5.0,11.0,7.0,5.0,8.0,13.0,3.0,2.0,1.0,8.0,1.0,8.0,5.0,2.0,7.0
kruiwagen,3.0,1.0,3.0,1.0,3.0,3.0,10.0,2.0,,4.0,2.0,20.0,1.0,2.0,2.0,6.0,12.0,1.0,4.0,5.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0
mes,2.0,16.0,19.0,12.0,10.0,9.0,8.0,4.0,,11.0,8.0,1.0,20.0,3.0,1.0,6.0,17.0,18.0,10.0,16.0,3.0,13.0,4.0,4.0,4.0,1.0,2.0,14.0,2.0,18.0
moersleutel,3.0,7.0,4.0,11.0,6.0,19.0,4.0,6.0,,3.0,7.0,2.0,3.0,20.0,2.0,7.0,2.0,2.0,5.0,10.0,2.0,10.0,13.0,2.0,15.0,1.0,2.0,5.0,2.0,2.0
oliespuit,3.0,2.0,1.0,2.0,2.0,4.0,6.0,1.0,,1.0,2.0,2.0,1.0,2.0,20.0,6.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
