exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,5.0,6.0,5.0,12.0,6.0,6.0,14.0,6.0,3.0,5.0,6.0,4.0,3.0,4.0,6.0,4.0,6.0,5.0,3.0,11.0,6.0,,2.0,5.0,1.0,2.0,5.0,6.0,5.0
beitel,5.0,20.0,5.0,5.0,10.0,6.0,3.0,8.0,5.0,7.0,7.0,5.0,8.0,6.0,4.0,6.0,6.0,9.0,5.0,8.0,8.0,9.0,,2.0,5.0,2.0,5.0,9.0,5.0,4.0
bijl,6.0,5.0,20.0,5.0,4.0,6.0,5.0,7.0,6.0,12.0,7.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,7.0,4.0,4.0,3.0,,5.0,5.0,1.0,3.0,5.0,2.0,8.0
boormachine,5.0,5.0,5.0,20.0,5.0,3.0,6.0,7.0,5.0,5.0,6.0,5.0,4.0,5.0,6.0,4.0,7.0,5.0,4.0,6.0,5.0,4.0,,6.0,5.0,2.0,2.0,3.0,2.0,5.0
breekijzer,12.0,10.0,4.0,5.0,20.0,6.0,4.0,7.0,3.0,6.0,10.0,5.0,9.0,7.0,4.0,6.0,5.0,7.0,7.0,6.0,7.0,5.0,,6.0,6.0,3.0,2.0,10.0,5.0,4.0
engelse sleutel,6.0,6.0,6.0,3.0,6.0,20.0,4.0,6.0,5.0,6.0,6.0,4.0,7.0,12.0,3.0,6.0,4.0,6.0,5.0,6.0,5.0,7.0,,5.0,5.0,2.0,3.0,6.0,5.0,5.0
grasmachine,6.0,3.0,5.0,6.0,4.0,4.0,20.0,3.0,4.0,5.0,5.0,6.0,5.0,7.0,4.0,4.0,13.0,7.0,5.0,3.0,9.0,3.0,,7.0,4.0,2.0,4.0,4.0,5.0,9.0
hamer,14.0,8.0,7.0,7.0,7.0,6.0,3.0,20.0,6.0,6.0,8.0,5.0,6.0,5.0,4.0,3.0,3.0,5.0,4.0,9.0,5.0,5.0,,5.0,4.0,2.0,1.0,8.0,2.0,8.0
houtklem,6.0,5.0,6.0,5.0,3.0,5.0,4.0,6.0,20.0,5.0,6.0,6.0,5.0,5.0,2.0,5.0,4.0,4.0,5.0,6.0,6.0,4.0,,5.0,8.0,4.0,5.0,4.0,6.0,4.0
houweel,3.0,7.0,12.0,5.0,6.0,6.0,5.0,6.0,5.0,20.0,6.0,5.0,6.0,6.0,2.0,6.0,7.0,5.0,7.0,4.0,5.0,5.0,,3.0,5.0,4.0,3.0,5.0,2.0,4.0
koevoet,5.0,7.0,7.0,6.0,10.0,6.0,5.0,8.0,6.0,6.0,20.0,5.0,6.0,13.0,4.0,7.0,7.0,6.0,6.0,7.0,5.0,2.0,,5.0,5.0,1.0,3.0,7.0,4.0,6.0
kruiwagen,6.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,20.0,5.0,5.0,2.0,4.0,7.0,4.0,6.0,3.0,6.0,3.0,,6.0,3.0,3.0,3.0,2.0,3.0,5.0
mes,4.0,8.0,6.0,4.0,9.0,7.0,5.0,6.0,5.0,6.0,6.0,5.0,20.0,10.0,1.0,11.0,5.0,13.0,3.0,8.0,7.0,6.0,,3.0,5.0,3.0,4.0,12.0,4.0,10.0
moersleutel,3.0,6.0,5.0,5.0,7.0,12.0,7.0,5.0,5.0,6.0,13.0,5.0,10.0,20.0,5.0,5.0,5.0,6.0,5.0,8.0,5.0,8.0,,5.0,6.0,3.0,4.0,10.0,4.0,4.0
oliespuit,4.0,4.0,3.0,6.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,5.0,20.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,,4.0,3.0,2.0,3.0,3.0,5.0,3.0
plamuurmes,6.0,6.0,5.0,4.0,6.0,6.0,4.0,3.0,5.0,6.0,7.0,4.0,11.0,5.0,3.0,20.0,3.0,11.0,8.0,5.0,6.0,3.0,,3.0,4.0,3.0,4.0,8.0,3.0,7.0
ploeg,4.0,6.0,6.0,7.0,5.0,4.0,13.0,3.0,4.0,7.0,7.0,7.0,5.0,5.0,3.0,3.0,20.0,3.0,11.0,4.0,6.0,3.0,,7.0,5.0,3.0,1.0,4.0,2.0,4.0
schaaf,6.0,9.0,5.0,5.0,7.0,6.0,7.0,5.0,4.0,5.0,6.0,4.0,13.0,6.0,4.0,11.0,3.0,20.0,5.0,6.0,7.0,8.0,,5.0,6.0,2.0,3.0,15.0,6.0,8.0
schop,5.0,5.0,7.0,4.0,7.0,5.0,5.0,4.0,5.0,7.0,6.0,6.0,3.0,5.0,3.0,8.0,11.0,5.0,20.0,4.0,7.0,4.0,,5.0,4.0,2.0,3.0,5.0,4.0,5.0
schroevendraaier,3.0,8.0,4.0,6.0,6.0,6.0,3.0,9.0,6.0,4.0,7.0,3.0,8.0,8.0,2.0,5.0,4.0,6.0,4.0,20.0,4.0,11.0,,5.0,7.0,1.0,6.0,6.0,5.0,6.0
slijpschijf,11.0,8.0,4.0,5.0,7.0,5.0,9.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,4.0,6.0,6.0,7.0,7.0,4.0,20.0,5.0,,4.0,5.0,3.0,1.0,8.0,4.0,7.0
spijker,6.0,9.0,3.0,4.0,5.0,7.0,3.0,5.0,4.0,5.0,2.0,3.0,6.0,8.0,2.0,3.0,3.0,8.0,4.0,11.0,5.0,20.0,,3.0,4.0,2.0,2.0,7.0,4.0,4.0
staalborstel,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
stofzuiger,2.0,2.0,5.0,6.0,6.0,5.0,7.0,5.0,5.0,3.0,5.0,6.0,3.0,5.0,4.0,3.0,7.0,5.0,5.0,5.0,4.0,3.0,,20.0,5.0,3.0,1.0,1.0,2.0,4.0
tang,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,8.0,5.0,5.0,3.0,5.0,6.0,3.0,4.0,5.0,6.0,4.0,7.0,5.0,4.0,,5.0,20.0,1.0,4.0,8.0,6.0,5.0
touw,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,,3.0,1.0,20.0,7.0,1.0,1.0,2.0
verfborstel,2.0,5.0,3.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0,6.0,1.0,2.0,,1.0,4.0,7.0,20.0,3.0,6.0,2.0
