exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,13.0,1.0,1.0,,,1.0,1.0,,1.0,4.0,3.0,1.0,,1.0,,1.0,,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0
beitel,13.0,20.0,10.0,13.0,,,1.0,8.0,,11.0,18.0,1.0,14.0,,1.0,,4.0,,11.0,7.0,8.0,14.0,8.0,1.0,9.0,1.0,7.0,17.0,3.0,6.0
bijl,1.0,10.0,20.0,1.0,,,1.0,18.0,,16.0,12.0,1.0,14.0,,1.0,,5.0,,10.0,2.0,10.0,6.0,3.0,1.0,3.0,1.0,5.0,12.0,1.0,12.0
boormachine,1.0,13.0,1.0,20.0,,,1.0,1.0,,6.0,10.0,1.0,5.0,,1.0,,3.0,,4.0,8.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0
breekijzer,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
engelse sleutel,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
grasmachine,1.0,1.0,1.0,1.0,,,20.0,1.0,,1.0,1.0,7.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
hamer,1.0,8.0,18.0,1.0,,,1.0,20.0,,14.0,11.0,1.0,1.0,,1.0,,1.0,,8.0,8.0,1.0,1.0,3.0,1.0,3.0,1.0,6.0,4.0,1.0,3.0
houtklem,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
houweel,1.0,11.0,16.0,6.0,,,1.0,14.0,,20.0,15.0,1.0,6.0,,1.0,,9.0,1.0,8.0,8.0,4.0,9.0,3.0,1.0,2.0,1.0,1.0,11.0,5.0,4.0
koevoet,4.0,18.0,12.0,10.0,,,1.0,11.0,,15.0,20.0,1.0,10.0,,1.0,,3.0,,9.0,10.0,1.0,12.0,1.0,1.0,13.0,1.0,1.0,9.0,1.0,5.0
kruiwagen,3.0,1.0,1.0,1.0,,,7.0,1.0,,1.0,1.0,20.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mes,1.0,14.0,14.0,5.0,,,1.0,1.0,,6.0,10.0,1.0,20.0,,1.0,,1.0,,1.0,13.0,8.0,7.0,3.0,1.0,4.0,1.0,1.0,18.0,2.0,15.0
moersleutel,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
oliespuit,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,20.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
plamuurmes,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
ploeg,1.0,4.0,5.0,3.0,,,1.0,1.0,,9.0,3.0,1.0,1.0,,1.0,,20.0,,1.0,2.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,8.0
schaaf,,,,,,,,,,1.0,,,,,,,,20.0,,,,1.0,,,,1.0,,,,
schop,4.0,11.0,10.0,4.0,,,1.0,8.0,,8.0,9.0,1.0,1.0,,1.0,,1.0,,20.0,1.0,10.0,3.0,3.0,1.0,1.0,1.0,3.0,7.0,1.0,2.0
schroevendraaier,4.0,7.0,2.0,8.0,,,1.0,8.0,,8.0,10.0,1.0,13.0,,1.0,,2.0,,1.0,20.0,1.0,13.0,3.0,1.0,5.0,1.0,5.0,15.0,1.0,2.0
slijpschijf,2.0,8.0,10.0,5.0,,,1.0,1.0,,4.0,1.0,1.0,8.0,,1.0,,1.0,,10.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,,13.0
spijker,1.0,14.0,6.0,5.0,,,1.0,1.0,,9.0,12.0,1.0,7.0,,1.0,,5.0,1.0,3.0,13.0,1.0,20.0,4.0,1.0,2.0,1.0,3.0,10.0,1.0,4.0
staalborstel,2.0,8.0,3.0,5.0,,,1.0,3.0,,3.0,1.0,1.0,3.0,,1.0,,4.0,,3.0,3.0,1.0,4.0,20.0,1.0,4.0,1.0,12.0,3.0,1.0,10.0
stofzuiger,1.0,1.0,1.0,1.0,,,10.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0
tang,1.0,9.0,3.0,1.0,,,1.0,3.0,,2.0,13.0,1.0,4.0,,1.0,,2.0,,1.0,5.0,1.0,2.0,4.0,1.0,20.0,1.0,1.0,2.0,1.0,3.0
touw,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
verfborstel,1.0,7.0,5.0,1.0,,,1.0,6.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,3.0,5.0,1.0,3.0,12.0,1.0,1.0,1.0,20.0,13.0,1.0,1.0
vijl,2.0,17.0,12.0,6.0,,,1.0,4.0,,11.0,9.0,1.0,18.0,,1.0,,4.0,,7.0,15.0,14.0,10.0,3.0,1.0,2.0,1.0,13.0,20.0,2.0,8.0
waterpas,7.0,3.0,1.0,1.0,,,1.0,1.0,,5.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,5.0
zaag,1.0,6.0,12.0,4.0,,,1.0,3.0,,4.0,5.0,1.0,15.0,,1.0,,8.0,,2.0,2.0,13.0,4.0,10.0,1.0,3.0,1.0,1.0,8.0,5.0,20.0
