exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,11.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0
beitel,3.0,20.0,13.0,2.0,2.0,2.0,1.0,5.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,1.0,10.0,1.0,11.0,4.0,2.0,2.0
bijl,2.0,13.0,20.0,6.0,4.0,2.0,1.0,17.0,6.0,18.0,3.0,1.0,18.0,3.0,1.0,4.0,1.0,12.0,6.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,10.0,2.0,2.0
boormachine,1.0,2.0,6.0,20.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0
breekijzer,2.0,2.0,4.0,1.0,20.0,4.0,1.0,2.0,4.0,20.0,4.0,1.0,2.0,3.0,1.0,20.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0
engelse sleutel,2.0,2.0,2.0,1.0,4.0,20.0,1.0,2.0,2.0,10.0,3.0,1.0,1.0,13.0,1.0,3.0,1.0,2.0,2.0,8.0,2.0,11.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0
grasmachine,1.0,1.0,1.0,1.0,1.0,1.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,8.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0
hamer,2.0,5.0,17.0,2.0,2.0,2.0,3.0,20.0,2.0,4.0,6.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0
houtklem,2.0,2.0,6.0,1.0,4.0,2.0,1.0,2.0,20.0,2.0,9.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,11.0,10.0,1.0,2.0,2.0,2.0
houweel,2.0,3.0,18.0,2.0,20.0,10.0,1.0,4.0,2.0,20.0,2.0,1.0,2.0,8.0,1.0,15.0,1.0,2.0,4.0,1.0,10.0,10.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0
koevoet,2.0,4.0,3.0,1.0,4.0,3.0,1.0,6.0,9.0,2.0,20.0,1.0,4.0,2.0,1.0,2.0,5.0,12.0,11.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,10.0
kruiwagen,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0
mes,1.0,2.0,18.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,20.0,5.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,11.0,1.0
moersleutel,2.0,2.0,3.0,6.0,3.0,13.0,1.0,3.0,2.0,8.0,2.0,4.0,5.0,20.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,6.0,2.0,2.0
oliespuit,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
plamuurmes,3.0,2.0,4.0,2.0,20.0,3.0,1.0,2.0,2.0,15.0,2.0,1.0,9.0,3.0,1.0,20.0,9.0,8.0,2.0,2.0,11.0,2.0,13.0,1.0,2.0,2.0,4.0,4.0,10.0,2.0
