exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,2.0,3.0,2.0,1.0,3.0,1.0,11.0,,1.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,11.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
beitel,2.0,20.0,15.0,12.0,13.0,15.0,2.0,6.0,,15.0,15.0,11.0,14.0,15.0,1.0,15.0,15.0,11.0,2.0,15.0,5.0,14.0,9.0,1.0,11.0,1.0,11.0,15.0,10.0,17.0
bijl,3.0,15.0,20.0,5.0,15.0,2.0,3.0,12.0,,17.0,17.0,5.0,15.0,5.0,1.0,15.0,15.0,14.0,15.0,5.0,2.0,8.0,12.0,1.0,8.0,1.0,5.0,15.0,5.0,12.0
boormachine,2.0,12.0,5.0,20.0,2.0,1.0,1.0,1.0,,11.0,5.0,3.0,11.0,5.0,1.0,2.0,2.0,8.0,5.0,11.0,16.0,15.0,3.0,1.0,3.0,1.0,2.0,6.0,1.0,1.0
breekijzer,1.0,13.0,15.0,2.0,20.0,15.0,2.0,5.0,,18.0,18.0,1.0,6.0,15.0,1.0,5.0,2.0,14.0,1.0,15.0,3.0,6.0,1.0,1.0,15.0,1.0,12.0,12.0,6.0,2.0
engelse sleutel,3.0,15.0,2.0,1.0,15.0,20.0,1.0,1.0,,14.0,11.0,1.0,2.0,18.0,1.0,15.0,2.0,1.0,3.0,18.0,2.0,5.0,5.0,1.0,12.0,1.0,15.0,9.0,3.0,6.0
grasmachine,1.0,2.0,3.0,1.0,2.0,1.0,20.0,2.0,,12.0,1.0,15.0,6.0,1.0,1.0,3.0,15.0,1.0,3.0,1.0,11.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0
hamer,11.0,6.0,12.0,1.0,5.0,1.0,2.0,20.0,,5.0,12.0,1.0,12.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,15.0,2.0,1.0,15.0,1.0,5.0,7.0,2.0,12.0
houtklem,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
houweel,1.0,15.0,17.0,11.0,18.0,14.0,12.0,5.0,,20.0,15.0,1.0,11.0,,2.0,15.0,1.0,5.0,2.0,15.0,5.0,15.0,15.0,1.0,5.0,1.0,11.0,15.0,2.0,5.0
koevoet,5.0,15.0,17.0,5.0,18.0,11.0,1.0,12.0,,15.0,20.0,1.0,15.0,15.0,2.0,15.0,2.0,5.0,2.0,18.0,11.0,15.0,3.0,1.0,15.0,1.0,11.0,18.0,9.0,2.0
kruiwagen,1.0,11.0,5.0,3.0,1.0,1.0,15.0,1.0,,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0
mes,2.0,14.0,15.0,11.0,6.0,2.0,6.0,12.0,,11.0,15.0,1.0,20.0,6.0,1.0,18.0,15.0,15.0,2.0,15.0,5.0,15.0,5.0,1.0,11.0,1.0,1.0,18.0,2.0,18.0
moersleutel,2.0,15.0,5.0,5.0,15.0,18.0,1.0,1.0,,,15.0,1.0,6.0,20.0,1.0,12.0,1.0,2.0,2.0,15.0,5.0,13.0,4.0,1.0,5.0,1.0,15.0,15.0,2.0,5.0
