exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
aambeeld,20.0,11.0,2.0,5.0,8.0,2.0,12.0,6.0,8.0,9.0,9.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,7.0,7.0,9.0,5.0,12.0,8.0,11.0,11.0,6.0,6.0,2.0,7.0
beitel,11.0,20.0,12.0,8.0,9.0,12.0,11.0,8.0,10.0,8.0,8.0,10.0,7.0,8.0,8.0,14.0,5.0,9.0,8.0,11.0,8.0,4.0,8.0,6.0,10.0,6.0,7.0,12.0,12.0,9.0
bijl,2.0,12.0,20.0,8.0,7.0,7.0,5.0,8.0,10.0,7.0,7.0,4.0,13.0,3.0,10.0,7.0,8.0,9.0,8.0,5.0,11.0,8.0,11.0,11.0,12.0,8.0,9.0,18.0,8.0,10.0
boormachine,5.0,8.0,8.0,20.0,9.0,8.0,7.0,8.0,8.0,11.0,8.0,2.0,10.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,8.0,2.0,10.0,6.0,6.0,6.0,8.0,7.0,8.0
breekijzer,8.0,9.0,7.0,9.0,20.0,12.0,7.0,7.0,14.0,8.0,18.0,9.0,7.0,5.0,7.0,10.0,11.0,8.0,9.0,9.0,10.0,14.0,5.0,7.0,16.0,8.0,2.0,9.0,10.0,6.0
engelse sleutel,2.0,12.0,7.0,8.0,12.0,20.0,4.0,9.0,10.0,11.0,10.0,10.0,5.0,10.0,8.0,7.0,8.0,5.0,11.0,11.0,7.0,8.0,13.0,11.0,10.0,4.0,7.0,8.0,2.0,9.0
grasmachine,12.0,11.0,5.0,7.0,7.0,4.0,20.0,8.0,5.0,8.0,8.0,11.0,8.0,8.0,2.0,2.0,10.0,10.0,8.0,12.0,12.0,2.0,10.0,10.0,8.0,8.0,4.0,8.0,4.0,4.0
hamer,6.0,8.0,8.0,8.0,7.0,9.0,8.0,20.0,10.0,7.0,10.0,5.0,11.0,8.0,7.0,7.0,8.0,8.0,7.0,12.0,12.0,8.0,8.0,8.0,16.0,3.0,10.0,9.0,10.0,12.0
houtklem,8.0,10.0,10.0,8.0,14.0,10.0,5.0,10.0,20.0,12.0,7.0,8.0,11.0,6.0,9.0,7.0,8.0,8.0,7.0,5.0,10.0,10.0,16.0,3.0,10.0,12.0,11.0,8.0,6.0,2.0
houweel,9.0,8.0,7.0,11.0,8.0,11.0,8.0,7.0,12.0,20.0,6.0,10.0,11.0,16.0,6.0,10.0,11.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,7.0,9.0,5.0,11.0,11.0,8.0
koevoet,9.0,8.0,7.0,8.0,18.0,10.0,8.0,10.0,7.0,6.0,20.0,7.0,8.0,4.0,7.0,7.0,10.0,7.0,8.0,11.0,5.0,7.0,9.0,11.0,15.0,8.0,5.0,3.0,4.0,10.0
kruiwagen,7.0,10.0,4.0,2.0,9.0,10.0,11.0,5.0,8.0,10.0,7.0,20.0,8.0,10.0,2.0,15.0,9.0,10.0,4.0,8.0,8.0,4.0,3.0,7.0,1.0,7.0,7.0,8.0,4.0,12.0
mes,8.0,7.0,13.0,10.0,7.0,5.0,8.0,11.0,11.0,11.0,8.0,8.0,20.0,10.0,5.0,8.0,8.0,12.0,9.0,12.0,11.0,9.0,9.0,3.0,6.0,3.0,5.0,12.0,6.0,10.0
moersleutel,6.0,8.0,3.0,10.0,5.0,10.0,8.0,8.0,6.0,16.0,4.0,10.0,10.0,20.0,7.0,7.0,12.0,4.0,10.0,11.0,9.0,9.0,9.0,4.0,8.0,9.0,4.0,4.0,6.0,5.0
oliespuit,8.0,8.0,10.0,8.0,7.0,8.0,2.0,7.0,9.0,6.0,7.0,2.0,5.0,7.0,20.0,17.0,14.0,8.0,10.0,9.0,5.0,8.0,8.0,8.0,10.0,8.0,15.0,8.0,4.0,8.0
plamuurmes,6.0,14.0,7.0,9.0,10.0,7.0,2.0,7.0,7.0,10.0,7.0,15.0,8.0,7.0,17.0,20.0,7.0,4.0,5.0,11.0,11.0,8.0,12.0,6.0,12.0,7.0,4.0,12.0,10.0,8.0
ploeg,8.0,5.0,8.0,7.0,11.0,8.0,10.0,8.0,8.0,11.0,10.0,9.0,8.0,12.0,14.0,7.0,20.0,12.0,10.0,12.0,7.0,2.0,7.0,10.0,13.0,8.0,4.0,11.0,11.0,10.0
schaaf,8.0,9.0,9.0,9.0,8.0,5.0,10.0,8.0,8.0,12.0,7.0,10.0,12.0,4.0,8.0,4.0,12.0,20.0,7.0,8.0,8.0,12.0,4.0,7.0,8.0,8.0,8.0,6.0,4.0,12.0
schop,7.0,8.0,8.0,8.0,9.0,11.0,8.0,7.0,7.0,10.0,8.0,4.0,9.0,10.0,10.0,5.0,10.0,7.0,20.0,8.0,8.0,11.0,9.0,7.0,7.0,2.0,10.0,11.0,7.0,6.0
