feature,freq
"""als sardines in een blik""",7
8 armen,10
Free Willy,16
Indiase of Afrikaanse,4
aangetrokken door blinkende dingen,6
aarde,4
aaseter,23
ademen onder water,5
africhtbaar,12
als voedsel voor grotere dieren,8
als ze klein zijn een big,5
andere naam: drosophilla,4
angstaanjagend,25
balkt,7
bang dier,4
bedreigde diersoort,82
bekend om het aanleggen van wintervoorraad,4
bekenste dolfijn is flipper,4
beschermde diersoort,8
bestaat al eeuwenlang,11
beweegt door zich samen te trekken,7
bij dieren,9
bijt,48
bijt gaten in kleren,16
blaast wangen op,7
blaat,14
blaft,17
blauw,5
blauwgrijs,7
bouwt dammen,12
bouwt nesten,112
braakt braakballen,4
brengt kindjes,23
brengt ziektes voort,9
broedt andere eieren uit,6
bruin/zwart van kleur,16
brullen,11
buideldier,19
de billetjes worden gegeten,7
dief,19
dikke huid,21
dodelijk,11
doet blub,9
doet pijn,26
dolfinarium,4
draagt kind in buidel,6
draagt ring,4
drijft op het water,5
drinkt water,9
duur,8
een handig iemand,4
een haring kan ook een piket zijn om u tent op te zetten,7
een imker kweekt ze,9
een varkensneus,5
eet alles,6
eet bananen,6
eet bessen,4
eet bladeren van de bomen,15
eet bladluizen,5
eet brood,19
eet eikels,7
eet fruit,6
eet graag wortelen,7
eet graan,26
eet gras,48
eet hooi,4
eet insecten,102
eet kaas,8
eet kikkers,5
eet kippen,7
eet kleine dieren,24
eet mensen op,7
eet muizen,23
eet nectar,9
eet nootjes,12
eet plankton,26
eet planten,83
eet ratten of muizen,15
eet sla,4
eet van de bloemen,5
eet vis,133
eet visvoer,4
eet vliegen,9
eet wormen,37
eet zaad,22
eet zeehonden,5
er is een koningin,14
er worden schoenen en handtassen van gemaakt,15
er wordt soep van gemaakt,5
er zijn verschillende soorten,98
extern geraamte,4
familie van de hond,13
familie van de wesp,4
familie van het paard,11
familie van kameel,7
filtert met zijn snavel eten uit het water,4
fladdert,13
fluit,39
gaat van bloem tot bloem,5
gebruikt als trekdier,6
gebruikt in wedstrijden,20
gebruikt stuifmeel van bloemen,4
gebruikt voor onderzoek,8
"gebruikt voor spreekwoord ""onder het gras""",5
geeft melk,29
geel,40
geel en zwart,48
geen vriendjes met honden,5
gegeten op feestmalen,8
gekleurd,4
gelede diersoort,6
geleedpotig,8
geliefd bij kinderen,15
geraakt moeilijk van je af,4
gestreept,12
gevaarlijk,168
gevaarlijk voor mensen,16
goed reukvermogen,4
goed voor bodem,5
goed voor milieu,7
graaft holen,6
graaft zich in op het land,5
"graag gezien, geapprecieerd",4
graast,5
graten,39
grijs,185
grijs-wit,17
grote muil,23
grote neusgaten,9
grote oren,14
haalt nectar uit bloemen,10
hard,6
harig,48
hecht zich vast aan het lichaam,18
heeft 2 ogen,28
heeft 2 oren,9
heeft Batman geïnspireerd,4
heeft acht poten,21
heeft benen,4
heeft bolle ogen,6
heeft bult om water in op te slaan,5
heeft dikke poten,4
heeft een angel,27
heeft een bult,24
heeft een donslaag,4
heeft een gele snavel,10
heeft een gewei,16
heeft een grote spanwijdte van de vleugels,28
heeft een grote staart,8
heeft een hoorn,13
heeft een indringende geur,6
heeft een kam,16
heeft een klein staartje,13
heeft een kop,5
heeft een kraag in de nek,4
heeft een kromme bek,9
heeft een lange nek,66
heeft een lange staart,72
heeft een lange tong,36
heeft een puntige bek,43
heeft een rood borstje,17
heeft een schild,71
heeft een slurf,24
heeft een snavel,136
heeft een spitse snuit,9
heeft een staart,163
heeft een tong,6
heeft een uier,11
heeft een vacht,34
heeft een winter en zomervacht,4
heeft een wollen vacht,9
heeft facetogen,14
heeft felle kleuren,9
heeft geen 1000  poten,5
heeft geen poten,34
heeft gespleten tong,26
heeft giftanden,7
heeft grote bek,22
heeft grote klauwen,6
heeft grote ogen,26
heeft grote tanden,25
heeft grote voortanden,5
heeft hiërarchie,5
heeft hoeven,21
heeft hoorns,13
heeft jongen = welpjes,9
heeft kieuwen,117
heeft klauwen,37
heeft kleine oogjes,5
heeft kleine pootjes,4
heeft knaagtanden,4
heeft korte poten,28
heeft lange achterpoten,12
heeft lange oren,20
heeft lange poten,64
heeft luchtgat,11
heeft manen,25
heeft meerdere magen,6
heeft meestal 1 jong per keer,6
heeft mond,5
heeft mooie staart,10
heeft mooie veren,13
heeft ogen,26
heeft oog op veer,6
heeft poten,41
heeft rode kwab hangen,10
heeft scherpe klauwen,22
heeft scherpe nagels,6
heeft scherpe tanden,97
heeft schubben,156
heeft schutkleur,12
heeft slagtanden,15
heeft snavel met zak aan,5
heeft snorharen,18
heeft spitse oren,6
heeft stekels,30
heeft tanden,26
heeft tentakels,6
heeft twee poten,115
heeft twee vleugels,13
heeft veel poten,30
heeft veel tanden,6
heeft vele kleuren,74
heeft veren,168
heeft verschillende loopstijlen oa galop,5
heeft vier poten,205
heeft vinnen,118
heeft vleugels,237
heeft voelsprieten,54
heeft witte en zwarte strepen,15
heeft wratten,5
heeft zuignappen,6
heeft zwemvliezen,27
herkauwt,8
het heeft ringen,8
het is een soort beer,7
het is rond,11
het is zeer actief,8
het laat plekken achter op je huid,4
het vlees ervan wordt gegeten,64
hinnikt,5
hoofdrolspelers in Jurassic Parc,6
houdt van vochtigheid,4
houdt winterslaap,15
huid die je kan gebruiken als kleding,14
huilt,9
in aquarium,18
in een kippenhok,9
in kooi,57
in rivieren,10
in terrarium,4
in vijver,23
indianen joegen erop,8
intelligent,10
is agressief,7
is akelig,21
is beige,5
is bruin,239
