exemplar,respondent 0,respondent 1,respondent 10,respondent 11,respondent 12,respondent 13,respondent 14,respondent 15,respondent 16,respondent 17,respondent 18,respondent 19,respondent 2,respondent 20,respondent 21,respondent 22,respondent 23,respondent 24,respondent 25,respondent 26,respondent 27,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std,nonmissing
accordion,8.0,15.0,20.0,14.0,14.0,14.0,20.0,20.0,12.0,5.0,17.0,13.0,12.0,16.0,19.0,16.0,3.0,5.0,9.0,20.0,20.0,20.0,-1.0,17.0,20.0,16.0,12.0,15.0,14.51851852,5.033505969,27.0
bagpipe,7.0,15.0,10.0,14.0,13.0,14.0,16.0,20.0,10.0,5.0,17.0,9.0,13.0,11.0,19.0,14.0,16.0,19.0,9.0,20.0,20.0,19.0,-1.0,15.0,20.0,14.0,5.0,10.0,13.85185185,4.630199395,27.0
banjo,8.0,10.0,10.0,6.0,12.0,14.0,12.0,20.0,12.0,3.0,16.0,8.0,12.0,15.0,18.0,17.0,8.0,15.0,3.0,20.0,20.0,19.0,1.0,8.0,20.0,12.0,10.0,10.0,12.10714286,5.45241561,28.0
bass guitar,8.0,15.0,20.0,16.0,13.0,18.0,20.0,20.0,12.0,15.0,19.0,19.0,12.0,17.0,19.0,18.0,16.0,17.0,16.0,20.0,20.0,19.0,10.0,7.0,20.0,20.0,15.0,10.0,16.10714286,3.937843795,28.0
bassoon,15.0,5.0,18.0,2.0,14.0,18.0,9.0,20.0,7.0,8.0,18.0,12.0,15.0,10.0,19.0,10.0,9.0,20.0,8.0,20.0,20.0,20.0,10.0,16.0,20.0,14.0,3.0,6.0,13.07142857,5.785861256,28.0
cello,19.0,10.0,20.0,12.0,16.0,18.0,18.0,20.0,11.0,10.0,20.0,14.0,14.0,20.0,18.0,14.0,13.0,20.0,14.0,20.0,20.0,20.0,5.0,16.0,20.0,14.0,8.0,7.0,15.39285714,4.565079089,28.0
clarinet,14.0,18.0,18.0,8.0,17.0,18.0,20.0,20.0,11.0,7.0,18.0,13.0,17.0,17.0,18.0,17.0,17.0,20.0,14.0,20.0,20.0,20.0,15.0,14.0,20.0,18.0,10.0,12.0,16.10714286,3.774566796,28.0
cymbals,7.0,8.0,10.0,8.0,14.0,14.0,9.0,20.0,9.0,8.0,12.0,-1.0,8.0,8.0,9.0,15.0,14.0,17.0,8.0,20.0,12.0,20.0,-1.0,8.0,20.0,10.0,12.0,5.0,11.73076923,4.565590365,26.0
double bass,8.0,15.0,20.0,9.0,17.0,17.0,18.0,20.0,11.0,7.0,17.0,13.0,16.0,11.0,18.0,16.0,12.0,20.0,12.0,20.0,20.0,20.0,14.0,15.0,20.0,18.0,11.0,10.0,15.17857143,4.128075253,28.0
drum,17.0,10.0,18.0,20.0,14.0,19.0,17.0,20.0,12.0,18.0,10.0,11.0,17.0,13.0,14.0,20.0,12.0,16.0,18.0,20.0,20.0,20.0,18.0,6.0,20.0,16.0,16.0,16.0,16.0,3.781044339,28.0
drum set,18.0,12.0,20.0,20.0,13.0,19.0,18.0,20.0,12.0,20.0,19.0,20.0,12.0,14.0,15.0,20.0,12.0,16.0,17.0,20.0,20.0,18.0,10.0,13.0,20.0,20.0,15.0,20.0,16.89285714,3.381203881,28.0
flute,8.0,15.0,20.0,13.0,17.0,18.0,20.0,20.0,14.0,8.0,18.0,16.0,16.0,20.0,18.0,16.0,17.0,20.0,9.0,20.0,20.0,20.0,16.0,20.0,20.0,18.0,15.0,15.0,16.67857143,3.64187143,28.0
guitar,16.0,20.0,20.0,20.0,16.0,19.0,20.0,20.0,20.0,12.0,20.0,20.0,20.0,19.0,19.0,19.0,15.0,20.0,19.0,20.0,20.0,20.0,20.0,11.0,20.0,20.0,18.0,20.0,18.67857143,2.450299625,28.0
harmonica,7.0,14.0,10.0,9.0,13.0,14.0,16.0,20.0,8.0,3.0,14.0,15.0,15.0,17.0,12.0,17.0,5.0,17.0,10.0,20.0,20.0,20.0,8.0,17.0,20.0,18.0,7.0,19.0,13.75,5.074445783,28.0
harp,18.0,15.0,18.0,7.0,15.0,15.0,17.0,20.0,13.0,10.0,19.0,15.0,11.0,19.0,17.0,18.0,14.0,20.0,12.0,20.0,20.0,20.0,10.0,14.0,20.0,16.0,7.0,7.0,15.25,4.256802834,28.0
harpsichord,14.0,14.0,10.0,3.0,13.0,15.0,17.0,20.0,9.0,7.0,19.0,-1.0,12.0,10.0,17.0,14.0,1.0,15.0,12.0,20.0,20.0,20.0,2.0,11.0,1.0,14.0,3.0,3.0,11.7037037,6.250014245,27.0
organ,15.0,10.0,10.0,5.0,15.0,14.0,15.0,20.0,6.0,10.0,17.0,11.0,10.0,18.0,18.0,18.0,6.0,20.0,7.0,20.0,20.0,20.0,11.0,18.0,20.0,16.0,8.0,8.0,13.78571429,5.116112115,28.0
pan flute,8.0,5.0,5.0,10.0,12.0,13.0,7.0,20.0,9.0,15.0,16.0,-1.0,7.0,10.0,11.0,14.0,15.0,10.0,11.0,20.0,20.0,18.0,1.0,5.0,20.0,12.0,9.0,9.0,11.55555556,5.19121546,27.0
piano,20.0,20.0,20.0,20.0,17.0,19.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,19.0,19.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,16.0,20.0,19.5,1.071516751,28.0
recorder,16.0,12.0,15.0,16.0,17.0,17.0,20.0,20.0,14.0,10.0,16.0,13.0,14.0,16.0,17.0,20.0,14.0,20.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,16.0,17.0,20.0,16.64285714,3.561255352,28.0
saxophone,12.0,18.0,15.0,12.0,17.0,18.0,20.0,20.0,14.0,15.0,18.0,14.0,18.0,19.0,18.0,16.0,13.0,20.0,15.0,20.0,20.0,20.0,15.0,18.0,20.0,18.0,9.0,15.0,16.67857143,2.982089392,28.0
synthesizer,7.0,15.0,5.0,11.0,9.0,16.0,7.0,20.0,13.0,20.0,17.0,9.0,9.0,17.0,17.0,16.0,4.0,1.0,14.0,19.0,18.0,20.0,2.0,4.0,20.0,18.0,12.0,18.0,12.78571429,6.063595944,28.0
tambourine,13.0,12.0,10.0,4.0,10.0,13.0,4.0,20.0,4.0,3.0,10.0,11.0,11.0,14.0,14.0,12.0,12.0,18.0,8.0,20.0,14.0,19.0,15.0,6.0,15.0,12.0,9.0,5.0,11.35714286,4.832101649,28.0
triangle,12.0,5.0,2.0,9.0,10.0,15.0,11.0,20.0,4.0,3.0,10.0,6.0,7.0,1.0,11.0,18.0,3.0,17.0,9.0,20.0,12.0,20.0,13.0,3.0,20.0,10.0,8.0,5.0,10.14285714,5.979683416,28.0
trombone,11.0,17.0,20.0,2.0,17.0,17.0,10.0,20.0,9.0,5.0,16.0,7.0,12.0,11.0,17.0,14.0,13.0,18.0,6.0,20.0,20.0,20.0,13.0,14.0,20.0,14.0,12.0,2.0,13.46428571,5.493984204,28.0
trumpet,20.0,18.0,18.0,20.0,17.0,17.0,20.0,20.0,15.0,15.0,19.0,14.0,18.0,16.0,17.0,20.0,14.0,20.0,19.0,20.0,20.0,20.0,14.0,15.0,20.0,18.0,17.0,16.0,17.75,2.170935965,28.0
violin,19.0,18.0,20.0,20.0,17.0,18.0,20.0,20.0,17.0,10.0,20.0,20.0,19.0,18.0,19.0,19.0,13.0,20.0,17.0,20.0,20.0,20.0,16.0,18.0,20.0,20.0,16.0,20.0,18.35714286,2.376026651,28.0
