feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
bestaat in verschillende groottes,-1,0,-3,0,1,-1,0,-2,-1,1,0,0,-0.5,1.1677484162422844
bestaat in verschillende soorten,1,3,2,1,1,0,3,2,-3,-2,1,3,1.0,1.9069251784911847
bestaat in verschillende vormen,-1,0,-3,0,1,-1,0,1,-2,1,0,0,-0.3333333333333333,1.2309149097933272
dient om mee te werken,1,3,3,2,3,2,3,3,2,2,3,3,2.5,0.674199862463242
eventueel geautomatiseerd,2,3,1,0,1,0,3,1,-3,1,2,3,1.1666666666666667,1.6966991126265962
gebruikt in de bouw,2,3,1,-1,2,-1,3,2,1,2,3,3,1.6666666666666667,1.435481125130547
gemaakt uit hout,2,1,1,-3,1,-2,0,-1,-3,-2,1,-1,-0.5,1.7320508075688772
gemaakt uit metaal,3,0,2,2,2,-2,2,2,-3,-2,3,2,0.9166666666666666,2.108783937953269
heeft een handvat,2,3,1,1,2,1,2,1,-3,0,2,2,1.1666666666666667,1.5275252316519468
heeft een technische evolutie doorgemaakt,2,3,-3,-2,2,-2,3,3,-3,0,1,3,0.5833333333333334,2.466441431158124
is bedoeld voor de handige harry,1,3,-2,1,0,1,2,1,-2,-2,1,2,0.5,1.6787441193290353
is duur,-1,3,-3,1,0,-1,3,2,-3,0,-2,1,0.0,2.088931871468374
is een goede uitvinding,1,1,-3,1,0,1,1,0,1,3,1,1,0.6666666666666666,1.3706888336846839
is een hamer,-3,0,-3,0,1,-1,-1,0,0,1,-3,1,-0.6666666666666666,1.5569978883230462
is een handwerktuig,3,3,3,2,2,1,3,2,1,3,2,2,2.25,0.7537783614444091
is een hulpmiddel,1,2,2,2,2,-1,2,2,3,1,2,3,1.75,1.0552897060221726
is een kraan,-3,0,-3,0,1,-1,-1,0,0,1,-3,-1,-0.8333333333333334,1.4668044012461756
is een tractor,-3,0,-3,0,1,-1,-1,-2,0,1,-3,-1,-1.0,1.4770978917519928
is een verzamelnaam,-3,0,0,0,2,3,0,2,-2,3,2,1,0.6666666666666666,1.8748737331221843
is elektronisch,-2,1,-3,1,0,-1,0,-1,-1,-1,-3,1,-0.75,1.4222261679238197
is er in verschillende materialen,-1,0,-3,1,1,-1,0,0,1,2,0,0,0.0,1.2792042981336627
is gereedschap,0,3,3,3,3,3,3,3,1,3,2,3,2.5,1.0
is groot,0,-2,0,-2,0,0,0,1,-3,-2,-2,0,-0.8333333333333334,1.2673044646258473
is handig,3,3,3,2,2,1,3,3,-3,1,2,3,1.9166666666666667,1.7298624923456323
is multifunctioneel,1,3,0,-2,2,1,3,2,-3,1,2,2,1.0,1.8586407545691703
is onmisbaar,0,0,-3,-1,-3,1,0,0,2,3,1,1,0.08333333333333333,1.7816403745544227
je kan er iemand mee verwonden,0,3,1,1,3,-2,3,2,-3,-1,1,1,0.75,1.9598237397554634
kan gevaarlijk zijn,2,1,-3,1,-2,-1,1,1,1,-1,1,2,0.25,1.6025547785276542
maakt lawaai,2,1,1,1,1,-2,3,1,-3,-1,2,2,0.6666666666666666,1.775250729197189
vergemakkelijkt het werk,2,3,2,2,3,3,3,3,3,3,2,3,2.6666666666666665,0.4923659639173309
werd al gebruikt in de oertijd,2,3,0,-3,2,-3,3,2,0,0,1,3,0.8333333333333334,2.1248885888797826
wordt bestuurd,3,1,-3,0,1,-1,1,-2,-1,-1,2,-1,-0.08333333333333333,1.729862492345632
wordt gebruikt door een vakman,1,2,-2,0,0,1,3,2,0,-2,-1,2,0.5,1.6236882817719773
wordt gebruikt door iedereen,1,0,1,1,0,0,0,1,1,2,1,-2,0.5,1.0
wordt gebruikt om iets te maken,2,2,2,2,1,3,3,2,3,2,-3,3,1.8333333333333333,1.6422453217986943
wordt gebruikt om mee te werken,3,3,3,3,2,3,3,2,3,1,1,3,2.5,0.7977240352174656
wordt vooral door mannen gebruikt,2,3,-3,1,2,1,1,0,-3,0,1,1,0.5,1.834021909257456
