exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,2.0,4.0,5.0,5.0,7.0,2.0,1.0,5.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,6.0,2.0,5.0,5.0,2.0,1.0,5.0,2.0,3.0,3.0,2.0,1.0,1.0,6.0,2.0,5.0
bottle,2.0,20.0,10.0,6.0,4.0,10.0,2.0,3.0,16.0,2.0,10.0,4.0,4.0,10.0,13.0,4.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,6.0,6.0
bowl,4.0,10.0,20.0,2.0,18.0,12.0,2.0,1.0,18.0,3.0,10.0,3.0,8.0,8.0,20.0,2.0,4.0,12.0,12.0,3.0,18.0,18.0,2.0,3.0,12.0,3.0,8.0,1.0,6.0,1.0,4.0,2.0,18.0
can opener,5.0,6.0,2.0,20.0,2.0,4.0,9.0,4.0,5.0,2.0,2.0,14.0,5.0,10.0,1.0,3.0,1.0,4.0,5.0,4.0,3.0,3.0,5.0,13.0,8.0,2.0,8.0,4.0,2.0,3.0,1.0,10.0,2.0
colander,5.0,4.0,18.0,2.0,20.0,2.0,6.0,5.0,2.0,1.0,14.0,3.0,2.0,5.0,12.0,7.0,4.0,15.0,1.0,1.0,15.0,14.0,1.0,1.0,18.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,14.0
electric kettle,7.0,10.0,12.0,4.0,2.0,20.0,8.0,12.0,2.0,4.0,4.0,2.0,16.0,7.0,12.0,2.0,12.0,14.0,18.0,1.0,3.0,14.0,2.0,1.0,3.0,2.0,1.0,15.0,10.0,12.0,10.0,2.0,1.0
fork,2.0,2.0,2.0,9.0,6.0,8.0,20.0,4.0,8.0,10.0,6.0,19.0,4.0,9.0,1.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,6.0,8.0,7.0,17.0,18.0,2.0,16.0,2.0,1.0,18.0,1.0
fridge,1.0,3.0,1.0,4.0,5.0,12.0,4.0,20.0,5.0,2.0,12.0,1.0,18.0,10.0,4.0,2.0,14.0,4.0,1.0,3.0,1.0,8.0,2.0,4.0,3.0,1.0,4.0,14.0,1.0,12.0,2.0,1.0,4.0
glass,5.0,16.0,18.0,5.0,2.0,2.0,8.0,5.0,20.0,2.0,4.0,2.0,3.0,2.0,19.0,3.0,4.0,12.0,12.0,2.0,10.0,12.0,2.0,6.0,3.0,2.0,6.0,4.0,3.0,1.0,2.0,4.0,3.0
grater,3.0,2.0,3.0,2.0,1.0,4.0,10.0,2.0,2.0,20.0,1.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,14.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,6.0,1.0
