exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,3.0,5.0,1.0,2.0,4.0,2.0,3.0,6.0,2.0,2.0,8.0,5.0,5.0
bottle,1.0,20.0,2.0,5.0,2.0,3.0,3.0,5.0,6.0,1.0,6.0,6.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,6.0,6.0,3.0,3.0,3.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0
bowl,4.0,2.0,20.0,4.0,8.0,5.0,5.0,4.0,6.0,3.0,2.0,3.0,5.0,4.0,15.0,2.0,7.0,17.0,3.0,5.0,5.0,20.0,1.0,4.0,4.0,7.0,3.0,3.0,2.0,1.0,6.0,8.0,13.0
can opener,2.0,5.0,4.0,20.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,3.0,1.0,7.0,1.0,4.0,1.0,2.0,3.0,15.0,1.0,6.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,5.0,1.0
colander,2.0,2.0,8.0,3.0,20.0,4.0,3.0,2.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,8.0,1.0,1.0,18.0,3.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0
electric kettle,2.0,3.0,5.0,2.0,4.0,20.0,2.0,3.0,6.0,2.0,17.0,3.0,1.0,2.0,8.0,2.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,15.0,4.0,5.0,1.0,3.0
fork,2.0,3.0,5.0,4.0,3.0,2.0,20.0,3.0,8.0,3.0,1.0,10.0,2.0,8.0,3.0,4.0,3.0,8.0,2.0,3.0,7.0,2.0,1.0,3.0,2.0,12.0,8.0,4.0,6.0,2.0,1.0,9.0,5.0
fridge,3.0,5.0,4.0,2.0,2.0,3.0,3.0,20.0,4.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,12.0,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,6.0,7.0,2.0,2.0,2.0,4.0,3.0
glass,2.0,6.0,6.0,2.0,1.0,6.0,8.0,4.0,20.0,1.0,3.0,4.0,2.0,3.0,9.0,3.0,3.0,6.0,1.0,9.0,9.0,11.0,1.0,1.0,3.0,1.0,6.0,2.0,5.0,2.0,3.0,3.0,4.0
grater,4.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,20.0,5.0,6.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,5.0,1.0,5.0,15.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0
kettle,1.0,6.0,2.0,2.0,1.0,17.0,1.0,1.0,3.0,5.0,20.0,4.0,8.0,3.0,4.0,1.0,9.0,4.0,8.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,2.0,10.0,7.0,2.0,6.0,2.0,10.0
knife,1.0,6.0,3.0,5.0,2.0,3.0,10.0,1.0,4.0,6.0,4.0,20.0,1.0,1.0,6.0,1.0,3.0,4.0,1.0,4.0,6.0,5.0,1.0,15.0,2.0,8.0,9.0,4.0,2.0,3.0,1.0,4.0,3.0
microwave oven,5.0,1.0,5.0,1.0,1.0,1.0,2.0,7.0,2.0,1.0,8.0,1.0,20.0,4.0,1.0,2.0,10.0,4.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,10.0,1.0,3.0,3.0,5.0,1.0
mixer,1.0,1.0,4.0,3.0,3.0,2.0,8.0,3.0,3.0,3.0,3.0,1.0,4.0,20.0,1.0,6.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,9.0,6.0,4.0,3.0,1.0,3.0,17.0,2.0
mug,3.0,3.0,15.0,1.0,1.0,8.0,3.0,1.0,9.0,1.0,4.0,6.0,1.0,1.0,20.0,1.0,4.0,4.0,3.0,2.0,6.0,4.0,1.0,1.0,1.0,6.0,10.0,4.0,10.0,1.0,2.0,1.0,4.0
nutcracker,1.0,1.0,2.0,7.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0
oven,6.0,1.0,7.0,1.0,3.0,2.0,3.0,12.0,3.0,1.0,9.0,3.0,10.0,4.0,4.0,2.0,20.0,4.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,4.0,3.0,15.0,2.0,10.0,15.0,1.0,3.0
pan,2.0,3.0,17.0,4.0,4.0,4.0,8.0,4.0,6.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,20.0,2.0,9.0,5.0,12.0,1.0,3.0,6.0,5.0,6.0,9.0,1.0,3.0,3.0,4.0,13.0
percolator,1.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,8.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,20.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,6.0,3.0,2.0,2.0,3.0
place mat,1.0,6.0,5.0,2.0,1.0,1.0,3.0,1.0,9.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,9.0,6.0,20.0,2.0,9.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,2.0,8.0
plate,3.0,6.0,5.0,3.0,2.0,2.0,7.0,3.0,9.0,5.0,1.0,6.0,6.0,1.0,6.0,1.0,2.0,5.0,1.0,2.0,20.0,8.0,1.0,5.0,2.0,1.0,8.0,7.0,5.0,2.0,3.0,3.0,4.0
pot,5.0,3.0,20.0,15.0,8.0,4.0,2.0,4.0,11.0,5.0,13.0,5.0,2.0,2.0,4.0,1.0,5.0,12.0,2.0,9.0,8.0,20.0,1.0,3.0,4.0,9.0,5.0,9.0,7.0,1.0,5.0,3.0,15.0
scales,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0
scissors,2.0,3.0,4.0,6.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,15.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,20.0,5.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0
sieve,4.0,1.0,4.0,1.0,18.0,3.0,2.0,1.0,3.0,15.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,2.0,4.0,4.0,5.0,20.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0
spatula,2.0,5.0,7.0,3.0,3.0,2.0,12.0,1.0,1.0,2.0,2.0,8.0,1.0,9.0,6.0,1.0,4.0,5.0,2.0,3.0,1.0,9.0,1.0,3.0,3.0,20.0,10.0,3.0,6.0,1.0,3.0,17.0,5.0
spoon,3.0,4.0,3.0,3.0,2.0,2.0,8.0,6.0,6.0,3.0,2.0,9.0,2.0,6.0,10.0,5.0,3.0,6.0,5.0,3.0,8.0,5.0,1.0,3.0,3.0,10.0,20.0,3.0,12.0,1.0,3.0,15.0,3.0
stove,6.0,1.0,3.0,3.0,3.0,3.0,4.0,7.0,2.0,2.0,10.0,4.0,10.0,4.0,4.0,1.0,15.0,9.0,4.0,4.0,7.0,9.0,2.0,2.0,2.0,3.0,3.0,20.0,2.0,5.0,5.0,3.0,4.0
