exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,5.0,3.0,6.0,2.0,5.0,2.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,1.0,3.0,2.0,4.0,4.0,6.0,5.0,4.0,5.0,1.0,2.0,2.0,2.0,16.0,1.0,2.0
bottle,5.0,20.0,8.0,4.0,2.0,4.0,2.0,5.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,5.0,2.0,2.0,5.0,4.0,15.0,5.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,4.0,5.0
bowl,3.0,8.0,20.0,1.0,2.0,2.0,5.0,2.0,8.0,6.0,15.0,2.0,5.0,4.0,6.0,3.0,11.0,13.0,5.0,5.0,8.0,18.0,1.0,3.0,14.0,4.0,2.0,5.0,5.0,7.0,5.0,3.0,15.0
can opener,6.0,4.0,1.0,20.0,2.0,1.0,2.0,7.0,2.0,2.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,6.0,2.0,11.0,3.0,2.0,4.0,3.0,3.0,7.0,4.0,2.0,2.0
colander,2.0,2.0,2.0,2.0,20.0,10.0,4.0,1.0,4.0,4.0,12.0,1.0,1.0,3.0,5.0,4.0,5.0,6.0,2.0,2.0,9.0,1.0,4.0,3.0,16.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,14.0
electric kettle,5.0,4.0,2.0,1.0,10.0,20.0,1.0,4.0,5.0,4.0,12.0,1.0,2.0,2.0,8.0,6.0,7.0,7.0,16.0,5.0,4.0,12.0,8.0,6.0,5.0,4.0,2.0,4.0,5.0,8.0,4.0,2.0,13.0
fork,2.0,2.0,5.0,2.0,4.0,1.0,20.0,3.0,2.0,8.0,2.0,11.0,4.0,3.0,4.0,5.0,4.0,1.0,5.0,3.0,4.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,9.0,3.0,3.0,4.0,6.0
fridge,5.0,5.0,2.0,7.0,1.0,4.0,3.0,20.0,4.0,1.0,5.0,6.0,1.0,8.0,3.0,2.0,3.0,6.0,4.0,1.0,4.0,1.0,6.0,4.0,2.0,5.0,2.0,6.0,2.0,4.0,2.0,3.0,6.0
glass,4.0,1.0,8.0,2.0,4.0,5.0,2.0,4.0,20.0,1.0,2.0,2.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,7.0,11.0,4.0,4.0,5.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,5.0
grater,4.0,2.0,6.0,2.0,4.0,4.0,8.0,1.0,1.0,20.0,4.0,10.0,5.0,4.0,6.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,16.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0
