exemplar,apron,bottle,bowl,can opener,colander,electric kettle,fork,fridge,glass,grater,kettle,knife,microwave oven,mixer,mug,nutcracker,oven,pan,percolator,place mat,plate,pot,scales,scissors,sieve,spatula,spoon,stove,teaspoon,toaster,towel,whisk,wok
apron,20.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,6.0,7.0,5.0,4.0,2.0,1.0,3.0,9.0,2.0,2.0,3.0,3.0,2.0,17.0,5.0,4.0
bottle,2.0,20.0,6.0,7.0,5.0,12.0,4.0,4.0,9.0,2.0,4.0,2.0,4.0,5.0,13.0,4.0,4.0,4.0,5.0,5.0,4.0,12.0,4.0,5.0,3.0,5.0,3.0,2.0,2.0,2.0,6.0,2.0,5.0
bowl,3.0,6.0,20.0,2.0,12.0,6.0,2.0,2.0,10.0,9.0,15.0,4.0,5.0,8.0,11.0,4.0,4.0,14.0,11.0,5.0,11.0,14.0,9.0,2.0,9.0,3.0,4.0,2.0,9.0,2.0,5.0,3.0,14.0
can opener,1.0,7.0,2.0,20.0,2.0,1.0,14.0,5.0,4.0,4.0,3.0,11.0,4.0,14.0,2.0,15.0,5.0,3.0,5.0,5.0,6.0,5.0,12.0,14.0,4.0,9.0,9.0,2.0,12.0,4.0,3.0,7.0,4.0
colander,2.0,5.0,12.0,2.0,20.0,8.0,2.0,4.0,3.0,12.0,6.0,5.0,3.0,4.0,5.0,3.0,5.0,10.0,12.0,5.0,12.0,12.0,4.0,2.0,16.0,3.0,4.0,2.0,4.0,4.0,4.0,10.0,6.0
electric kettle,2.0,12.0,6.0,1.0,8.0,20.0,2.0,14.0,10.0,6.0,17.0,4.0,15.0,9.0,12.0,5.0,9.0,8.0,14.0,4.0,2.0,11.0,8.0,4.0,4.0,5.0,1.0,11.0,5.0,11.0,7.0,3.0,3.0
fork,2.0,4.0,2.0,14.0,2.0,2.0,20.0,2.0,7.0,9.0,1.0,17.0,3.0,12.0,4.0,7.0,2.0,6.0,2.0,2.0,7.0,3.0,4.0,15.0,8.0,13.0,18.0,3.0,17.0,4.0,4.0,15.0,5.0
fridge,4.0,4.0,2.0,5.0,4.0,14.0,2.0,20.0,4.0,4.0,2.0,4.0,14.0,4.0,4.0,2.0,10.0,3.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,11.0,5.0,8.0,2.0,2.0,4.0
glass,2.0,9.0,10.0,4.0,3.0,10.0,7.0,4.0,20.0,5.0,5.0,7.0,12.0,4.0,17.0,5.0,5.0,4.0,12.0,4.0,4.0,14.0,4.0,2.0,2.0,1.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0
grater,2.0,2.0,9.0,4.0,12.0,6.0,9.0,4.0,5.0,20.0,5.0,4.0,3.0,5.0,4.0,9.0,6.0,5.0,5.0,2.0,6.0,2.0,3.0,5.0,15.0,4.0,10.0,7.0,8.0,4.0,2.0,5.0,6.0
kettle,4.0,4.0,15.0,3.0,6.0,17.0,1.0,2.0,5.0,5.0,20.0,2.0,7.0,4.0,2.0,2.0,14.0,15.0,13.0,3.0,5.0,15.0,5.0,3.0,7.0,3.0,4.0,12.0,4.0,4.0,4.0,4.0,13.0
knife,5.0,2.0,4.0,11.0,5.0,4.0,17.0,4.0,7.0,4.0,2.0,20.0,6.0,6.0,4.0,7.0,3.0,5.0,2.0,2.0,11.0,4.0,5.0,15.0,3.0,12.0,15.0,4.0,15.0,6.0,2.0,12.0,5.0
microwave oven,5.0,4.0,5.0,4.0,3.0,15.0,3.0,14.0,12.0,3.0,7.0,6.0,20.0,9.0,11.0,2.0,15.0,5.0,11.0,4.0,7.0,2.0,7.0,4.0,3.0,4.0,2.0,12.0,2.0,11.0,4.0,3.0,5.0
mixer,3.0,5.0,8.0,14.0,4.0,9.0,12.0,4.0,4.0,5.0,4.0,6.0,9.0,20.0,6.0,3.0,6.0,5.0,2.0,4.0,6.0,6.0,9.0,10.0,5.0,8.0,10.0,3.0,2.0,3.0,3.0,16.0,2.0
mug,4.0,13.0,11.0,2.0,5.0,12.0,4.0,4.0,17.0,4.0,2.0,4.0,11.0,6.0,20.0,4.0,5.0,3.0,10.0,2.0,10.0,12.0,5.0,3.0,3.0,5.0,10.0,4.0,8.0,4.0,2.0,6.0,7.0
nutcracker,3.0,4.0,4.0,15.0,3.0,5.0,7.0,2.0,5.0,9.0,2.0,7.0,2.0,3.0,4.0,20.0,5.0,2.0,3.0,3.0,4.0,3.0,9.0,14.0,4.0,8.0,14.0,7.0,5.0,4.0,2.0,10.0,6.0
oven,5.0,4.0,4.0,5.0,5.0,9.0,2.0,10.0,5.0,6.0,14.0,3.0,15.0,6.0,5.0,5.0,20.0,12.0,10.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,1.0,12.0,6.0,4.0,2.0,5.0,7.0
pan,6.0,4.0,14.0,3.0,10.0,8.0,6.0,3.0,4.0,5.0,15.0,5.0,5.0,5.0,3.0,2.0,12.0,20.0,4.0,6.0,12.0,15.0,6.0,3.0,9.0,5.0,12.0,9.0,11.0,7.0,4.0,6.0,16.0
percolator,7.0,5.0,11.0,5.0,12.0,14.0,2.0,5.0,12.0,5.0,13.0,2.0,11.0,2.0,10.0,3.0,10.0,4.0,20.0,4.0,5.0,15.0,5.0,3.0,15.0,4.0,7.0,9.0,11.0,5.0,7.0,6.0,2.0
place mat,5.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,6.0,4.0,20.0,12.0,3.0,7.0,2.0,3.0,4.0,4.0,6.0,3.0,2.0,14.0,2.0,3.0
