exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
adjustable spanner,1.0,0.246875,0.25882352941176473,0.4088235294117647,0.33571428571428574,0.4264705882352941,0.4,0.22941176470588234,0.27647058823529413,0.38529411764705884,0.2323529411764706,0.29705882352941176,0.29705882352941176,0.16470588235294117,0.26176470588235295,0.29705882352941176,0.20714285714285716,0.2647058823529412,0.35,0.28928571428571426,0.23125,0.15,0.25882352941176473,0.5323529411764706,0.22941176470588234,0.4676470588235294,0.18235294117647058,0.2323529411764706,0.3,0.63125
anvil,0.246875,1.0,0.2705882352941177,0.3235294117647059,0.24642857142857144,0.35625,0.29705882352941176,0.1588235294117647,0.2,0.20625,0.2529411764705882,0.34705882352941175,0.2088235294117647,0.18823529411764706,0.23529411764705882,0.18823529411764706,0.2033333333333333,0.18235294117647058,0.29411764705882354,0.28928571428571426,0.25,0.1388888888888889,0.19411764705882353,0.21470588235294116,0.2235294117647059,0.24117647058823527,0.16764705882352943,0.23529411764705882,0.2375,0.23666666666666666
axe,0.25882352941176473,0.2705882352941177,1.0,0.4805555555555555,0.2642857142857143,0.4882352941176471,0.4722222222222222,0.26666666666666666,0.35833333333333334,0.3235294117647059,0.2777777777777778,0.5194444444444445,0.5972222222222222,0.26666666666666666,0.21944444444444447,0.25277777777777777,0.2,0.23888888888888887,0.6647058823529413,0.35714285714285715,0.37058823529411766,0.15833333333333333,0.4222222222222222,0.2638888888888889,0.35833333333333334,0.3,0.1638888888888889,0.18611111111111112,0.296875,0.24375
chisel,0.4088235294117647,0.3235294117647059,0.4805555555555555,1.0,0.30357142857142855,0.5029411764705882,0.5361111111111111,0.3277777777777778,0.5666666666666667,0.5117647058823529,0.2861111111111111,0.4722222222222222,0.5,0.21388888888888888,0.2833333333333333,0.40555555555555556,0.18333333333333332,0.36666666666666664,0.5194444444444445,0.4115384615384615,0.3029411764705882,0.14722222222222223,0.325,0.4916666666666667,0.3861111111111111,0.37222222222222223,0.14166666666666666,0.17777777777777776,0.346875,0.35625
clamp,0.33571428571428574,0.24642857142857144,0.2642857142857143,0.30357142857142855,1.0,0.31785714285714284,0.275,0.26785714285714285,0.22142857142857145,0.275,0.2928571428571428,0.23928571428571427,0.23928571428571427,0.18928571428571428,0.2642857142857143,0.2357142857142857,0.22083333333333335,0.26071428571428573,0.31153846153846154,0.26666666666666666,0.2230769230769231,0.24285714285714283,0.23214285714285715,0.19285714285714287,0.24285714285714283,0.38571428571428573,0.20357142857142857,0.20714285714285716,0.25,0.24615384615384617
crowbar (breekijzer),0.4264705882352941,0.35625,0.4882352941176471,0.5029411764705882,0.31785714285714284,1.0,0.7470588235294118,0.26176470588235295,0.3823529411764706,0.38823529411764707,0.3235294117647059,0.41875,0.45588235294117646,0.21470588235294116,0.24705882352941178,0.29411764705882354,0.28928571428571426,0.24411764705882355,0.5735294117647058,0.3892857142857143,0.29333333333333333,0.1588235294117647,0.27941176470588236,0.42058823529411765,0.31470588235294117,0.45294117647058824,0.1588235294117647,0.20588235294117646,0.27666666666666667,0.390625
crowbar (koevoet),0.4,0.29705882352941176,0.4722222222222222,0.5361111111111111,0.275,0.7470588235294118,1.0,0.3205882352941177,0.33055555555555555,0.3264705882352941,0.29444444444444445,0.43888888888888894,0.3944444444444445,0.19166666666666668,0.2694444444444445,0.25833333333333336,0.19,0.25833333333333336,0.47777777777777775,0.3392857142857143,0.3088235294117647,0.14444444444444443,0.3138888888888889,0.40555555555555556,0.3472222222222222,0.42058823529411765,0.2,0.21388888888888888,0.284375,0.384375
drill,0.22941176470588234,0.1588235294117647,0.26666666666666666,0.3277777777777778,0.26785714285714285,0.26176470588235295,0.3205882352941177,1.0,0.275,0.25882352941176473,0.5055555555555555,0.27222222222222225,0.3055555555555555,0.32222222222222224,0.23888888888888887,0.25833333333333336,0.18,0.17777777777777776,0.275,0.2857142857142857,0.2323529411764706,0.13333333333333333,0.3055555555555555,0.3861111111111111,0.2638888888888889,0.20555555555555555,0.25833333333333336,0.175,0.2125,0.25
file,0.27647058823529413,0.2,0.35833333333333334,0.5666666666666667,0.22142857142857145,0.3823529411764706,0.33055555555555555,0.275,1.0,0.45,0.5111111111111111,0.27222222222222225,0.6,0.18611111111111112,0.2111111111111111,0.3611111111111111,0.21000000000000002,0.33611111111111114,0.3638888888888889,0.625,0.21176470588235294,0.1638888888888889,0.41944444444444445,0.37777777777777777,0.29444444444444445,0.2972222222222222,0.16111111111111112,0.1638888888888889,0.490625,0.33125
filling knife,0.38529411764705884,0.20625,0.3235294117647059,0.5117647058823529,0.275,0.38823529411764707,0.3264705882352941,0.25882352941176473,0.45,1.0,0.30588235294117644,0.2676470588235294,0.5852941176470587,0.15294117647058822,0.3588235294117647,0.25,0.24285714285714283,0.37058823529411766,0.4617647058823529,0.39285714285714285,0.25,0.14705882352941177,0.2852941176470588,0.3382352941176471,0.40294117647058825,0.30588235294117644,0.2,0.19411764705882353,0.32999999999999996,0.303125
grinding disc,0.2323529411764706,0.2529411764705882,0.2777777777777778,0.2861111111111111,0.2928571428571428,0.3235294117647059,0.29444444444444445,0.5055555555555555,0.5111111111111111,0.30588235294117644,1.0,0.22222222222222224,0.43611111111111106,0.4222222222222222,0.2235294117647059,0.2694444444444445,0.14333333333333334,0.19166666666666668,0.2833333333333333,0.6071428571428571,0.26176470588235295,0.16944444444444445,0.4527777777777778,0.25555555555555554,0.27222222222222225,0.2361111111111111,0.23333333333333334,0.2,0.309375,0.240625
hammer,0.29705882352941176,0.34705882352941175,0.5194444444444445,0.4722222222222222,0.23928571428571427,0.41875,0.43888888888888894,0.27222222222222225,0.27222222222222225,0.2676470588235294,0.22222222222222224,1.0,0.28888888888888886,0.16666666666666669,0.25555555555555554,0.3,0.23333333333333334,0.22222222222222224,0.39166666666666666,0.2785714285714286,0.22058823529411767,0.14444444444444443,0.375,0.3055555555555555,0.30833333333333335,0.35277777777777775,0.1638888888888889,0.18888888888888888,0.25625,0.3125
knife,0.29705882352941176,0.2088235294117647,0.5972222222222222,0.5,0.23928571428571427,0.45588235294117646,0.3944444444444445,0.3055555555555555,0.6,0.5852941176470587,0.43611111111111106,0.28888888888888886,1.0,0.3055555555555555,0.25555555555555554,0.33611111111111114,0.13666666666666666,0.21944444444444447,0.37222222222222223,0.5035714285714286,0.4176470588235294,0.15,0.5777777777777777,0.4611111111111111,0.29166666666666663,0.3277777777777778,0.13333333333333333,0.1638888888888889,0.2676470588235294,0.3
