exemplar,% known,age of acquisition
ant,98.46,4.88
bee,98.44,5.08
beetle,98.96,6.33
bumblebee,99.74,8.65
butterfly,99.74,5.58
caterpillar,97.19,6.29
centipede,97.66,7.25
cockchafer,98.47,7.96
cockroach,98.97,8.52
cricket,97.9,7.87
dragonfly,98.68,8.05
earwig,92.56,9.5
flee,97.67,6.87
fly,98.96,4.7
fruit fly,93.56,11.71
grasshopper,98.45,6.87
horsefly,91.4,10.11
ladybug,99.74,6.04
leech,98.7,10.38
louse,98.97,6.91
mosquito,99.74,5.42
moth,97.22,7.91
spider,98.69,4.92
wasp,100.0,5.92
wood louse,97.67,8.46
worm,98.46,5.63
