exemplar,% known,age of acquisition
alligator,97.61,8.0
blindworm,81.0,8.0
boa,97.61,11.0
caiman,92.86,10.0
chameleon,98.68,9.0
cobra,94.9,10.0
crocodile,99.73,5.0
dinosaur,98.12,6.0
frog,99.19,5.0
gecko,80.26,13.0
iguana,96.59,11.0
lizard,98.67,7.0
monitor lizard,86.21,10.0
python,93.22,11.0
salamander,98.1,8.0
snake,99.45,4.0
toad,99.42,5.0
tortoise,100.0,6.0
turtle,93.13,7.0
viper,94.94,8.88
