exemplar,% known,age of acquisition
(hot air) balloon,98.54,6.58
airplane,100.0,5.83
bicycle,99.01,4.57
boat,98.79,5.0
bus,98.78,4.92
car,98.31,4.39
carriage,99.02,6.75
cart,99.5,5.04
go-cart,97.82,6.68
helicopter,99.25,6.91
hovercraft,89.35,12.86
jeep,97.85,7.74
kick scooter,97.13,9.3
motorbike (brommer),99.51,7.25
motorbike (moto),98.07,7.96
rocket,99.5,7.63
scooter,99.26,8.78
skateboard,97.59,8.29
sled,98.79,5.17
submarine,99.5,7.88
subway train,94.39,8.96
taxi,97.57,8.29
tractor,99.75,6.21
trailer,99.51,7.33
train,99.26,4.71
tram,99.26,7.91
truck (camion),98.28,6.04
truck (vrachtwagen),99.01,5.21
van,97.95,7.92
zeppelin,97.07,9.54
