exemplar,% known,age of acquisition
anchovy,96.77,10.7
carp,97.76,10.0
cod,99.75,8.08
dolphin,98.76,6.21
eel,99.49,7.96
flatfish,94.24,9.96
goldfish,99.26,5.3
herring,98.03,8.46
orca,99.5,8.58
pike,96.38,9.92
piranha,99.5,10.0
plaice,95.66,10.74
ray,97.06,10.79
salmon,99.0,8.92
sardine,97.31,9.46
shark,98.99,6.13
sole,99.49,4.22
sperm whale,99.49,10.5
squid,98.02,7.79
stickleback,96.77,9.88
swordfish,98.0,9.08
trout,98.01,9.09
whale,99.23,6.46
