exemplar,bazooka,bijl,boksbeugel,boog,dolk,geweer,granaat,kanon,katapult,knuppel,mitrailleur,pistool,schild,speer,stok,tank,touw,tweeloop,zwaard,zweep
bazooka,1.0,0.20208333333333334,0.17708333333333331,0.22291666666666665,0.19791666666666669,0.60625,0.4770833333333333,0.675,0.35208333333333336,0.19791666666666669,0.5666666666666667,0.4875,0.15,0.19583333333333333,0.15208333333333332,0.56875,0.12708333333333333,0.49347826086956526,0.27083333333333337,0.15208333333333332
bijl,0.20208333333333334,1.0,0.25416666666666665,0.32,0.518,0.21800000000000003,0.194,0.198,0.242,0.418,0.246,0.22799999999999998,0.284,0.446,0.43600000000000005,0.22200000000000003,0.22799999999999998,0.24130434782608695,0.5780000000000001,0.248
boksbeugel,0.17708333333333331,0.25416666666666665,1.0,0.1875,0.29166666666666663,0.21666666666666665,0.22083333333333335,0.19583333333333333,0.21458333333333335,0.35625,0.21875,0.20208333333333334,0.25625,0.24166666666666664,0.22708333333333336,0.175,0.1875,0.2,0.25,0.23541666666666666
boog,0.22291666666666665,0.32,0.1875,1.0,0.306,0.264,0.22000000000000003,0.3,0.5780000000000001,0.24,0.178,0.298,0.33599999999999997,0.46799999999999997,0.376,0.172,0.442,0.2347826086956522,0.3,0.292
dolk,0.19791666666666669,0.518,0.29166666666666663,0.306,1.0,0.296,0.192,0.172,0.268,0.27,0.22400000000000003,0.298,0.32799999999999996,0.504,0.394,0.16399999999999998,0.22799999999999998,0.23695652173913043,0.608,0.24
geweer,0.60625,0.21800000000000003,0.21666666666666665,0.264,0.296,1.0,0.368,0.488,0.33199999999999996,0.244,0.654,0.852,0.172,0.324,0.242,0.33799999999999997,0.152,0.8217391304347826,0.302,0.198
granaat,0.4770833333333333,0.194,0.22083333333333335,0.22000000000000003,0.192,0.368,1.0,0.492,0.292,0.21800000000000003,0.404,0.346,0.184,0.236,0.186,0.514,0.10800000000000001,0.33695652173913043,0.25,0.16599999999999998
kanon,0.675,0.198,0.19583333333333333,0.3,0.172,0.488,0.492,1.0,0.358,0.19,0.41600000000000004,0.44000000000000006,0.19,0.198,0.154,0.5780000000000001,0.13999999999999999,0.3847826086956522,0.21000000000000002,0.134
katapult,0.35208333333333336,0.242,0.21458333333333335,0.5780000000000001,0.268,0.33199999999999996,0.292,0.358,1.0,0.318,0.248,0.27799999999999997,0.20600000000000002,0.312,0.42800000000000005,0.266,0.346,0.3130434782608696,0.256,0.29
knuppel,0.19791666666666669,0.418,0.35625,0.24,0.27,0.244,0.21800000000000003,0.19,0.318,1.0,0.198,0.238,0.34199999999999997,0.458,0.6719999999999999,0.158,0.22599999999999998,0.25869565217391305,0.40199999999999997,0.304
mitrailleur,0.5666666666666667,0.246,0.21875,0.178,0.22400000000000003,0.654,0.404,0.41600000000000004,0.248,0.198,1.0,0.678,0.2,0.3,0.20800000000000002,0.46399999999999997,0.13,0.6282608695652174,0.32599999999999996,0.182
pistool,0.4875,0.22799999999999998,0.20208333333333334,0.298,0.298,0.852,0.346,0.44000000000000006,0.27799999999999997,0.238,0.678,1.0,0.184,0.262,0.194,0.33399999999999996,0.132,0.7326086956521739,0.274,0.22200000000000003
schild,0.15,0.284,0.25625,0.33599999999999997,0.32799999999999996,0.172,0.184,0.19,0.20600000000000002,0.34199999999999997,0.2,0.184,1.0,0.322,0.254,0.27,0.178,0.18043478260869567,0.45,0.18
speer,0.19583333333333333,0.446,0.24166666666666664,0.46799999999999997,0.504,0.324,0.236,0.198,0.312,0.458,0.3,0.262,0.322,1.0,0.648,0.19,0.20400000000000001,0.24130434782608695,0.43,0.244
stok,0.15208333333333332,0.43600000000000005,0.22708333333333336,0.376,0.394,0.242,0.186,0.154,0.42800000000000005,0.6719999999999999,0.20800000000000002,0.194,0.254,0.648,1.0,0.142,0.318,0.22391304347826088,0.466,0.386
tank,0.56875,0.22200000000000003,0.175,0.172,0.16399999999999998,0.33799999999999997,0.514,0.5780000000000001,0.266,0.158,0.46399999999999997,0.33399999999999996,0.27,0.19,0.142,1.0,0.154,0.41956521739130437,0.202,0.148
touw,0.12708333333333333,0.22799999999999998,0.1875,0.442,0.22799999999999998,0.152,0.10800000000000001,0.13999999999999999,0.346,0.22599999999999998,0.13,0.132,0.178,0.20400000000000001,0.318,0.154,1.0,0.15217391304347827,0.182,0.63
tweeloop,0.49347826086956526,0.24130434782608695,0.2,0.2347826086956522,0.23695652173913043,0.8217391304347826,0.33695652173913043,0.3847826086956522,0.3130434782608696,0.25869565217391305,0.6282608695652174,0.7326086956521739,0.18043478260869567,0.24130434782608695,0.22391304347826088,0.41956521739130437,0.15217391304347827,1.0,0.24130434782608695,0.13043478260869565
zwaard,0.27083333333333337,0.5780000000000001,0.25,0.3,0.608,0.302,0.25,0.21000000000000002,0.256,0.40199999999999997,0.32599999999999996,0.274,0.45,0.43,0.466,0.202,0.182,0.24130434782608695,1.0,0.262
zweep,0.15208333333333332,0.248,0.23541666666666666,0.292,0.24,0.198,0.16599999999999998,0.134,0.29,0.304,0.182,0.22200000000000003,0.18,0.244,0.386,0.148,0.63,0.13043478260869565,0.262,1.0
