exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,9.0,11.0,10.0,14.0,15.0,13.0,13.0,11.0,11.0,14.0,11.0,12.0,18.0,10.0,12.0,10.0,9.0,12.0,9.0,11.0,18.0,10.0,19.0,12.0,10.0,10.0,12.0,13.0,8.0
boot,9.0,20.0,9.0,9.0,12.0,12.0,10.0,9.0,18.0,9.0,10.0,9.0,17.0,10.0,12.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,12.0,12.0,16.0
bromfiets,11.0,9.0,20.0,20.0,10.0,11.0,12.0,10.0,10.0,16.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,16.0,8.0,10.0,10.0,10.0,10.0,12.0,10.0,9.0,14.0,11.0,9.0
brommer,10.0,9.0,20.0,20.0,11.0,11.0,11.0,9.0,11.0,14.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,17.0,10.0,9.0,12.0,11.0,10.0,10.0,13.0,10.0,11.0,11.0,9.0
bus,14.0,12.0,10.0,11.0,20.0,12.0,13.0,9.0,9.0,10.0,13.0,9.0,9.0,14.0,10.0,11.0,9.0,14.0,10.0,9.0,9.0,11.0,10.0,12.0,13.0,15.0,16.0,11.0,12.0,9.0
camion,15.0,12.0,11.0,11.0,12.0,20.0,18.0,15.0,10.0,10.0,11.0,10.0,9.0,18.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,12.0,11.0,13.0,12.0,10.0,10.0,9.0,20.0,10.0
camionette,13.0,10.0,12.0,11.0,13.0,18.0,20.0,13.0,11.0,10.0,12.0,9.0,8.0,14.0,11.0,13.0,14.0,10.0,10.0,10.0,9.0,10.0,10.0,14.0,12.0,11.0,11.0,11.0,17.0,10.0
caravan,13.0,9.0,10.0,9.0,9.0,15.0,13.0,20.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,11.0,12.0,11.0,11.0,11.0,9.0,11.0,9.0
duikboot,11.0,18.0,10.0,11.0,9.0,10.0,11.0,11.0,20.0,12.0,10.0,11.0,14.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,12.0
fiets,11.0,9.0,16.0,14.0,10.0,10.0,10.0,9.0,12.0,20.0,13.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,15.0,8.0,13.0,9.0,17.0,10.0,10.0,12.0,10.0,12.0,11.0,12.0
gocart,14.0,10.0,10.0,9.0,13.0,11.0,12.0,11.0,10.0,13.0,20.0,10.0,12.0,11.0,12.0,10.0,9.0,10.0,11.0,14.0,14.0,13.0,14.0,12.0,9.0,11.0,9.0,10.0,10.0,8.0
helikopter,11.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,20.0,13.0,9.0,9.0,10.0,12.0,13.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,18.0,9.0,13.0
hovercraft,12.0,17.0,9.0,9.0,9.0,9.0,8.0,9.0,14.0,9.0,12.0,13.0,20.0,10.0,9.0,10.0,9.0,9.0,11.0,15.0,17.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,13.0,9.0
jeep,18.0,10.0,10.0,9.0,14.0,18.0,14.0,10.0,10.0,9.0,11.0,9.0,10.0,20.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,12.0,14.0,12.0,10.0,9.0,9.0,13.0,9.0
