exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,5.0,8.0,9.0,7.0,10.0,8.0,8.0,3.0,7.0,11.0,7.0,9.0,19.0,9.0,10.0,7.0,5.0,12.0,2.0,8.0,3.0,5.0,15.0,9.0,5.0,7.0,3.0,8.0,5.0
boot,5.0,20.0,3.0,7.0,10.0,3.0,6.0,9.0,11.0,5.0,8.0,2.0,13.0,10.0,3.0,5.0,8.0,3.0,4.0,3.0,3.0,4.0,8.0,5.0,9.0,5.0,11.0,3.0,5.0,10.0
bromfiets,8.0,3.0,20.0,18.0,9.0,7.0,9.0,8.0,3.0,16.0,12.0,4.0,4.0,9.0,4.0,3.0,8.0,5.0,18.0,2.0,10.0,4.0,9.0,5.0,5.0,9.0,6.0,5.0,5.0,5.0
brommer,9.0,7.0,18.0,20.0,5.0,9.0,9.0,6.0,1.0,15.0,9.0,4.0,6.0,5.0,7.0,9.0,2.0,2.0,18.0,3.0,6.0,7.0,9.0,9.0,12.0,8.0,7.0,4.0,3.0,5.0
bus,7.0,10.0,9.0,5.0,20.0,10.0,12.0,10.0,3.0,7.0,8.0,5.0,4.0,6.0,8.0,11.0,8.0,9.0,6.0,8.0,5.0,4.0,7.0,10.0,8.0,12.0,9.0,8.0,12.0,7.0
camion,10.0,3.0,7.0,9.0,10.0,20.0,12.0,6.0,4.0,4.0,5.0,9.0,6.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,6.0,5.0,3.0,9.0,7.0,10.0,8.0,20.0,5.0
camionette,8.0,6.0,9.0,9.0,12.0,12.0,20.0,9.0,3.0,9.0,10.0,4.0,3.0,10.0,10.0,9.0,5.0,4.0,7.0,3.0,6.0,3.0,4.0,8.0,9.0,8.0,8.0,3.0,10.0,8.0
caravan,8.0,9.0,8.0,6.0,10.0,6.0,9.0,20.0,6.0,5.0,2.0,4.0,6.0,7.0,10.0,5.0,2.0,4.0,3.0,8.0,8.0,6.0,6.0,8.0,8.0,3.0,8.0,4.0,8.0,5.0
duikboot,3.0,11.0,3.0,1.0,3.0,4.0,3.0,6.0,20.0,8.0,3.0,7.0,8.0,5.0,8.0,5.0,5.0,8.0,2.0,9.0,2.0,4.0,5.0,3.0,7.0,3.0,9.0,2.0,7.0,9.0
fiets,7.0,5.0,16.0,15.0,7.0,4.0,9.0,5.0,8.0,20.0,5.0,5.0,5.0,8.0,8.0,10.0,3.0,3.0,10.0,3.0,8.0,7.0,9.0,8.0,3.0,5.0,9.0,4.0,5.0,3.0
gocart,11.0,8.0,12.0,9.0,8.0,5.0,10.0,2.0,3.0,5.0,20.0,5.0,4.0,9.0,5.0,7.0,7.0,3.0,6.0,2.0,5.0,10.0,7.0,8.0,8.0,5.0,3.0,4.0,3.0,9.0
helikopter,7.0,2.0,4.0,4.0,5.0,9.0,4.0,4.0,7.0,5.0,5.0,20.0,5.0,9.0,8.0,6.0,10.0,9.0,7.0,7.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,14.0,5.0,7.0
hovercraft,9.0,13.0,4.0,6.0,4.0,6.0,3.0,6.0,8.0,5.0,4.0,5.0,20.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,3.0,8.0,6.0,8.0,7.0,8.0,2.0,6.0
jeep,19.0,10.0,9.0,5.0,6.0,5.0,10.0,7.0,5.0,8.0,9.0,9.0,5.0,20.0,3.0,9.0,8.0,3.0,10.0,8.0,8.0,3.0,3.0,14.0,6.0,5.0,7.0,3.0,10.0,6.0
kar,9.0,3.0,4.0,7.0,8.0,4.0,10.0,10.0,8.0,8.0,5.0,8.0,5.0,3.0,20.0,12.0,4.0,5.0,5.0,4.0,4.0,11.0,9.0,9.0,5.0,5.0,8.0,4.0,8.0,2.0
koets,10.0,5.0,3.0,9.0,11.0,5.0,9.0,5.0,5.0,10.0,7.0,6.0,3.0,9.0,12.0,20.0,8.0,4.0,3.0,2.0,8.0,11.0,6.0,10.0,3.0,7.0,6.0,8.0,3.0,5.0
luchtballon,7.0,8.0,8.0,2.0,8.0,5.0,5.0,2.0,5.0,3.0,7.0,10.0,4.0,8.0,4.0,8.0,20.0,5.0,9.0,6.0,4.0,4.0,7.0,3.0,3.0,6.0,4.0,12.0,4.0,15.0
