exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
auto,20.0,2.0,4.0,2.0,9.0,16.0,16.0,15.0,1.0,2.0,3.0,2.0,1.0,16.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,20.0,2.0,5.0,2.0,2.0,16.0,1.0
boot,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
bromfiets,4.0,1.0,20.0,20.0,1.0,1.0,2.0,1.0,1.0,13.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
brommer,2.0,1.0,20.0,20.0,1.0,1.0,2.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
bus,9.0,1.0,1.0,1.0,20.0,11.0,13.0,11.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0,1.0,11.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,13.0,10.0,2.0,14.0,3.0
camion,16.0,1.0,1.0,1.0,11.0,20.0,14.0,11.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,5.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,13.0,5.0,7.0,3.0,1.0,15.0,1.0
camionette,16.0,1.0,2.0,2.0,13.0,14.0,20.0,11.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,9.0,8.0,3.0,4.0,1.0,14.0,1.0
caravan,15.0,1.0,1.0,1.0,11.0,11.0,11.0,20.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,12.0,3.0,1.0,1.0,6.0,1.0,4.0,1.0,4.0,4.0,1.0,13.0,1.0
duikboot,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0
fiets,2.0,1.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
