exemplar,axe,bazooka,bow,canon,club,dagger,double-barreled shotgun,grenade,knuckle dusters,machine gun,pistol,rifle,rope,shield,slingshot,spear,stick,sword,tank,whip
axe,1.0,0.20208333333333334,0.33125,0.20208333333333334,0.4291666666666667,0.5375,0.24130434782608695,0.2,0.25416666666666665,0.25416666666666665,0.23333333333333334,0.225,0.23541666666666666,0.28541666666666665,0.25,0.4625,0.4333333333333333,0.6239130434782608,0.22916666666666666,0.2652173913043478
bazooka,0.20208333333333334,1.0,0.22291666666666665,0.675,0.19791666666666669,0.19791666666666669,0.49347826086956526,0.4770833333333333,0.17708333333333331,0.5666666666666667,0.4875,0.60625,0.12708333333333333,0.15,0.35208333333333336,0.19583333333333333,0.15208333333333332,0.28043478260869564,0.56875,0.1565217391304348
bow,0.33125,0.22291666666666665,1.0,0.3,0.24375,0.3125,0.2347826086956522,0.21666666666666665,0.1875,0.18333333333333332,0.30833333333333335,0.27291666666666664,0.4395833333333333,0.3416666666666667,0.58125,0.4645833333333333,0.38333333333333336,0.31956521739130433,0.17708333333333331,0.3108695652173913
canon,0.20208333333333334,0.675,0.3,1.0,0.19166666666666668,0.17708333333333331,0.3847826086956522,0.5104166666666667,0.19583333333333333,0.43125,0.45625,0.50625,0.14375,0.19583333333333333,0.37083333333333335,0.20416666666666666,0.15833333333333333,0.22391304347826088,0.5979166666666667,0.14130434782608697
club,0.4291666666666667,0.19791666666666669,0.24375,0.19166666666666668,1.0,0.2791666666666667,0.25869565217391305,0.225,0.35625,0.20416666666666666,0.24583333333333335,0.2520833333333333,0.23333333333333334,0.35208333333333336,0.32708333333333334,0.4708333333333333,0.6791666666666667,0.4326086956521739,0.1625,0.32608695652173914
dagger,0.5375,0.19791666666666669,0.3125,0.17708333333333331,0.2791666666666667,1.0,0.23695652173913043,0.19791666666666669,0.29166666666666663,0.23125,0.30833333333333335,0.30208333333333337,0.23541666666666666,0.33958333333333335,0.27708333333333335,0.5208333333333333,0.4083333333333333,0.6543478260869565,0.16875,0.25652173913043474
double-barreled shotgun,0.24130434782608695,0.49347826086956526,0.2347826086956522,0.3847826086956522,0.25869565217391305,0.23695652173913043,1.0,0.33695652173913043,0.2,0.6282608695652174,0.7326086956521739,0.8217391304347826,0.15217391304347827,0.18043478260869567,0.3130434782608696,0.24130434782608695,0.22391304347826088,0.24130434782608695,0.41956521739130437,0.13043478260869565
grenade,0.2,0.4770833333333333,0.21666666666666665,0.5104166666666667,0.225,0.19791666666666669,0.33695652173913043,1.0,0.22083333333333335,0.41875,0.35625,0.38125,0.11041666666666668,0.18958333333333333,0.30208333333333337,0.24375,0.1875,0.2673913043478261,0.5333333333333333,0.16304347826086957
knuckle dusters,0.25416666666666665,0.17708333333333331,0.1875,0.19583333333333333,0.35625,0.29166666666666663,0.2,0.22083333333333335,1.0,0.21875,0.20208333333333334,0.21666666666666665,0.1875,0.25625,0.21458333333333335,0.24166666666666664,0.22708333333333336,0.25869565217391305,0.175,0.24347826086956523
machine gun,0.25416666666666665,0.5666666666666667,0.18333333333333332,0.43125,0.20416666666666666,0.23125,0.6282608695652174,0.41875,0.21875,1.0,0.675,0.6791666666666667,0.13333333333333333,0.20625,0.25625,0.3104166666666667,0.2125,0.35,0.4770833333333333,0.1934782608695652
pistol,0.23333333333333334,0.4875,0.30833333333333335,0.45625,0.24583333333333335,0.30833333333333335,0.7326086956521739,0.35625,0.20208333333333334,0.675,1.0,0.85625,0.13541666666666669,0.18958333333333333,0.2875,0.27083333333333337,0.2,0.29347826086956524,0.3458333333333333,0.23695652173913043
rifle,0.225,0.60625,0.27291666666666664,0.50625,0.2520833333333333,0.30208333333333337,0.8217391304347826,0.38125,0.21666666666666665,0.6791666666666667,0.85625,1.0,0.15625,0.17708333333333331,0.34375,0.33541666666666664,0.25,0.3239130434782609,0.35,0.2108695652173913
rope,0.23541666666666666,0.12708333333333333,0.4395833333333333,0.14375,0.23333333333333334,0.23541666666666666,0.15217391304347827,0.11041666666666668,0.1875,0.13333333333333333,0.13541666666666669,0.15625,1.0,0.18333333333333332,0.3375,0.21041666666666664,0.32916666666666666,0.1934782608695652,0.15833333333333333,0.6521739130434783
shield,0.28541666666666665,0.15,0.3416666666666667,0.19583333333333333,0.35208333333333336,0.33958333333333335,0.18043478260869567,0.18958333333333333,0.25625,0.20625,0.18958333333333333,0.17708333333333331,0.18333333333333332,1.0,0.20625,0.30833333333333335,0.26041666666666663,0.45434782608695656,0.2791666666666667,0.18695652173913044
slingshot,0.25,0.35208333333333336,0.58125,0.37083333333333335,0.32708333333333334,0.27708333333333335,0.3130434782608696,0.30208333333333337,0.21458333333333335,0.25625,0.2875,0.34375,0.3375,0.20625,1.0,0.32291666666666663,0.4395833333333333,0.26956521739130435,0.26666666666666666,0.3108695652173913
spear,0.4625,0.19583333333333333,0.4645833333333333,0.20416666666666666,0.4708333333333333,0.5208333333333333,0.24130434782608695,0.24375,0.24166666666666664,0.3104166666666667,0.27083333333333337,0.33541666666666664,0.21041666666666664,0.30833333333333335,0.32291666666666663,1.0,0.6541666666666667,0.4521739130434782,0.19583333333333333,0.2608695652173913
stick,0.4333333333333333,0.15208333333333332,0.38333333333333336,0.15833333333333333,0.6791666666666667,0.4083333333333333,0.22391304347826088,0.1875,0.22708333333333336,0.2125,0.2,0.25,0.32916666666666666,0.26041666666666663,0.4395833333333333,0.6541666666666667,1.0,0.4913043478260869,0.14583333333333331,0.4108695652173913
sword,0.6239130434782608,0.28043478260869564,0.31956521739130433,0.22391304347826088,0.4326086956521739,0.6543478260869565,0.24130434782608695,0.2673913043478261,0.25869565217391305,0.35,0.29347826086956524,0.3239130434782609,0.1934782608695652,0.45434782608695656,0.26956521739130435,0.4521739130434782,0.4913043478260869,1.0,0.2152173913043478,0.28043478260869564
tank,0.22916666666666666,0.56875,0.17708333333333331,0.5979166666666667,0.1625,0.16875,0.41956521739130437,0.5333333333333333,0.175,0.4770833333333333,0.3458333333333333,0.35,0.15833333333333333,0.2791666666666667,0.26666666666666666,0.19583333333333333,0.14583333333333331,0.2152173913043478,1.0,0.1565217391304348
whip,0.2652173913043478,0.1565217391304348,0.3108695652173913,0.14130434782608697,0.32608695652173914,0.25652173913043474,0.13043478260869565,0.16304347826086957,0.24347826086956523,0.1934782608695652,0.23695652173913043,0.2108695652173913,0.6521739130434783,0.18695652173913044,0.3108695652173913,0.2608695652173913,0.4108695652173913,0.28043478260869564,0.1565217391304348,1.0
