exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,10.0,10.0,8.0,11.0,12.0,15.0,8.0,9.0,8.0,7.0,12.0,6.0,9.0,9.0,8.0,6.0,6.0,8.0,8.0,10.0,9.0,10.0,13.0,7.0,12.0,7.0,12.0,7.0,12.0
canary,10.0,20.0,10.0,7.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,13.0,8.0,9.0,12.0,11.0,7.0,9.0,8.0,9.0,12.0,9.0,7.0,10.0,7.0,9.0,8.0,8.0,8.0,11.0
chickadee,10.0,10.0,20.0,8.0,9.0,11.0,8.0,8.0,7.0,11.0,6.0,9.0,8.0,11.0,11.0,9.0,9.0,7.0,10.0,9.0,10.0,10.0,9.0,12.0,9.0,11.0,8.0,9.0,8.0,11.0
chicken,8.0,7.0,8.0,20.0,10.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,10.0,7.0,9.0,9.0,6.0,7.0,5.0,9.0,8.0,18.0,9.0,11.0,7.0,10.0,10.0,9.0,9.0,9.0
crow,11.0,9.0,9.0,10.0,20.0,13.0,7.0,8.0,9.0,11.0,9.0,12.0,7.0,8.0,9.0,8.0,8.0,7.0,6.0,11.0,9.0,8.0,10.0,8.0,7.0,10.0,8.0,10.0,10.0,12.0
cuckoo,12.0,9.0,11.0,8.0,13.0,20.0,9.0,9.0,10.0,11.0,9.0,17.0,6.0,14.0,9.0,10.0,9.0,8.0,7.0,9.0,8.0,6.0,10.0,9.0,9.0,15.0,8.0,6.0,9.0,12.0
dove,15.0,10.0,8.0,8.0,7.0,9.0,20.0,11.0,8.0,9.0,7.0,9.0,7.0,8.0,8.0,8.0,10.0,6.0,7.0,8.0,11.0,8.0,10.0,10.0,10.0,8.0,10.0,7.0,7.0,9.0
duck,8.0,8.0,8.0,7.0,8.0,9.0,11.0,20.0,7.0,7.0,8.0,8.0,7.0,10.0,8.0,11.0,8.0,12.0,9.0,7.0,7.0,9.0,10.0,9.0,7.0,6.0,11.0,9.0,8.0,8.0
eagle,9.0,8.0,7.0,5.0,9.0,10.0,8.0,7.0,20.0,12.0,8.0,10.0,10.0,7.0,7.0,6.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,6.0,7.0,13.0,8.0
falcon,8.0,8.0,11.0,6.0,11.0,11.0,9.0,7.0,12.0,20.0,10.0,8.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,6.0,7.0,9.0,8.0,7.0,10.0,9.0,8.0,9.0,10.0,10.0
heron,7.0,8.0,6.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,20.0,9.0,9.0,7.0,9.0,10.0,9.0,11.0,7.0,10.0,5.0,8.0,7.0,10.0,15.0,14.0,10.0,6.0,9.0,8.0
magpie,12.0,13.0,9.0,9.0,12.0,17.0,9.0,8.0,10.0,8.0,9.0,20.0,7.0,7.0,8.0,8.0,7.0,10.0,7.0,12.0,9.0,9.0,12.0,10.0,8.0,12.0,6.0,7.0,7.0,12.0
ostrich,6.0,8.0,8.0,10.0,7.0,6.0,7.0,7.0,10.0,8.0,9.0,7.0,20.0,7.0,8.0,7.0,7.0,7.0,5.0,6.0,8.0,7.0,10.0,7.0,7.0,6.0,10.0,11.0,10.0,7.0
owl,9.0,9.0,11.0,7.0,8.0,14.0,8.0,10.0,7.0,8.0,7.0,7.0,7.0,20.0,10.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,7.0,8.0,10.0,8.0,9.0,7.0,8.0
parakeet,9.0,12.0,11.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,8.0,10.0,20.0,7.0,9.0,10.0,7.0,8.0,11.0,8.0,8.0,10.0,9.0,10.0,10.0,7.0,6.0,10.0
parrot,8.0,11.0,9.0,9.0,8.0,10.0,8.0,11.0,6.0,7.0,10.0,8.0,7.0,8.0,7.0,20.0,7.0,9.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,13.0
peacock,6.0,7.0,9.0,6.0,8.0,9.0,10.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,9.0,7.0,20.0,10.0,5.0,11.0,7.0,7.0,10.0,7.0,9.0,9.0,8.0,12.0,8.0,6.0
pelican,6.0,9.0,7.0,7.0,7.0,8.0,6.0,12.0,7.0,8.0,11.0,10.0,7.0,7.0,10.0,9.0,10.0,20.0,6.0,8.0,8.0,5.0,11.0,10.0,8.0,8.0,9.0,11.0,6.0,8.0
penguin,8.0,8.0,10.0,5.0,6.0,7.0,7.0,9.0,8.0,8.0,7.0,7.0,5.0,9.0,7.0,6.0,5.0,6.0,20.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,8.0,5.0,6.0
pheasant,8.0,9.0,9.0,9.0,11.0,9.0,8.0,7.0,8.0,6.0,10.0,12.0,6.0,7.0,8.0,8.0,11.0,8.0,8.0,20.0,7.0,6.0,8.0,8.0,10.0,8.0,8.0,13.0,7.0,9.0
robin,10.0,12.0,10.0,8.0,9.0,8.0,11.0,7.0,8.0,7.0,5.0,9.0,8.0,7.0,11.0,7.0,7.0,8.0,6.0,7.0,20.0,10.0,7.0,11.0,9.0,10.0,7.0,7.0,6.0,9.0
rooster,9.0,9.0,10.0,18.0,8.0,6.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,7.0,7.0,5.0,8.0,6.0,10.0,20.0,10.0,7.0,6.0,9.0,6.0,6.0,10.0,10.0
seagull,10.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,12.0,10.0,8.0,8.0,8.0,10.0,11.0,8.0,8.0,7.0,10.0,20.0,8.0,11.0,14.0,10.0,7.0,8.0,8.0
