exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,7.0,12.0,4.0,13.0,7.0,14.0,7.0,5.0,5.0,5.0,13.0,2.0,6.0,10.0,4.0,6.0,3.0,2.0,6.0,11.0,4.0,12.0,12.0,6.0,13.0,5.0,7.0,8.0,4.0
canary,7.0,20.0,7.0,6.0,4.0,10.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,18.0,15.0,5.0,7.0,3.0,4.0,11.0,8.0,4.0,10.0,6.0,4.0,3.0,6.0,5.0,7.0
chickadee,12.0,7.0,20.0,6.0,5.0,6.0,6.0,4.0,4.0,6.0,3.0,12.0,5.0,3.0,10.0,3.0,4.0,3.0,3.0,5.0,14.0,6.0,11.0,15.0,3.0,6.0,4.0,3.0,4.0,5.0
chicken,4.0,6.0,6.0,20.0,11.0,8.0,7.0,3.0,3.0,7.0,4.0,6.0,10.0,7.0,3.0,9.0,7.0,7.0,3.0,5.0,8.0,16.0,5.0,6.0,4.0,4.0,10.0,15.0,6.0,6.0
crow,13.0,4.0,5.0,11.0,20.0,3.0,11.0,6.0,7.0,13.0,6.0,13.0,4.0,4.0,6.0,12.0,4.0,6.0,4.0,3.0,5.0,6.0,8.0,4.0,11.0,11.0,8.0,5.0,8.0,8.0
cuckoo,7.0,10.0,6.0,8.0,3.0,20.0,10.0,3.0,3.0,4.0,6.0,6.0,6.0,14.0,10.0,10.0,8.0,11.0,3.0,13.0,4.0,12.0,11.0,7.0,11.0,10.0,7.0,7.0,3.0,5.0
dove,14.0,4.0,6.0,7.0,11.0,10.0,20.0,6.0,3.0,6.0,8.0,10.0,2.0,4.0,9.0,5.0,11.0,3.0,2.0,4.0,7.0,3.0,10.0,6.0,2.0,13.0,5.0,6.0,6.0,6.0
duck,7.0,5.0,4.0,3.0,6.0,3.0,6.0,20.0,3.0,3.0,6.0,3.0,3.0,3.0,7.0,3.0,4.0,3.0,6.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,13.0,5.0,3.0,2.0
eagle,5.0,3.0,4.0,3.0,7.0,3.0,3.0,3.0,20.0,13.0,7.0,4.0,10.0,6.0,3.0,7.0,2.0,5.0,3.0,5.0,3.0,6.0,3.0,3.0,5.0,6.0,4.0,4.0,13.0,6.0
falcon,5.0,4.0,6.0,7.0,13.0,4.0,6.0,3.0,13.0,20.0,9.0,8.0,3.0,7.0,3.0,7.0,6.0,6.0,2.0,7.0,3.0,5.0,3.0,9.0,3.0,7.0,5.0,3.0,16.0,6.0
heron,5.0,3.0,3.0,4.0,6.0,6.0,8.0,6.0,7.0,9.0,20.0,7.0,6.0,8.0,6.0,6.0,7.0,10.0,2.0,14.0,4.0,7.0,4.0,4.0,14.0,10.0,4.0,5.0,11.0,6.0
magpie,13.0,5.0,12.0,6.0,13.0,6.0,10.0,3.0,4.0,8.0,7.0,20.0,3.0,5.0,6.0,14.0,6.0,7.0,5.0,3.0,5.0,3.0,13.0,4.0,6.0,11.0,2.0,6.0,9.0,8.0
ostrich,2.0,3.0,5.0,10.0,4.0,6.0,2.0,3.0,10.0,3.0,6.0,3.0,20.0,4.0,2.0,6.0,15.0,7.0,2.0,6.0,2.0,4.0,5.0,10.0,10.0,7.0,7.0,10.0,4.0,4.0
owl,6.0,4.0,3.0,7.0,4.0,14.0,4.0,3.0,6.0,7.0,8.0,5.0,4.0,20.0,6.0,5.0,6.0,2.0,3.0,6.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,6.0
parakeet,10.0,18.0,10.0,3.0,6.0,10.0,9.0,7.0,3.0,3.0,6.0,6.0,2.0,6.0,20.0,12.0,2.0,5.0,3.0,7.0,16.0,5.0,7.0,6.0,6.0,3.0,3.0,3.0,3.0,9.0
parrot,4.0,15.0,3.0,9.0,12.0,10.0,5.0,3.0,7.0,7.0,6.0,14.0,6.0,5.0,12.0,20.0,7.0,11.0,3.0,8.0,3.0,7.0,3.0,4.0,7.0,6.0,4.0,7.0,6.0,9.0
peacock,6.0,5.0,4.0,7.0,4.0,8.0,11.0,4.0,2.0,6.0,7.0,6.0,15.0,6.0,2.0,7.0,20.0,11.0,4.0,15.0,4.0,8.0,3.0,3.0,11.0,6.0,6.0,14.0,5.0,6.0
pelican,3.0,7.0,3.0,7.0,6.0,11.0,3.0,3.0,5.0,6.0,10.0,7.0,7.0,2.0,5.0,11.0,11.0,20.0,7.0,12.0,5.0,6.0,5.0,3.0,15.0,3.0,10.0,7.0,5.0,7.0
penguin,2.0,3.0,3.0,3.0,4.0,3.0,2.0,6.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,7.0,20.0,3.0,3.0,2.0,4.0,4.0,3.0,6.0,7.0,6.0,2.0,6.0
