exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,12.0,15.0,11.0,15.0,7.0,15.0,9.0,8.0,11.0,5.0,18.0,6.0,6.0,13.0,9.0,14.0,9.0,1.0,14.0,18.0,4.0,12.0,18.0,6.0,13.0,8.0,10.0,12.0,13.0
canary,12.0,20.0,16.0,10.0,10.0,5.0,14.0,7.0,3.0,3.0,10.0,12.0,9.0,10.0,20.0,9.0,8.0,5.0,1.0,6.0,16.0,12.0,9.0,18.0,4.0,14.0,3.0,7.0,3.0,13.0
chickadee,15.0,16.0,20.0,8.0,6.0,11.0,12.0,8.0,5.0,8.0,6.0,15.0,7.0,7.0,14.0,8.0,11.0,6.0,2.0,9.0,7.0,7.0,14.0,18.0,3.0,17.0,10.0,9.0,7.0,11.0
chicken,11.0,10.0,8.0,20.0,9.0,10.0,17.0,13.0,6.0,10.0,12.0,8.0,11.0,9.0,7.0,10.0,6.0,9.0,2.0,15.0,9.0,19.0,13.0,9.0,9.0,10.0,9.0,17.0,3.0,9.0
crow,15.0,10.0,6.0,9.0,20.0,13.0,12.0,10.0,12.0,16.0,15.0,19.0,12.0,6.0,12.0,14.0,6.0,7.0,1.0,12.0,9.0,12.0,9.0,9.0,10.0,10.0,6.0,11.0,15.0,15.0
cuckoo,7.0,5.0,11.0,10.0,13.0,20.0,13.0,14.0,10.0,12.0,12.0,9.0,9.0,17.0,13.0,12.0,11.0,15.0,2.0,12.0,11.0,9.0,11.0,10.0,12.0,13.0,13.0,14.0,10.0,11.0
dove,15.0,14.0,12.0,17.0,12.0,13.0,20.0,14.0,4.0,15.0,9.0,13.0,7.0,8.0,14.0,8.0,14.0,9.0,2.0,18.0,13.0,12.0,12.0,13.0,8.0,12.0,14.0,16.0,7.0,16.0
duck,9.0,7.0,8.0,13.0,10.0,14.0,14.0,20.0,6.0,8.0,7.0,12.0,10.0,13.0,6.0,4.0,8.0,7.0,2.0,18.0,5.0,5.0,7.0,4.0,9.0,8.0,18.0,15.0,6.0,7.0
eagle,8.0,3.0,5.0,6.0,12.0,10.0,4.0,6.0,20.0,16.0,15.0,9.0,14.0,9.0,5.0,8.0,12.0,5.0,5.0,9.0,3.0,3.0,10.0,3.0,13.0,10.0,3.0,10.0,18.0,11.0
falcon,11.0,3.0,8.0,10.0,16.0,12.0,15.0,8.0,16.0,20.0,13.0,14.0,13.0,10.0,10.0,9.0,11.0,10.0,2.0,11.0,3.0,13.0,13.0,16.0,14.0,16.0,11.0,10.0,17.0,12.0
heron,5.0,10.0,6.0,12.0,15.0,12.0,9.0,7.0,15.0,13.0,20.0,13.0,14.0,12.0,13.0,14.0,12.0,13.0,2.0,12.0,9.0,9.0,10.0,7.0,18.0,10.0,12.0,13.0,17.0,10.0
magpie,18.0,12.0,15.0,8.0,19.0,9.0,13.0,12.0,9.0,14.0,13.0,20.0,7.0,11.0,12.0,7.0,10.0,7.0,1.0,8.0,9.0,9.0,13.0,12.0,2.0,12.0,1.0,7.0,9.0,13.0
ostrich,6.0,9.0,7.0,11.0,12.0,9.0,7.0,10.0,14.0,13.0,14.0,7.0,20.0,15.0,3.0,10.0,13.0,12.0,2.0,12.0,6.0,7.0,7.0,3.0,13.0,7.0,12.0,13.0,12.0,7.0
owl,6.0,10.0,7.0,9.0,6.0,17.0,8.0,13.0,9.0,10.0,12.0,11.0,15.0,20.0,9.0,12.0,12.0,8.0,1.0,9.0,6.0,12.0,8.0,9.0,15.0,12.0,9.0,10.0,8.0,10.0
parakeet,13.0,20.0,14.0,7.0,12.0,13.0,14.0,6.0,5.0,10.0,13.0,12.0,3.0,9.0,20.0,13.0,14.0,7.0,2.0,10.0,16.0,12.0,12.0,18.0,3.0,12.0,3.0,6.0,5.0,12.0
parrot,9.0,9.0,8.0,10.0,14.0,12.0,8.0,4.0,8.0,9.0,14.0,7.0,10.0,12.0,13.0,20.0,17.0,13.0,2.0,10.0,11.0,13.0,10.0,3.0,9.0,9.0,9.0,9.0,8.0,6.0
peacock,14.0,8.0,11.0,6.0,6.0,11.0,14.0,8.0,12.0,11.0,12.0,10.0,13.0,12.0,14.0,17.0,20.0,13.0,2.0,13.0,8.0,15.0,12.0,7.0,14.0,12.0,12.0,16.0,9.0,9.0
pelican,9.0,5.0,6.0,9.0,7.0,15.0,9.0,7.0,5.0,10.0,13.0,7.0,12.0,8.0,7.0,13.0,13.0,20.0,3.0,13.0,11.0,14.0,15.0,3.0,15.0,7.0,12.0,10.0,9.0,13.0
penguin,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,20.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,6.0,2.0,2.0
pheasant,14.0,6.0,9.0,15.0,12.0,12.0,18.0,18.0,9.0,11.0,12.0,8.0,12.0,9.0,10.0,10.0,13.0,13.0,2.0,20.0,6.0,10.0,11.0,9.0,16.0,16.0,6.0,19.0,10.0,10.0
robin,18.0,16.0,7.0,9.0,9.0,11.0,13.0,5.0,3.0,3.0,9.0,9.0,6.0,6.0,16.0,11.0,8.0,11.0,3.0,6.0,20.0,10.0,12.0,19.0,4.0,17.0,9.0,6.0,3.0,17.0
rooster,4.0,12.0,7.0,19.0,12.0,9.0,12.0,5.0,3.0,13.0,9.0,9.0,7.0,12.0,12.0,13.0,15.0,14.0,1.0,10.0,10.0,20.0,10.0,8.0,4.0,6.0,9.0,13.0,8.0,10.0
seagull,12.0,9.0,14.0,13.0,9.0,11.0,12.0,7.0,10.0,13.0,10.0,13.0,7.0,8.0,12.0,10.0,12.0,15.0,2.0,11.0,12.0,10.0,20.0,14.0,3.0,18.0,9.0,13.0,9.0,13.0
sparrow,18.0,18.0,18.0,9.0,9.0,10.0,13.0,4.0,3.0,16.0,7.0,12.0,3.0,9.0,18.0,3.0,7.0,3.0,1.0,9.0,19.0,8.0,14.0,20.0,6.0,16.0,7.0,6.0,4.0,17.0
stork,6.0,4.0,3.0,9.0,10.0,12.0,8.0,9.0,13.0,14.0,18.0,2.0,13.0,15.0,3.0,9.0,14.0,15.0,2.0,16.0,4.0,4.0,3.0,6.0,20.0,8.0,10.0,12.0,13.0,9.0
swallow,13.0,14.0,17.0,10.0,10.0,13.0,12.0,8.0,10.0,16.0,10.0,12.0,7.0,12.0,12.0,9.0,12.0,7.0,2.0,16.0,17.0,6.0,18.0,16.0,8.0,20.0,9.0,12.0,8.0,13.0
swan,8.0,3.0,10.0,9.0,6.0,13.0,14.0,18.0,3.0,11.0,12.0,1.0,12.0,9.0,3.0,9.0,12.0,12.0,4.0,6.0,9.0,9.0,9.0,7.0,10.0,9.0,20.0,7.0,6.0,5.0
turkey,10.0,7.0,9.0,17.0,11.0,14.0,16.0,15.0,10.0,10.0,13.0,7.0,13.0,10.0,6.0,9.0,16.0,10.0,6.0,19.0,6.0,13.0,13.0,6.0,12.0,12.0,7.0,20.0,10.0,10.0
vulture,12.0,3.0,7.0,3.0,15.0,10.0,7.0,6.0,18.0,17.0,17.0,9.0,12.0,8.0,5.0,8.0,9.0,9.0,2.0,10.0,3.0,8.0,9.0,4.0,13.0,8.0,6.0,10.0,20.0,11.0
woodpecker,13.0,13.0,11.0,9.0,15.0,11.0,16.0,7.0,11.0,12.0,10.0,13.0,7.0,10.0,12.0,6.0,9.0,13.0,2.0,10.0,17.0,10.0,13.0,17.0,9.0,13.0,5.0,10.0,11.0,20.0
