exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,9.0,7.0,14.0,8.0,14.0,13.0,10.0,4.0,14.0,4.0,17.0,4.0,15.0,11.0,6.0,4.0,4.0,11.0,8.0,14.0,12.0,15.0,16.0,8.0,15.0,7.0,5.0,7.0,15.0
canary,9.0,20.0,16.0,6.0,4.0,3.0,7.0,6.0,1.0,10.0,13.0,11.0,4.0,4.0,19.0,6.0,4.0,3.0,1.0,11.0,18.0,3.0,15.0,18.0,4.0,16.0,4.0,3.0,4.0,5.0
chickadee,7.0,16.0,20.0,12.0,13.0,12.0,11.0,12.0,7.0,8.0,6.0,16.0,6.0,7.0,12.0,4.0,4.0,4.0,2.0,11.0,18.0,7.0,12.0,18.0,1.0,15.0,5.0,8.0,6.0,12.0
chicken,14.0,6.0,12.0,20.0,10.0,16.0,10.0,15.0,3.0,4.0,6.0,14.0,4.0,9.0,12.0,14.0,17.0,16.0,10.0,18.0,10.0,19.0,6.0,12.0,5.0,14.0,14.0,17.0,4.0,5.0
crow,8.0,4.0,13.0,10.0,20.0,11.0,9.0,10.0,16.0,14.0,11.0,16.0,6.0,5.0,4.0,11.0,4.0,9.0,2.0,16.0,4.0,14.0,12.0,9.0,13.0,11.0,5.0,6.0,15.0,7.0
cuckoo,14.0,3.0,12.0,16.0,11.0,20.0,18.0,12.0,5.0,6.0,5.0,15.0,8.0,13.0,3.0,8.0,5.0,11.0,4.0,13.0,11.0,10.0,14.0,12.0,4.0,15.0,14.0,8.0,7.0,11.0
dove,13.0,7.0,11.0,10.0,9.0,18.0,20.0,15.0,7.0,11.0,5.0,18.0,2.0,8.0,14.0,4.0,10.0,13.0,2.0,15.0,14.0,9.0,16.0,12.0,7.0,15.0,4.0,12.0,10.0,14.0
duck,10.0,6.0,12.0,15.0,10.0,12.0,15.0,20.0,8.0,6.0,6.0,4.0,6.0,4.0,4.0,8.0,13.0,13.0,6.0,15.0,13.0,16.0,5.0,11.0,11.0,12.0,16.0,15.0,5.0,4.0
eagle,4.0,1.0,7.0,3.0,16.0,5.0,7.0,8.0,20.0,16.0,10.0,5.0,7.0,6.0,4.0,13.0,4.0,10.0,1.0,5.0,2.0,7.0,10.0,4.0,17.0,4.0,5.0,7.0,16.0,4.0
falcon,14.0,10.0,8.0,4.0,14.0,6.0,11.0,6.0,16.0,20.0,11.0,14.0,3.0,6.0,5.0,8.0,6.0,6.0,2.0,13.0,8.0,5.0,6.0,12.0,3.0,16.0,3.0,6.0,14.0,14.0
