exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,17.0,17.0,18.0,18.0,19.0,18.0,16.0,14.0,17.0,11.0,18.0,11.0,14.0,16.0,16.0,13.0,14.0,10.0,14.0,17.0,17.0,18.0,18.0,13.0,17.0,15.0,16.0,13.0,16.0
canary,17.0,20.0,19.0,15.0,18.0,18.0,14.0,15.0,12.0,16.0,15.0,18.0,11.0,15.0,16.0,17.0,13.0,14.0,13.0,16.0,17.0,17.0,13.0,18.0,10.0,18.0,12.0,14.0,14.0,13.0
chickadee,17.0,19.0,20.0,15.0,16.0,18.0,18.0,16.0,15.0,16.0,12.0,18.0,12.0,16.0,15.0,16.0,12.0,11.0,12.0,11.0,17.0,13.0,16.0,19.0,14.0,18.0,14.0,14.0,12.0,15.0
chicken,18.0,15.0,15.0,20.0,16.0,16.0,18.0,17.0,12.0,14.0,12.0,17.0,17.0,15.0,11.0,17.0,17.0,14.0,15.0,17.0,12.0,19.0,16.0,16.0,17.0,11.0,18.0,19.0,16.0,16.0
crow,18.0,18.0,16.0,16.0,20.0,18.0,15.0,16.0,17.0,17.0,15.0,18.0,12.0,15.0,16.0,17.0,14.0,14.0,10.0,13.0,13.0,15.0,17.0,17.0,12.0,18.0,13.0,14.0,11.0,16.0
cuckoo,19.0,18.0,18.0,16.0,18.0,20.0,17.0,13.0,17.0,14.0,12.0,16.0,11.0,18.0,16.0,15.0,14.0,15.0,13.0,17.0,13.0,17.0,14.0,16.0,16.0,19.0,14.0,14.0,16.0,14.0
dove,18.0,14.0,18.0,18.0,15.0,17.0,20.0,17.0,15.0,17.0,8.0,15.0,6.0,16.0,13.0,12.0,15.0,15.0,11.0,15.0,16.0,16.0,19.0,17.0,13.0,17.0,12.0,16.0,16.0,17.0
duck,16.0,15.0,16.0,17.0,16.0,13.0,17.0,20.0,14.0,15.0,18.0,13.0,17.0,13.0,16.0,16.0,17.0,18.0,16.0,18.0,12.0,16.0,17.0,12.0,17.0,12.0,19.0,17.0,16.0,16.0
eagle,14.0,12.0,15.0,12.0,17.0,17.0,15.0,14.0,20.0,19.0,14.0,16.0,12.0,17.0,13.0,15.0,15.0,13.0,16.0,16.0,16.0,15.0,17.0,16.0,12.0,13.0,16.0,16.0,18.0,14.0
falcon,17.0,16.0,16.0,14.0,17.0,14.0,17.0,15.0,19.0,20.0,16.0,17.0,9.0,19.0,16.0,16.0,12.0,16.0,8.0,14.0,15.0,16.0,15.0,16.0,17.0,15.0,13.0,15.0,19.0,18.0
heron,11.0,15.0,12.0,12.0,15.0,12.0,8.0,18.0,14.0,16.0,20.0,15.0,18.0,16.0,14.0,14.0,12.0,17.0,8.0,14.0,15.0,14.0,16.0,14.0,19.0,12.0,16.0,11.0,17.0,14.0
magpie,18.0,18.0,18.0,17.0,18.0,16.0,15.0,13.0,16.0,17.0,15.0,20.0,14.0,16.0,17.0,12.0,16.0,11.0,11.0,15.0,16.0,9.0,16.0,16.0,13.0,17.0,13.0,11.0,16.0,18.0
ostrich,11.0,11.0,12.0,17.0,12.0,11.0,6.0,17.0,12.0,9.0,18.0,14.0,20.0,14.0,14.0,11.0,16.0,15.0,5.0,16.0,11.0,9.0,11.0,13.0,15.0,13.0,12.0,17.0,17.0,14.0
owl,14.0,15.0,16.0,15.0,15.0,18.0,16.0,13.0,17.0,19.0,16.0,16.0,14.0,20.0,17.0,16.0,9.0,11.0,15.0,15.0,10.0,15.0,16.0,16.0,15.0,14.0,14.0,14.0,13.0,17.0
parakeet,16.0,16.0,15.0,11.0,16.0,16.0,13.0,16.0,13.0,16.0,14.0,17.0,14.0,17.0,20.0,19.0,17.0,14.0,11.0,16.0,11.0,16.0,17.0,17.0,12.0,16.0,14.0,14.0,13.0,18.0
parrot,16.0,17.0,16.0,17.0,17.0,15.0,12.0,16.0,15.0,16.0,14.0,12.0,11.0,16.0,19.0,20.0,15.0,15.0,12.0,16.0,10.0,14.0,17.0,12.0,14.0,15.0,12.0,16.0,16.0,18.0
peacock,13.0,13.0,12.0,17.0,14.0,14.0,15.0,17.0,15.0,12.0,12.0,16.0,16.0,9.0,17.0,15.0,20.0,12.0,14.0,16.0,12.0,18.0,15.0,14.0,15.0,13.0,16.0,18.0,14.0,14.0
pelican,14.0,14.0,11.0,14.0,14.0,15.0,15.0,18.0,13.0,16.0,17.0,11.0,15.0,11.0,14.0,15.0,12.0,20.0,16.0,16.0,11.0,11.0,14.0,9.0,18.0,9.0,18.0,18.0,17.0,12.0
penguin,10.0,13.0,12.0,15.0,10.0,13.0,11.0,16.0,16.0,8.0,8.0,11.0,5.0,15.0,11.0,12.0,14.0,16.0,20.0,13.0,11.0,13.0,13.0,12.0,17.0,11.0,15.0,12.0,9.0,11.0
pheasant,14.0,16.0,11.0,17.0,13.0,17.0,15.0,18.0,16.0,14.0,14.0,15.0,16.0,15.0,16.0,16.0,16.0,16.0,13.0,20.0,9.0,14.0,15.0,15.0,13.0,11.0,11.0,19.0,15.0,17.0
robin,17.0,17.0,17.0,12.0,13.0,13.0,16.0,12.0,16.0,15.0,15.0,16.0,11.0,10.0,11.0,10.0,12.0,11.0,11.0,9.0,20.0,14.0,15.0,19.0,12.0,14.0,12.0,13.0,13.0,14.0
rooster,17.0,17.0,13.0,19.0,15.0,17.0,16.0,16.0,15.0,16.0,14.0,9.0,9.0,15.0,16.0,14.0,18.0,11.0,13.0,14.0,14.0,20.0,11.0,16.0,12.0,14.0,15.0,18.0,9.0,15.0
seagull,18.0,13.0,16.0,16.0,17.0,14.0,19.0,17.0,17.0,15.0,16.0,16.0,11.0,16.0,17.0,17.0,15.0,14.0,13.0,15.0,15.0,11.0,20.0,14.0,13.0,18.0,14.0,11.0,15.0,18.0
sparrow,18.0,18.0,19.0,16.0,17.0,16.0,17.0,12.0,16.0,16.0,14.0,16.0,13.0,16.0,17.0,12.0,14.0,9.0,12.0,15.0,19.0,16.0,14.0,20.0,12.0,18.0,15.0,12.0,11.0,16.0
stork,13.0,10.0,14.0,17.0,12.0,16.0,13.0,17.0,12.0,17.0,19.0,13.0,15.0,15.0,12.0,14.0,15.0,18.0,17.0,13.0,12.0,12.0,13.0,12.0,20.0,17.0,17.0,12.0,17.0,16.0
swallow,17.0,18.0,18.0,11.0,18.0,19.0,17.0,12.0,13.0,15.0,12.0,17.0,13.0,14.0,16.0,15.0,13.0,9.0,11.0,11.0,14.0,14.0,18.0,18.0,17.0,20.0,14.0,14.0,11.0,16.0
swan,15.0,12.0,14.0,18.0,13.0,14.0,12.0,19.0,16.0,13.0,16.0,13.0,12.0,14.0,14.0,12.0,16.0,18.0,15.0,11.0,12.0,15.0,14.0,15.0,17.0,14.0,20.0,18.0,16.0,12.0
turkey,16.0,14.0,14.0,19.0,14.0,14.0,16.0,17.0,16.0,15.0,11.0,11.0,17.0,14.0,14.0,16.0,18.0,18.0,12.0,19.0,13.0,18.0,11.0,12.0,12.0,14.0,18.0,20.0,17.0,9.0
vulture,13.0,14.0,12.0,16.0,11.0,16.0,16.0,16.0,18.0,19.0,17.0,16.0,17.0,13.0,13.0,16.0,14.0,17.0,9.0,15.0,13.0,9.0,15.0,11.0,17.0,11.0,16.0,17.0,20.0,16.0
woodpecker,16.0,13.0,15.0,16.0,16.0,14.0,17.0,16.0,14.0,18.0,14.0,18.0,14.0,17.0,18.0,18.0,14.0,12.0,11.0,17.0,14.0,15.0,18.0,16.0,16.0,16.0,12.0,9.0,16.0,20.0
