exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,16.0,12.0,11.0,13.0,13.0,11.0,9.0,9.0,9.0,10.0,13.0,9.0,10.0,19.0,10.0,10.0,10.0,9.0,11.0,13.0,10.0,10.0,15.0,10.0,13.0,11.0,12.0,9.0,10.0
canary,16.0,20.0,10.0,12.0,10.0,12.0,14.0,11.0,9.0,9.0,11.0,11.0,9.0,11.0,14.0,17.0,11.0,11.0,15.0,12.0,12.0,11.0,9.0,16.0,9.0,9.0,9.0,9.0,12.0,12.0
chickadee,12.0,10.0,20.0,9.0,10.0,10.0,12.0,11.0,13.0,11.0,9.0,12.0,9.0,9.0,12.0,13.0,13.0,14.0,9.0,9.0,18.0,11.0,10.0,16.0,9.0,10.0,9.0,9.0,9.0,11.0
chicken,11.0,12.0,9.0,20.0,9.0,15.0,12.0,13.0,11.0,18.0,11.0,12.0,11.0,10.0,15.0,10.0,10.0,10.0,11.0,10.0,11.0,19.0,14.0,11.0,10.0,9.0,11.0,14.0,9.0,12.0
crow,13.0,10.0,10.0,9.0,20.0,11.0,13.0,10.0,12.0,16.0,11.0,11.0,12.0,11.0,10.0,11.0,10.0,9.0,15.0,11.0,10.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,15.0,11.0
cuckoo,13.0,12.0,10.0,15.0,11.0,20.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,14.0,11.0,10.0,10.0,13.0,12.0,10.0,12.0,15.0,13.0
dove,11.0,14.0,12.0,12.0,13.0,12.0,20.0,14.0,10.0,14.0,13.0,14.0,9.0,10.0,11.0,11.0,12.0,10.0,9.0,10.0,16.0,10.0,12.0,12.0,9.0,12.0,12.0,12.0,9.0,17.0
duck,9.0,11.0,11.0,13.0,10.0,11.0,14.0,20.0,10.0,10.0,11.0,10.0,9.0,12.0,9.0,12.0,11.0,10.0,9.0,13.0,10.0,17.0,12.0,11.0,9.0,10.0,15.0,16.0,10.0,9.0
eagle,9.0,9.0,13.0,11.0,12.0,11.0,10.0,10.0,20.0,15.0,12.0,14.0,11.0,14.0,11.0,14.0,10.0,14.0,10.0,9.0,10.0,12.0,11.0,14.0,10.0,11.0,10.0,16.0,14.0,10.0
falcon,9.0,9.0,11.0,18.0,16.0,12.0,14.0,10.0,15.0,20.0,10.0,13.0,10.0,14.0,9.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,17.0,10.0
heron,10.0,11.0,9.0,11.0,11.0,11.0,13.0,11.0,12.0,10.0,20.0,14.0,11.0,11.0,14.0,11.0,10.0,13.0,10.0,14.0,10.0,10.0,10.0,18.0,17.0,11.0,10.0,11.0,11.0,11.0
magpie,13.0,11.0,12.0,12.0,11.0,10.0,14.0,10.0,14.0,13.0,14.0,20.0,10.0,12.0,11.0,10.0,13.0,16.0,11.0,11.0,12.0,9.0,11.0,14.0,9.0,19.0,11.0,10.0,10.0,16.0
ostrich,9.0,9.0,9.0,11.0,12.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,20.0,10.0,9.0,11.0,12.0,11.0,12.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,12.0,12.0,9.0
owl,10.0,11.0,9.0,10.0,11.0,11.0,10.0,12.0,14.0,14.0,11.0,12.0,10.0,20.0,12.0,9.0,10.0,12.0,10.0,10.0,12.0,11.0,9.0,11.0,9.0,9.0,9.0,12.0,12.0,11.0
parakeet,19.0,14.0,12.0,15.0,10.0,11.0,11.0,9.0,11.0,9.0,14.0,11.0,9.0,12.0,20.0,16.0,16.0,9.0,13.0,9.0,18.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,9.0,11.0
parrot,10.0,17.0,13.0,10.0,11.0,11.0,11.0,12.0,14.0,12.0,11.0,10.0,11.0,9.0,16.0,20.0,12.0,10.0,11.0,11.0,10.0,12.0,12.0,10.0,11.0,10.0,9.0,10.0,12.0,11.0
peacock,10.0,11.0,13.0,10.0,10.0,10.0,12.0,11.0,10.0,11.0,10.0,13.0,12.0,10.0,16.0,12.0,20.0,10.0,9.0,10.0,10.0,13.0,10.0,11.0,9.0,10.0,11.0,12.0,10.0,11.0
pelican,10.0,11.0,14.0,10.0,9.0,10.0,10.0,10.0,14.0,9.0,13.0,16.0,11.0,12.0,9.0,10.0,10.0,20.0,11.0,10.0,9.0,10.0,14.0,8.0,19.0,8.0,15.0,15.0,10.0,10.0
penguin,9.0,15.0,9.0,11.0,15.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,12.0,10.0,13.0,11.0,9.0,11.0,20.0,10.0,14.0,9.0,10.0,10.0,13.0,18.0,10.0,11.0,11.0,9.0
pheasant,11.0,12.0,9.0,10.0,11.0,11.0,10.0,13.0,9.0,10.0,14.0,11.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,20.0,11.0,12.0,9.0,10.0,11.0,9.0,11.0,11.0,14.0,10.0
robin,13.0,12.0,18.0,11.0,10.0,14.0,16.0,10.0,10.0,9.0,10.0,12.0,10.0,12.0,18.0,10.0,10.0,9.0,14.0,11.0,20.0,9.0,11.0,14.0,10.0,16.0,9.0,11.0,10.0,12.0
rooster,10.0,11.0,11.0,19.0,11.0,11.0,10.0,17.0,12.0,9.0,10.0,9.0,10.0,11.0,10.0,12.0,13.0,10.0,9.0,12.0,9.0,20.0,10.0,11.0,9.0,9.0,9.0,11.0,10.0,13.0
seagull,10.0,9.0,10.0,14.0,11.0,10.0,12.0,12.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,12.0,10.0,14.0,10.0,9.0,11.0,10.0,20.0,11.0,12.0,9.0,11.0,10.0,18.0,10.0
sparrow,15.0,16.0,16.0,11.0,10.0,10.0,12.0,11.0,14.0,10.0,18.0,14.0,9.0,11.0,11.0,10.0,11.0,8.0,10.0,10.0,14.0,11.0,11.0,20.0,10.0,11.0,10.0,16.0,9.0,9.0
stork,10.0,9.0,9.0,10.0,11.0,13.0,9.0,9.0,10.0,10.0,17.0,9.0,10.0,9.0,12.0,11.0,9.0,19.0,13.0,11.0,10.0,9.0,12.0,10.0,20.0,11.0,12.0,12.0,10.0,9.0
swallow,13.0,9.0,10.0,9.0,10.0,12.0,12.0,10.0,11.0,11.0,11.0,19.0,9.0,9.0,11.0,10.0,10.0,8.0,18.0,9.0,16.0,9.0,9.0,11.0,11.0,20.0,11.0,10.0,9.0,16.0
swan,11.0,9.0,9.0,11.0,9.0,10.0,12.0,15.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,15.0,10.0,11.0,9.0,9.0,11.0,10.0,12.0,11.0,20.0,11.0,9.0,10.0
turkey,12.0,9.0,9.0,14.0,10.0,12.0,12.0,16.0,16.0,11.0,11.0,10.0,12.0,12.0,10.0,10.0,12.0,15.0,11.0,11.0,11.0,11.0,10.0,16.0,12.0,10.0,11.0,20.0,13.0,9.0
vulture,9.0,12.0,9.0,9.0,15.0,15.0,9.0,10.0,14.0,17.0,11.0,10.0,12.0,12.0,9.0,12.0,10.0,10.0,11.0,14.0,10.0,10.0,18.0,9.0,10.0,9.0,9.0,13.0,20.0,9.0
woodpecker,10.0,12.0,11.0,12.0,11.0,13.0,17.0,9.0,10.0,10.0,11.0,16.0,9.0,11.0,11.0,11.0,11.0,10.0,9.0,10.0,12.0,13.0,10.0,9.0,9.0,16.0,10.0,9.0,9.0,20.0
