exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,14.0,14.0,3.0,12.0,1.0,12.0,1.0,1.0,2.0,1.0,17.0,2.0,9.0,12.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,15.0,1.0,12.0,1.0,1.0,1.0,10.0
canary,14.0,20.0,17.0,3.0,1.0,12.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,20.0,1.0,3.0,1.0,3.0,1.0,11.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,1.0,9.0
chickadee,14.0,17.0,20.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,3.0,18.0,1.0,6.0,1.0,3.0,1.0,4.0
chicken,3.0,3.0,1.0,20.0,3.0,6.0,13.0,12.0,1.0,1.0,1.0,1.0,11.0,3.0,1.0,1.0,12.0,13.0,1.0,17.0,8.0,15.0,1.0,4.0,1.0,1.0,6.0,19.0,1.0,1.0
crow,12.0,1.0,1.0,3.0,20.0,1.0,5.0,1.0,4.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,14.0,14.0
cuckoo,1.0,12.0,1.0,6.0,1.0,20.0,7.0,7.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,12.0,7.0,1.0,12.0,1.0,7.0,1.0,1.0,1.0,1.0
dove,12.0,4.0,12.0,13.0,5.0,7.0,20.0,1.0,11.0,1.0,1.0,14.0,1.0,1.0,8.0,3.0,1.0,1.0,3.0,1.0,6.0,1.0,12.0,8.0,1.0,9.0,1.0,10.0,1.0,1.0
duck,1.0,1.0,1.0,12.0,1.0,7.0,1.0,20.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,13.0,13.0,3.0,12.0,1.0,1.0,5.0,1.0,18.0,15.0,1.0,1.0
eagle,1.0,1.0,1.0,1.0,4.0,1.0,11.0,1.0,20.0,19.0,11.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,19.0,3.0
falcon,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,19.0,20.0,1.0,1.0,1.0,15.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,4.0
heron,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,14.0,1.0,5.0,1.0
magpie,17.0,4.0,13.0,1.0,14.0,6.0,14.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,15.0,1.0,15.0,1.0,4.0,1.0,7.0
ostrich,2.0,1.0,1.0,11.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,5.0,12.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,3.0,11.0,1.0
owl,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,13.0,15.0,1.0,1.0,1.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,4.0,14.0,1.0,1.0,1.0,1.0,12.0
parakeet,12.0,20.0,13.0,1.0,1.0,1.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,20.0,14.0,1.0,1.0,1.0,5.0,10.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0
parrot,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,8.0
peacock,1.0,3.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,2.0,4.0,9.0,1.0,16.0,1.0,1.0,7.0,1.0,2.0,5.0,6.0,1.0
pelican,1.0,1.0,1.0,13.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20.0,12.0,1.0,1.0,1.0,1.0,1.0,12.0,4.0,1.0,1.0,1.0,1.0
penguin,1.0,3.0,1.0,1.0,1.0,1.0,3.0,13.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,12.0,20.0,1.0,1.0,1.0,12.0,1.0,12.0,1.0,12.0,1.0,1.0,1.0
pheasant,1.0,1.0,1.0,17.0,4.0,6.0,1.0,13.0,1.0,1.0,1.0,1.0,12.0,1.0,5.0,1.0,9.0,1.0,1.0,20.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,2.0
robin,14.0,11.0,15.0,8.0,1.0,12.0,6.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,18.0,1.0,9.0,1.0,6.0,1.0,4.0
rooster,1.0,1.0,1.0,15.0,1.0,7.0,1.0,12.0,1.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,15.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0
seagull,1.0,1.0,3.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,7.0,1.0,1.0,12.0,1.0,1.0,1.0,20.0,1.0,12.0,4.0,4.0,1.0,1.0,5.0
sparrow,15.0,16.0,18.0,4.0,5.0,12.0,8.0,1.0,1.0,1.0,1.0,15.0,1.0,4.0,11.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,20.0,1.0,9.0,1.0,1.0,1.0,4.0
stork,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,19.0,1.0,4.0,14.0,1.0,1.0,7.0,12.0,12.0,1.0,1.0,1.0,12.0,1.0,20.0,1.0,12.0,1.0,1.0,1.0
swallow,12.0,7.0,6.0,1.0,1.0,7.0,9.0,1.0,3.0,11.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,9.0,1.0,4.0,9.0,1.0,20.0,1.0,2.0,1.0,12.0
swan,1.0,1.0,1.0,6.0,1.0,1.0,1.0,18.0,3.0,1.0,14.0,1.0,8.0,1.0,1.0,3.0,2.0,1.0,12.0,1.0,1.0,1.0,4.0,1.0,12.0,1.0,20.0,1.0,8.0,1.0
turkey,1.0,1.0,3.0,19.0,1.0,1.0,10.0,15.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,15.0,6.0,12.0,1.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0
vulture,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,19.0,1.0,5.0,1.0,11.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,20.0,1.0
woodpecker,10.0,9.0,4.0,1.0,14.0,1.0,1.0,1.0,3.0,4.0,1.0,7.0,1.0,12.0,1.0,8.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,4.0,1.0,12.0,1.0,1.0,1.0,20.0
