exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,13.0,11.0,8.0,12.0,3.0,14.0,7.0,4.0,5.0,5.0,13.0,5.0,7.0,8.0,4.0,3.0,5.0,2.0,8.0,15.0,7.0,4.0,12.0,3.0,14.0,7.0,7.0,10.0,11.0
canary,13.0,20.0,19.0,10.0,6.0,4.0,3.0,3.0,2.0,7.0,4.0,4.0,3.0,7.0,16.0,14.0,3.0,4.0,2.0,4.0,14.0,5.0,4.0,13.0,3.0,3.0,4.0,3.0,5.0,3.0
chickadee,11.0,19.0,20.0,7.0,7.0,13.0,14.0,5.0,5.0,4.0,6.0,13.0,2.0,11.0,16.0,5.0,3.0,3.0,2.0,6.0,17.0,4.0,11.0,14.0,3.0,13.0,4.0,3.0,4.0,11.0
chicken,8.0,10.0,7.0,20.0,6.0,6.0,16.0,13.0,7.0,9.0,4.0,6.0,3.0,10.0,9.0,12.0,11.0,7.0,3.0,14.0,11.0,19.0,6.0,7.0,9.0,4.0,4.0,19.0,5.0,4.0
crow,12.0,6.0,7.0,6.0,20.0,13.0,12.0,7.0,5.0,7.0,4.0,17.0,4.0,6.0,3.0,7.0,5.0,4.0,3.0,4.0,8.0,4.0,11.0,5.0,3.0,13.0,8.0,8.0,7.0,9.0
cuckoo,3.0,4.0,13.0,6.0,13.0,20.0,16.0,12.0,7.0,14.0,6.0,16.0,4.0,14.0,5.0,10.0,14.0,3.0,4.0,13.0,13.0,7.0,14.0,12.0,11.0,10.0,3.0,5.0,3.0,13.0
dove,14.0,3.0,14.0,16.0,12.0,16.0,20.0,10.0,9.0,10.0,5.0,6.0,4.0,7.0,9.0,11.0,4.0,3.0,3.0,9.0,12.0,7.0,16.0,6.0,10.0,10.0,5.0,10.0,3.0,7.0
duck,7.0,3.0,5.0,13.0,7.0,12.0,10.0,20.0,4.0,11.0,8.0,7.0,6.0,6.0,4.0,6.0,10.0,12.0,2.0,9.0,6.0,9.0,9.0,9.0,6.0,6.0,12.0,11.0,6.0,4.0
eagle,4.0,2.0,5.0,7.0,5.0,7.0,9.0,4.0,20.0,16.0,9.0,9.0,9.0,14.0,3.0,7.0,14.0,3.0,4.0,14.0,5.0,8.0,9.0,13.0,5.0,7.0,8.0,8.0,16.0,6.0
falcon,5.0,7.0,4.0,9.0,7.0,14.0,10.0,11.0,16.0,20.0,10.0,4.0,8.0,17.0,3.0,7.0,13.0,6.0,4.0,10.0,6.0,5.0,13.0,2.0,8.0,11.0,4.0,7.0,19.0,6.0
