exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
blackbird,20.0,6.0,11.0,5.0,9.0,8.0,3.0,1.0,6.0,10.0,8.0,12.0,3.0,5.0,14.0,3.0,3.0,2.0,7.0,2.0,6.0,1.0,15.0,17.0,4.0,15.0,4.0,5.0,5.0,11.0
canary,6.0,20.0,3.0,8.0,2.0,17.0,6.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,20.0,15.0,12.0,3.0,2.0,2.0,15.0,2.0,5.0,13.0,1.0,2.0,2.0,5.0,2.0,6.0
chickadee,11.0,3.0,20.0,9.0,7.0,6.0,15.0,6.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,6.0,3.0,2.0,11.0,1.0,3.0,15.0,3.0,16.0,3.0,5.0,6.0,12.0
chicken,5.0,8.0,9.0,20.0,1.0,8.0,15.0,13.0,5.0,7.0,5.0,4.0,3.0,9.0,5.0,1.0,5.0,9.0,4.0,10.0,5.0,16.0,4.0,2.0,1.0,5.0,10.0,14.0,3.0,4.0
crow,9.0,2.0,7.0,1.0,20.0,2.0,3.0,3.0,7.0,12.0,14.0,17.0,3.0,9.0,4.0,3.0,4.0,3.0,14.0,5.0,1.0,8.0,15.0,6.0,3.0,7.0,2.0,5.0,16.0,15.0
cuckoo,8.0,17.0,6.0,8.0,2.0,20.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,13.0,9.0,8.0,3.0,3.0,5.0,3.0,9.0,7.0,4.0,5.0,2.0,12.0,2.0,1.0,3.0,5.0
dove,3.0,6.0,15.0,15.0,3.0,5.0,20.0,8.0,2.0,9.0,4.0,3.0,3.0,8.0,6.0,8.0,6.0,3.0,1.0,3.0,12.0,3.0,18.0,3.0,10.0,8.0,8.0,6.0,4.0,6.0
duck,1.0,5.0,6.0,13.0,3.0,3.0,8.0,20.0,3.0,5.0,5.0,3.0,2.0,3.0,9.0,1.0,4.0,4.0,14.0,14.0,8.0,6.0,5.0,5.0,2.0,2.0,16.0,15.0,1.0,2.0
eagle,6.0,3.0,5.0,5.0,7.0,2.0,2.0,3.0,20.0,18.0,15.0,7.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,5.0,6.0,11.0,5.0,2.0,3.0,15.0,14.0
falcon,10.0,3.0,3.0,7.0,12.0,4.0,9.0,5.0,18.0,20.0,14.0,10.0,3.0,6.0,5.0,4.0,6.0,1.0,1.0,8.0,6.0,2.0,8.0,3.0,1.0,9.0,1.0,3.0,16.0,8.0
heron,8.0,3.0,5.0,5.0,14.0,3.0,4.0,5.0,15.0,14.0,20.0,15.0,11.0,1.0,3.0,3.0,4.0,18.0,1.0,3.0,2.0,3.0,9.0,8.0,8.0,9.0,4.0,3.0,15.0,14.0
magpie,12.0,5.0,5.0,4.0,17.0,3.0,3.0,3.0,7.0,10.0,15.0,20.0,1.0,14.0,9.0,14.0,2.0,1.0,10.0,5.0,1.0,9.0,8.0,14.0,3.0,15.0,1.0,1.0,15.0,14.0
