feature,freq
beschermt je lichaam,9
beschermt je tegen de kou,9
beschermt tegen de regen,2
beschermt tegen de zon,3
bestaat al lang,2
bestaat in verschillende kleuren,15
bestaat in verschillende maten,4
dient een esthetisch doel,4
dient om je te bedekken,10
drukt je persoonlijkheid uit,4
geeft warmte,2
is bedoeld om aan te doen,7
is confectie,3
is duur,8
is er in verschillende stijlen,2
is er in verschillende stoffen,6
is fleurig,2
is maatwerk,2
is modegebonden,9
is mooi,2
is onmisbaar,2
is plooibaar,3
is seizoensgebonden,3
is van stof,8
is van textiel,2
is van wol,2
is verschillend voor mannen en vrouwen,5
kan scheuren,2
kan statussymbool zijn,4
kan verslijten,3
koop je in de winkel,4
moet je wassen,7
verschilt van cultuur tot cultuur,6
vind je in de kleerkast,4
wordt door iedereen gedragen,3
wordt genaaid,2
wordt snel vuil,2
wordt verkocht in kledingswinkels,4
