feature,freq
bestaat al lang,3
bestaat in verschillende soorten,3
bestaat in verschillende vormen,3
dient om eten in te bewaren,2
gebruik je om eten klaar te maken,14
gemaakt uit hout,6
gemaakt uit metaal,12
gemaakt uit plastic,3
heeft een handvat,2
heeft iedereen,6
is duur,4
is elektronisch,6
is er in verschillende materialen,2
is functioneel,2
is gereedschap,2
is grijs,2
is handig,5
is multifunctioneel,2
is onmisbaar,3
is scherp,3
is stevig,2
is wit,2
kan elektronisch zijn,2
kan gevaarlijk zijn,4
kan je afwassen,3
kan je mee eten,3
kan je mee snijden,3
kan tegen warmte,3
koop je in de winkel,3
koop je in een speciaalzaak,2
maakt lawaai,2
moet je afwassen na gebruik,7
vergemakkelijkt het werk in de keuken,3
vind je in de kast,2
voelt koud aan,2
wordt gebruikt bij het koken,10
wordt in de keuken gebruikt,20
wordt soms cadeau gedaan aan pasgehuwden,3
wordt vooral gebruikt door vrouwen,2
