feature,freq
doet zweten,5
er zijn verschillende soorten van,12
heeft spelregels,3
heeft veel media-aandacht,7
is duur,2
is een fysieke activiteit,8
is een hobby,4
is een individuele sport,4
is een olympische discipline,2
is eeuwen oud,4
is gezond,20
is goed voor de conditie,11
is leuk,4
is ontspannend,7
is populair,3
is vermoeiend,8
kan blessures opleveren,2
kan een beroep zijn,4
kan in competitie worden beoefend,9
kan verslavend werken,3
spieren ontwikkelen,3
supporters moedigen de spelers aan,3
vereist concentratie / geestelijke inspanning,2
vergt aangepaste kledij,4
vergt een goede conditie,4
vergt motivatie,2
vergt specifieke technieken,3
vergt veel training,2
veroorzaakt vetverbranding,2
wordt binnen gespeeld,4
wordt buiten beoefend,5
wordt gespeeld in clubverband,4
wordt vaak in groepsverband gedaan,8
