exemplar,log(lemmaFreq)
bij,5.21
bloedzuiger,1.76
daas,1.3
duizendpoot,1.38
fruitvlieg,0.0
hommel,1.68
kakkerlak,2.0
kever,2.16
krekel,2.15
libel,1.92
lieveheersbeestje,1.04
luis,2.31
meikever,1.48
mier,2.49
mot,1.96
mug,2.41
oorworm,0.48
pissebed,1.48
rups,2.1
spin,2.6
sprinkhaan,1.96
vlieg,2.89
vlinder,2.65
vlo,2.27
wesp,2.24
worm,2.63
