exemplar,log(lemmaFreq)
acteur,2.88
advocaat,3.12
apotheker,2.54
archeoloog,2.22
architect,2.73
bakker,2.74
boekhouder,2.21
brandweerman,1.91
dierenarts,2.71
directeur,3.39
dokter,3.79
informaticus,0.0
kinesist,0.0
kok,2.34
leraar,3.5
loodgieter,1.88
marktkramer,0.85
minister,3.67
opvoedster,1.18
piloot,2.82
politieagent,2.54
postbode,2.44
psycholoog,3.24
rechter,3.73
secretaresse,2.87
slager,2.58
stewardess,2.14
tandarts,2.75
vuilnisman,1.57
winkelbediende,1.46
