exemplar,log(lemmaFreq)
ansjovis,1.91
dolfijn,2.18
forel,2.12
goudvis,1.93
haai,2.14
haring,2.34
inktvis,1.9
kabeljauw,1.93
karper,2.39
orka,0.3
paling,2.42
piranha,0.95
pladijs,0.3
platvis,1.46
potvis,0.48
rog,1.36
sardine,1.85
snoek,1.99
stekelbaars,1.69
tong,3.36
walvis,2.11
zalm,2.33
zwaardvis,0.85
