exemplar,log(lemmaFreq)
beha,2.29
bloes,2.56
broek,3.42
das,0.95
hemd,3.0
hoed,3.24
jas,3.32
jeans,2.26
jogging,0.9
kleed,3.33
kostuum,2.72
laarzen,3.05
muts,2.48
pet,2.9
pyjama,2.55
riem,2.97
rok,3.12
salopet,0.0
schoenen,3.46
short,0.0
sjaal,2.62
slip,1.53
sokken,2.76
sweater,1.51
t-shirt,2.0
topje,2.93
trui,2.27
wanten,1.41
zwempak,1.54
