exemplar,log(lemmaFreq)
aambeeld,1.76
beitel,2.03
bijl,2.65
boormachine,1.2
breekijzer,1.78
engelse sleutel,0.0
grasmachine,0.6
hamer,2.65
houtklem,0.0
houweel,1.6
koevoet,1.43
kruiwagen,2.29
mes,3.24
moersleutel,0.3
oliespuit,0.0
plamuurmes,1.57
ploeg,2.61
schaaf,0.9
schop,2.6
schroevendraaier,0.0
slijpschijf,0.0
spijker,2.64
staalborstel,0.6
stofzuiger,2.13
tang,2.36
touw,3.18
verfborstel,0.0
vijl,1.61
waterpas,1.18
zaag,2.06
