exemplar,log(lemmaFreq)
blikopener,1.54
bord,3.43
broodrooster,1.45
fles,3.68
fornuis,2.35
frigo,2.39
glas,3.81
handdoek,2.84
ketel,2.63
klopper,1.51
koffiezet,1.18
kom,3.16
lepel,2.89
mes,3.24
microgolf,1.36
mixer,1.61
notenkraker,0.7
onderlegger,1.36
oven,2.72
pan,3.17
pot,6.31
rasp,1.34
schaar,1.51
schort,2.43
spatel,1.66
tas,0.3
theelepel,2.79
vergiet,1.23
vork,2.7
waterkoker,0.0
weegschaal,2.3
wok,1.98
zeef,2.2
