exemplar,log(lemmaFreq)
aap,2.93
bever,1.7
bizon,1.36
dromedaris,1.11
eekhoorn,2.16
egel,2.13
ezel,2.71
giraf,1.6
hamster,1.72
hert,2.47
hond,3.85
ijsbeer,1.49
kangoeroe,1.62
kat,3.48
koe,3.18
konijn,2.98
lama,1.95
leeuw,2.99
muis,2.95
neushoorn,1.6
nijlpaard,1.74
olifant,2.63
paard,3.82
schaap,3.05
tijger,2.47
varken,2.98
vleermuis,2.4
vos,2.5
wolf,2.86
zebra,1.6
